gene,gene_symbol,highly_variable
RP11-34P13.7,RP11-34P13.7,False
FO538757.2,FO538757.2,False
AP006222.2,AP006222.2,False
RP4-669L17.10,RP4-669L17.10,True
RP5-857K21.4,RP5-857K21.4,False
RP11-206L10.9,RP11-206L10.9,False
LINC00115,LINC00115,False
FAM41C,FAM41C,True
RP11-54O7.3,RP11-54O7.3,False
SAMD11,SAMD11,True
NOC2L,NOC2L,False
KLHL17,KLHL17,False
PLEKHN1,PLEKHN1,False
PERM1,PERM1,False
RP11-54O7.17,RP11-54O7.17,False
HES4,HES4,False
ISG15,ISG15,True
AGRN,AGRN,True
RP11-54O7.18,RP11-54O7.18,False
RNF223,RNF223,False
C1orf159,C1orf159,False
RP11-465B22.8,RP11-465B22.8,False
TTLL10,TTLL10,False
TNFRSF18,TNFRSF18,True
TNFRSF4,TNFRSF4,True
SDF4,SDF4,False
B3GALT6,B3GALT6,False
FAM132A,FAM132A,False
RP5-902P8.12,RP5-902P8.12,False
UBE2J2,UBE2J2,False
SCNN1D,SCNN1D,False
ACAP3,ACAP3,False
PUSL1,PUSL1,True
CPSF3L,CPSF3L,False
CPTP,CPTP,True
TAS1R3,TAS1R3,True
DVL1,DVL1,False
MXRA8,MXRA8,False
AURKAIP1,AURKAIP1,False
CCNL2,CCNL2,False
MRPL20,MRPL20,False
RP4-758J18.13,RP4-758J18.13,False
ANKRD65,ANKRD65,False
RP4-758J18.10,RP4-758J18.10,False
VWA1,VWA1,True
ATAD3C,ATAD3C,True
ATAD3B,ATAD3B,False
ATAD3A,ATAD3A,True
TMEM240,TMEM240,False
SSU72,SSU72,False
RP5-832C2.5,RP5-832C2.5,False
C1orf233,C1orf233,False
RP11-345P4.9,RP11-345P4.9,False
MIB2,MIB2,False
MMP23B,MMP23B,False
CDK11B,CDK11B,False
RP11-345P4.10,RP11-345P4.10,False
SLC35E2B,SLC35E2B,True
RP11-345P4.7,RP11-345P4.7,True
CDK11A,CDK11A,False
SLC35E2,SLC35E2,False
NADK,NADK,False
GNB1,GNB1,False
RP1-140A9.1,RP1-140A9.1,False
CALML6,CALML6,False
TMEM52,TMEM52,False
GABRD,GABRD,True
PRKCZ,PRKCZ,True
RP11-181G12.2,RP11-181G12.2,False
