leiden,B cells Memory,CAFs MSC iCAF-like,CAFs myCAF-like,Cancer Basal SC,Cancer Cycling,Cancer Her2 SC,Cancer LumB SC,Cycling PVL,Cycling T-cells,Cycling_Myeloid,DCs,Endothelial ACKR1,Endothelial CXCL12,Endothelial Lymphatic LYVE1,Endothelial RGS5,Luminal Progenitors,Macrophage,Mature Luminal,Monocyte,Myoepithelial,NK cells,NKT cells,PVL Differentiated,PVL Immature,Plasmablasts,T cells CD4+,T cells CD8+
0,0,1,0,0,0,0,1,0,0,0,0,44,128,5,41,0,0,0,0,0,0,0,0,0,0,0,1
1,0,32,7,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,428,151,0,0,0
2,0,21,37,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1,1,0,0,12,0,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
4,0,0,0,0,11,1,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
5,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0
6,12,0,0,0,0,0,1,0,1,7,17,0,0,0,0,0,114,0,72,0,0,0,0,0,0,0,0
7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,0,0,17,1,203,0,7,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,110,1
9,2,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
10,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,25,15,0,0,0,111,96
11,2,0,0,0,15,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0
13,0,0,0,0,130,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
14,0,0,0,0,8,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
15,0,0,0,1,1,0,10,0,0,0,0,0,0,0,0,7,0,13,0,1,0,0,0,0,0,0,0
