leiden,B cells Memory,CAFs MSC iCAF-like s1,CAFs MSC iCAF-like s2,CAFs Transitioning s3,CAFs myCAF like s4,CAFs myCAF like s5,Cancer Basal SC,Cancer Cycling,Cancer Her2 SC,Cancer LumB SC,Cycling PVL,Cycling_Myeloid,Endothelial ACKR1,Endothelial CXCL12,Endothelial Lymphatic LYVE1,Endothelial RGS5,Luminal Progenitors,Mature Luminal,Myeloid_c0_DC_LAMP3,Myeloid_c1_LAM1_FABP5,Myeloid_c2_LAM2_APOE,Myeloid_c3_cDC1_CLEC9A,Myeloid_c4_DCs_pDC_IRF7,Myeloid_c7_Monocyte_3_FCGR3A,Myeloid_c8_Monocyte_2_S100A9,Myeloid_c9_Macrophage_2_CXCL10,Myeloid_c10_Macrophage_1_EGR1,Myeloid_c11_cDC2_CD1C,Myeloid_c12_Monocyte_1_IL1B,Myoepithelial,PVL Differentiated s3,PVL Immature s1,PVL_Immature s2,Plasmablasts,T_cells_c0_CD4+_CCR7,T_cells_c1_CD4+_IL7R,T_cells_c2_CD4+_T-regs_FOXP3,T_cells_c3_CD4+_Tfh_CXCL13,T_cells_c4_CD8+_ZFP36,T_cells_c6_IFIT1,T_cells_c7_CD8+_IFNG,T_cells_c8_CD8+_LAG3,T_cells_c9_NK_cells_AREG,T_cells_c10_NKT_cells_FCGR3A,T_cells_c11_MKI67
0,0,0,1,0,0,0,0,0,0,1,0,0,44,128,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,1,31,0,6,1,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,72,79,0,0,0,0,0,0,0,0,0,0,0,0
2,0,11,10,4,12,21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,1,0,1,0,0,0,0,12,0,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,11,1,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5,0,0,3,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6,12,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,5,49,24,3,0,3,19,14,27,9,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0,17,1,203,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,109,1,0,0,0,1,0,0,0,7
9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,39,30,19,57,12,20,7,25,15,9
11,2,0,0,0,0,0,0,15,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,2
13,0,0,0,0,0,0,0,130,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,8,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,1,1,0,10,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
