seed,cell_type,top_fraction,n_top,n_overlap,retention,jaccard
1001,B-cells,0.05,56,47,0.8392857142857143,0.7230769230769231
1002,B-cells,0.05,56,44,0.7857142857142857,0.6470588235294118
1003,B-cells,0.05,56,50,0.8928571428571429,0.8064516129032258
1004,B-cells,0.05,56,51,0.9107142857142857,0.8360655737704918
1005,B-cells,0.05,56,46,0.8214285714285714,0.696969696969697
1006,B-cells,0.05,56,46,0.8214285714285714,0.696969696969697
1007,B-cells,0.05,56,49,0.875,0.7777777777777778
1008,B-cells,0.05,56,44,0.7857142857142857,0.6470588235294118
1009,B-cells,0.05,56,40,0.7142857142857143,0.5555555555555556
1010,B-cells,0.05,56,44,0.7857142857142857,0.6470588235294118
1001,B-cells,0.1,111,88,0.7927927927927928,0.6567164179104478
1002,B-cells,0.1,111,85,0.7657657657657657,0.6204379562043796
1003,B-cells,0.1,111,91,0.8198198198198198,0.6946564885496184
1004,B-cells,0.1,111,88,0.7927927927927928,0.6567164179104478
1005,B-cells,0.1,111,86,0.7747747747747747,0.6323529411764706
1006,B-cells,0.1,111,84,0.7567567567567568,0.6086956521739131
1007,B-cells,0.1,111,93,0.8378378378378378,0.7209302325581395
1008,B-cells,0.1,111,91,0.8198198198198198,0.6946564885496184
1009,B-cells,0.1,111,73,0.6576576576576577,0.4899328859060403
1010,B-cells,0.1,111,80,0.7207207207207207,0.5633802816901409
1001,B-cells,0.2,221,172,0.7782805429864253,0.6370370370370371
1002,B-cells,0.2,221,173,0.7828054298642534,0.6431226765799256
1003,B-cells,0.2,221,186,0.8416289592760181,0.7265625
1004,B-cells,0.2,221,179,0.8099547511312217,0.6806083650190115
1005,B-cells,0.2,221,180,0.8144796380090498,0.6870229007633588
1006,B-cells,0.2,221,182,0.8235294117647058,0.7
1007,B-cells,0.2,221,183,0.8280542986425339,0.7065637065637066
1008,B-cells,0.2,221,176,0.7963800904977375,0.6616541353383458
1009,B-cells,0.2,221,152,0.6877828054298643,0.5241379310344828
1010,B-cells,0.2,221,166,0.751131221719457,0.6014492753623188
1001,CAFs,0.05,56,53,0.9464285714285714,0.8983050847457628
1002,CAFs,0.05,56,53,0.9464285714285714,0.8983050847457628
1003,CAFs,0.05,56,54,0.9642857142857143,0.9310344827586207
1004,CAFs,0.05,56,51,0.9107142857142857,0.8360655737704918
1005,CAFs,0.05,56,53,0.9464285714285714,0.8983050847457628
1006,CAFs,0.05,56,51,0.9107142857142857,0.8360655737704918
1007,CAFs,0.05,56,53,0.9464285714285714,0.8983050847457628
1008,CAFs,0.05,56,53,0.9464285714285714,0.8983050847457628
1009,CAFs,0.05,56,53,0.9464285714285714,0.8983050847457628
1010,CAFs,0.05,56,53,0.9464285714285714,0.8983050847457628
1001,CAFs,0.1,111,106,0.954954954954955,0.9137931034482759
1002,CAFs,0.1,111,108,0.972972972972973,0.9473684210526315
1003,CAFs,0.1,111,107,0.963963963963964,0.9304347826086956
1004,CAFs,0.1,111,105,0.9459459459459459,0.8974358974358975
1005,CAFs,0.1,111,106,0.954954954954955,0.9137931034482759
1006,CAFs,0.1,111,106,0.954954954954955,0.9137931034482759
1007,CAFs,0.1,111,106,0.954954954954955,0.9137931034482759
1008,CAFs,0.1,111,105,0.9459459459459459,0.8974358974358975
1009,CAFs,0.1,111,108,0.972972972972973,0.9473684210526315
1010,CAFs,0.1,111,108,0.972972972972973,0.9473684210526315
1001,CAFs,0.2,221,217,0.9819004524886877,0.9644444444444444
1002,CAFs,0.2,221,215,0.9728506787330317,0.947136563876652
1003,CAFs,0.2,221,214,0.9683257918552036,0.9385964912280702
1004,CAFs,0.2,221,215,0.9728506787330317,0.947136563876652
1005,CAFs,0.2,221,214,0.9683257918552036,0.9385964912280702
1006,CAFs,0.2,221,213,0.9638009049773756,0.9301310043668122
1007,CAFs,0.2,221,214,0.9683257918552036,0.9385964912280702
1008,CAFs,0.2,221,217,0.9819004524886877,0.9644444444444444
1009,CAFs,0.2,221,215,0.9728506787330317,0.947136563876652
1010,CAFs,0.2,221,215,0.9728506787330317,0.947136563876652
1001,Cancer Epithelial,0.05,56,44,0.7857142857142857,0.6470588235294118
1002,Cancer Epithelial,0.05,56,43,0.7678571428571429,0.6231884057971014
1003,Cancer Epithelial,0.05,56,45,0.8035714285714286,0.6716417910447762
1004,Cancer Epithelial,0.05,56,47,0.8392857142857143,0.7230769230769231
1005,Cancer Epithelial,0.05,56,41,0.7321428571428571,0.5774647887323944
1006,Cancer Epithelial,0.05,56,42,0.75,0.6
1007,Cancer Epithelial,0.05,56,42,0.75,0.6
1008,Cancer Epithelial,0.05,56,41,0.7321428571428571,0.5774647887323944
1009,Cancer Epithelial,0.05,56,46,0.8214285714285714,0.696969696969697
1010,Cancer Epithelial,0.05,56,47,0.8392857142857143,0.7230769230769231
1001,Cancer Epithelial,0.1,111,86,0.7747747747747747,0.6323529411764706
1002,Cancer Epithelial,0.1,111,86,0.7747747747747747,0.6323529411764706
1003,Cancer Epithelial,0.1,111,88,0.7927927927927928,0.6567164179104478
1004,Cancer Epithelial,0.1,111,91,0.8198198198198198,0.6946564885496184
1005,Cancer Epithelial,0.1,111,86,0.7747747747747747,0.6323529411764706
1006,Cancer Epithelial,0.1,111,85,0.7657657657657657,0.6204379562043796
1007,Cancer Epithelial,0.1,111,88,0.7927927927927928,0.6567164179104478
1008,Cancer Epithelial,0.1,111,90,0.8108108108108109,0.6818181818181818
1009,Cancer Epithelial,0.1,111,88,0.7927927927927928,0.6567164179104478
1010,Cancer Epithelial,0.1,111,89,0.8018018018018018,0.6691729323308271
1001,Cancer Epithelial,0.2,221,201,0.9095022624434389,0.8340248962655602
1002,Cancer Epithelial,0.2,221,199,0.9004524886877828,0.8189300411522634
1003,Cancer Epithelial,0.2,221,202,0.9140271493212669,0.8416666666666667
1004,Cancer Epithelial,0.2,221,207,0.9366515837104072,0.8808510638297873
1005,Cancer Epithelial,0.2,221,204,0.9230769230769231,0.8571428571428571
1006,Cancer Epithelial,0.2,221,201,0.9095022624434389,0.8340248962655602
1007,Cancer Epithelial,0.2,221,207,0.9366515837104072,0.8808510638297873
1008,Cancer Epithelial,0.2,221,202,0.9140271493212669,0.8416666666666667
1009,Cancer Epithelial,0.2,221,199,0.9004524886877828,0.8189300411522634
1010,Cancer Epithelial,0.2,221,202,0.9140271493212669,0.8416666666666667
1001,Cycling T-cells,0.05,56,31,0.5535714285714286,0.38271604938271603
1002,Cycling T-cells,0.05,56,24,0.42857142857142855,0.2727272727272727
1003,Cycling T-cells,0.05,56,25,0.44642857142857145,0.28735632183908044
1004,Cycling T-cells,0.05,56,30,0.5357142857142857,0.36585365853658536
1005,Cycling T-cells,0.05,56,28,0.5,0.3333333333333333
1006,Cycling T-cells,0.05,56,23,0.4107142857142857,0.25842696629213485
1007,Cycling T-cells,0.05,56,34,0.6071428571428571,0.4358974358974359
1008,Cycling T-cells,0.05,56,31,0.5535714285714286,0.38271604938271603
1009,Cycling T-cells,0.05,56,28,0.5,0.3333333333333333
1010,Cycling T-cells,0.05,56,27,0.48214285714285715,0.3176470588235294
1001,Cycling T-cells,0.1,111,62,0.5585585585585585,0.3875
1002,Cycling T-cells,0.1,111,57,0.5135135135135135,0.34545454545454546
1003,Cycling T-cells,0.1,111,61,0.5495495495495496,0.37888198757763975
1004,Cycling T-cells,0.1,111,63,0.5675675675675675,0.39622641509433965
1005,Cycling T-cells,0.1,111,54,0.4864864864864865,0.32142857142857145
1006,Cycling T-cells,0.1,111,51,0.4594594594594595,0.2982456140350877
1007,Cycling T-cells,0.1,111,71,0.6396396396396397,0.47019867549668876
1008,Cycling T-cells,0.1,111,54,0.4864864864864865,0.32142857142857145
1009,Cycling T-cells,0.1,111,66,0.5945945945945946,0.4230769230769231
1010,Cycling T-cells,0.1,111,54,0.4864864864864865,0.32142857142857145
1001,Cycling T-cells,0.2,221,133,0.6018099547511312,0.43042071197411
1002,Cycling T-cells,0.2,221,127,0.5746606334841629,0.4031746031746032
1003,Cycling T-cells,0.2,221,144,0.6515837104072398,0.48322147651006714
1004,Cycling T-cells,0.2,221,158,0.7149321266968326,0.5563380281690141
1005,Cycling T-cells,0.2,221,141,0.6380090497737556,0.4684385382059801
1006,Cycling T-cells,0.2,221,131,0.5927601809954751,0.4212218649517685
1007,Cycling T-cells,0.2,221,147,0.665158371040724,0.49830508474576274
1008,Cycling T-cells,0.2,221,138,0.6244343891402715,0.45394736842105265
1009,Cycling T-cells,0.2,221,144,0.6515837104072398,0.48322147651006714
1010,Cycling T-cells,0.2,221,130,0.5882352941176471,0.4166666666666667
1001,Endothelial,0.05,56,53,0.9464285714285714,0.8983050847457628
1002,Endothelial,0.05,56,54,0.9642857142857143,0.9310344827586207
1003,Endothelial,0.05,56,54,0.9642857142857143,0.9310344827586207
1004,Endothelial,0.05,56,52,0.9285714285714286,0.8666666666666667
1005,Endothelial,0.05,56,52,0.9285714285714286,0.8666666666666667
1006,Endothelial,0.05,56,54,0.9642857142857143,0.9310344827586207
1007,Endothelial,0.05,56,54,0.9642857142857143,0.9310344827586207
1008,Endothelial,0.05,56,53,0.9464285714285714,0.8983050847457628
1009,Endothelial,0.05,56,52,0.9285714285714286,0.8666666666666667
1010,Endothelial,0.05,56,53,0.9464285714285714,0.8983050847457628
1001,Endothelial,0.1,111,104,0.9369369369369369,0.8813559322033898
1002,Endothelial,0.1,111,105,0.9459459459459459,0.8974358974358975
1003,Endothelial,0.1,111,107,0.963963963963964,0.9304347826086956
1004,Endothelial,0.1,111,104,0.9369369369369369,0.8813559322033898
1005,Endothelial,0.1,111,105,0.9459459459459459,0.8974358974358975
1006,Endothelial,0.1,111,107,0.963963963963964,0.9304347826086956
1007,Endothelial,0.1,111,107,0.963963963963964,0.9304347826086956
1008,Endothelial,0.1,111,106,0.954954954954955,0.9137931034482759
1009,Endothelial,0.1,111,106,0.954954954954955,0.9137931034482759
1010,Endothelial,0.1,111,105,0.9459459459459459,0.8974358974358975
1001,Endothelial,0.2,221,208,0.9411764705882353,0.8888888888888888
1002,Endothelial,0.2,221,207,0.9366515837104072,0.8808510638297873
1003,Endothelial,0.2,221,209,0.9457013574660633,0.8969957081545065
1004,Endothelial,0.2,221,208,0.9411764705882353,0.8888888888888888
1005,Endothelial,0.2,221,209,0.9457013574660633,0.8969957081545065
1006,Endothelial,0.2,221,211,0.9547511312217195,0.9134199134199135
1007,Endothelial,0.2,221,211,0.9547511312217195,0.9134199134199135
1008,Endothelial,0.2,221,211,0.9547511312217195,0.9134199134199135
1009,Endothelial,0.2,221,206,0.9321266968325792,0.8728813559322034
1010,Endothelial,0.2,221,210,0.9502262443438914,0.9051724137931034
1001,Myeloid,0.05,56,52,0.9285714285714286,0.8666666666666667
1002,Myeloid,0.05,56,53,0.9464285714285714,0.8983050847457628
1003,Myeloid,0.05,56,54,0.9642857142857143,0.9310344827586207
1004,Myeloid,0.05,56,54,0.9642857142857143,0.9310344827586207
1005,Myeloid,0.05,56,55,0.9821428571428571,0.9649122807017544
1006,Myeloid,0.05,56,53,0.9464285714285714,0.8983050847457628
1007,Myeloid,0.05,56,54,0.9642857142857143,0.9310344827586207
1008,Myeloid,0.05,56,53,0.9464285714285714,0.8983050847457628
1009,Myeloid,0.05,56,52,0.9285714285714286,0.8666666666666667
1010,Myeloid,0.05,56,52,0.9285714285714286,0.8666666666666667
1001,Myeloid,0.1,111,106,0.954954954954955,0.9137931034482759
1002,Myeloid,0.1,111,106,0.954954954954955,0.9137931034482759
1003,Myeloid,0.1,111,106,0.954954954954955,0.9137931034482759
1004,Myeloid,0.1,111,106,0.954954954954955,0.9137931034482759
1005,Myeloid,0.1,111,106,0.954954954954955,0.9137931034482759
1006,Myeloid,0.1,111,106,0.954954954954955,0.9137931034482759
1007,Myeloid,0.1,111,106,0.954954954954955,0.9137931034482759
1008,Myeloid,0.1,111,107,0.963963963963964,0.9304347826086956
1009,Myeloid,0.1,111,104,0.9369369369369369,0.8813559322033898
1010,Myeloid,0.1,111,104,0.9369369369369369,0.8813559322033898
1001,Myeloid,0.2,221,215,0.9728506787330317,0.947136563876652
1002,Myeloid,0.2,221,214,0.9683257918552036,0.9385964912280702
1003,Myeloid,0.2,221,216,0.9773755656108597,0.9557522123893806
1004,Myeloid,0.2,221,215,0.9728506787330317,0.947136563876652
1005,Myeloid,0.2,221,215,0.9728506787330317,0.947136563876652
1006,Myeloid,0.2,221,213,0.9638009049773756,0.9301310043668122
1007,Myeloid,0.2,221,216,0.9773755656108597,0.9557522123893806
1008,Myeloid,0.2,221,215,0.9728506787330317,0.947136563876652
1009,Myeloid,0.2,221,213,0.9638009049773756,0.9301310043668122
1010,Myeloid,0.2,221,214,0.9683257918552036,0.9385964912280702
1001,NK cells,0.05,56,39,0.6964285714285714,0.5342465753424658
1002,NK cells,0.05,56,32,0.5714285714285714,0.4
1003,NK cells,0.05,56,31,0.5535714285714286,0.38271604938271603
1004,NK cells,0.05,56,38,0.6785714285714286,0.5135135135135135
1005,NK cells,0.05,56,35,0.625,0.45454545454545453
1006,NK cells,0.05,56,41,0.7321428571428571,0.5774647887323944
1007,NK cells,0.05,56,37,0.6607142857142857,0.49333333333333335
1008,NK cells,0.05,56,31,0.5535714285714286,0.38271604938271603
1009,NK cells,0.05,56,33,0.5892857142857143,0.4177215189873418
1010,NK cells,0.05,56,30,0.5357142857142857,0.36585365853658536
1001,NK cells,0.1,111,72,0.6486486486486487,0.48
1002,NK cells,0.1,111,71,0.6396396396396397,0.47019867549668876
1003,NK cells,0.1,111,72,0.6486486486486487,0.48
1004,NK cells,0.1,111,76,0.6846846846846847,0.5205479452054794
1005,NK cells,0.1,111,80,0.7207207207207207,0.5633802816901409
1006,NK cells,0.1,111,73,0.6576576576576577,0.4899328859060403
1007,NK cells,0.1,111,70,0.6306306306306306,0.4605263157894737
1008,NK cells,0.1,111,65,0.5855855855855856,0.4140127388535032
1009,NK cells,0.1,111,71,0.6396396396396397,0.47019867549668876
1010,NK cells,0.1,111,65,0.5855855855855856,0.4140127388535032
1001,NK cells,0.2,221,154,0.6968325791855203,0.5347222222222222
1002,NK cells,0.2,221,141,0.6380090497737556,0.4684385382059801
1003,NK cells,0.2,221,152,0.6877828054298643,0.5241379310344828
1004,NK cells,0.2,221,148,0.669683257918552,0.5034013605442177
1005,NK cells,0.2,221,153,0.6923076923076923,0.5294117647058824
1006,NK cells,0.2,221,155,0.7013574660633484,0.5400696864111498
1007,NK cells,0.2,221,152,0.6877828054298643,0.5241379310344828
1008,NK cells,0.2,221,142,0.6425339366515838,0.47333333333333333
1009,NK cells,0.2,221,146,0.6606334841628959,0.49324324324324326
1010,NK cells,0.2,221,146,0.6606334841628959,0.49324324324324326
1001,NKT cells,0.05,56,44,0.7857142857142857,0.6470588235294118
1002,NKT cells,0.05,56,31,0.5535714285714286,0.38271604938271603
1003,NKT cells,0.05,56,39,0.6964285714285714,0.5342465753424658
1004,NKT cells,0.05,56,44,0.7857142857142857,0.6470588235294118
1005,NKT cells,0.05,56,30,0.5357142857142857,0.36585365853658536
1006,NKT cells,0.05,56,43,0.7678571428571429,0.6231884057971014
1007,NKT cells,0.05,56,38,0.6785714285714286,0.5135135135135135
1008,NKT cells,0.05,56,36,0.6428571428571429,0.47368421052631576
1009,NKT cells,0.05,56,40,0.7142857142857143,0.5555555555555556
1010,NKT cells,0.05,56,39,0.6964285714285714,0.5342465753424658
1001,NKT cells,0.1,111,84,0.7567567567567568,0.6086956521739131
1002,NKT cells,0.1,111,67,0.6036036036036037,0.432258064516129
1003,NKT cells,0.1,111,77,0.6936936936936937,0.5310344827586206
1004,NKT cells,0.1,111,85,0.7657657657657657,0.6204379562043796
1005,NKT cells,0.1,111,70,0.6306306306306306,0.4605263157894737
1006,NKT cells,0.1,111,84,0.7567567567567568,0.6086956521739131
1007,NKT cells,0.1,111,79,0.7117117117117117,0.5524475524475524
1008,NKT cells,0.1,111,74,0.6666666666666666,0.5
1009,NKT cells,0.1,111,77,0.6936936936936937,0.5310344827586206
1010,NKT cells,0.1,111,77,0.6936936936936937,0.5310344827586206
1001,NKT cells,0.2,221,182,0.8235294117647058,0.7
1002,NKT cells,0.2,221,140,0.6334841628959276,0.46357615894039733
1003,NKT cells,0.2,221,163,0.7375565610859729,0.5842293906810035
1004,NKT cells,0.2,221,186,0.8416289592760181,0.7265625
1005,NKT cells,0.2,221,148,0.669683257918552,0.5034013605442177
1006,NKT cells,0.2,221,165,0.746606334841629,0.5956678700361011
1007,NKT cells,0.2,221,163,0.7375565610859729,0.5842293906810035
1008,NKT cells,0.2,221,151,0.6832579185520362,0.5189003436426117
1009,NKT cells,0.2,221,168,0.7601809954751131,0.6131386861313869
1010,NKT cells,0.2,221,158,0.7149321266968326,0.5563380281690141
1001,Normal Epithelial,0.05,56,46,0.8214285714285714,0.696969696969697
1002,Normal Epithelial,0.05,56,38,0.6785714285714286,0.5135135135135135
1003,Normal Epithelial,0.05,56,40,0.7142857142857143,0.5555555555555556
1004,Normal Epithelial,0.05,56,51,0.9107142857142857,0.8360655737704918
1005,Normal Epithelial,0.05,56,40,0.7142857142857143,0.5555555555555556
1006,Normal Epithelial,0.05,56,45,0.8035714285714286,0.6716417910447762
1007,Normal Epithelial,0.05,56,50,0.8928571428571429,0.8064516129032258
1008,Normal Epithelial,0.05,56,47,0.8392857142857143,0.7230769230769231
1009,Normal Epithelial,0.05,56,45,0.8035714285714286,0.6716417910447762
1010,Normal Epithelial,0.05,56,46,0.8214285714285714,0.696969696969697
1001,Normal Epithelial,0.1,111,96,0.8648648648648649,0.7619047619047619
1002,Normal Epithelial,0.1,111,90,0.8108108108108109,0.6818181818181818
1003,Normal Epithelial,0.1,111,94,0.8468468468468469,0.734375
1004,Normal Epithelial,0.1,111,103,0.9279279279279279,0.865546218487395
1005,Normal Epithelial,0.1,111,89,0.8018018018018018,0.6691729323308271
1006,Normal Epithelial,0.1,111,94,0.8468468468468469,0.734375
1007,Normal Epithelial,0.1,111,90,0.8108108108108109,0.6818181818181818
1008,Normal Epithelial,0.1,111,97,0.8738738738738738,0.776
1009,Normal Epithelial,0.1,111,96,0.8648648648648649,0.7619047619047619
1010,Normal Epithelial,0.1,111,98,0.8828828828828829,0.7903225806451613
1001,Normal Epithelial,0.2,221,192,0.8687782805429864,0.768
1002,Normal Epithelial,0.2,221,180,0.8144796380090498,0.6870229007633588
1003,Normal Epithelial,0.2,221,196,0.8868778280542986,0.7967479674796748
1004,Normal Epithelial,0.2,221,201,0.9095022624434389,0.8340248962655602
1005,Normal Epithelial,0.2,221,184,0.832579185520362,0.7131782945736435
1006,Normal Epithelial,0.2,221,196,0.8868778280542986,0.7967479674796748
1007,Normal Epithelial,0.2,221,192,0.8687782805429864,0.768
1008,Normal Epithelial,0.2,221,194,0.8778280542986425,0.782258064516129
1009,Normal Epithelial,0.2,221,189,0.8552036199095022,0.7470355731225297
1010,Normal Epithelial,0.2,221,195,0.8823529411764706,0.7894736842105263
1001,Plasmablasts,0.05,56,56,1.0,1.0
1002,Plasmablasts,0.05,56,55,0.9821428571428571,0.9649122807017544
1003,Plasmablasts,0.05,56,55,0.9821428571428571,0.9649122807017544
1004,Plasmablasts,0.05,56,54,0.9642857142857143,0.9310344827586207
1005,Plasmablasts,0.05,56,53,0.9464285714285714,0.8983050847457628
1006,Plasmablasts,0.05,56,54,0.9642857142857143,0.9310344827586207
1007,Plasmablasts,0.05,56,56,1.0,1.0
1008,Plasmablasts,0.05,56,53,0.9464285714285714,0.8983050847457628
1009,Plasmablasts,0.05,56,54,0.9642857142857143,0.9310344827586207
1010,Plasmablasts,0.05,56,54,0.9642857142857143,0.9310344827586207
1001,Plasmablasts,0.1,111,109,0.9819819819819819,0.9646017699115044
1002,Plasmablasts,0.1,111,108,0.972972972972973,0.9473684210526315
1003,Plasmablasts,0.1,111,110,0.990990990990991,0.9821428571428571
1004,Plasmablasts,0.1,111,110,0.990990990990991,0.9821428571428571
1005,Plasmablasts,0.1,111,109,0.9819819819819819,0.9646017699115044
1006,Plasmablasts,0.1,111,109,0.9819819819819819,0.9646017699115044
1007,Plasmablasts,0.1,111,110,0.990990990990991,0.9821428571428571
1008,Plasmablasts,0.1,111,108,0.972972972972973,0.9473684210526315
1009,Plasmablasts,0.1,111,108,0.972972972972973,0.9473684210526315
1010,Plasmablasts,0.1,111,109,0.9819819819819819,0.9646017699115044
1001,Plasmablasts,0.2,221,218,0.9864253393665159,0.9732142857142857
1002,Plasmablasts,0.2,221,216,0.9773755656108597,0.9557522123893806
