seed,n_spots,n_types,n_genes_reg,gene_jaccard_vs_baseline,elapsed_seconds
1001,1102,13,1754,0.634069400630915,203.315722227097
1002,1102,13,1790,0.565737051792829,203.039886951447
1003,1102,13,1709,0.642359249329759,217.264693975449
1004,1102,13,1568,0.70081490104773,216.165687799454
1005,1102,13,1746,0.613742842269651,292.169556856155
1006,1102,13,1675,0.628494623655914,293.55144906044
1007,1102,13,1568,0.701805474665114,233.589142084122
1008,1102,13,1563,0.649886877828054,234.655071973801
1009,1102,13,1715,0.619525065963061,211.46179485321
1010,1102,13,1885,0.621121121121121,215.932763814926
