cell_type,spearman_median,spearman_min,mae_pp_median,mae_pp_max,bias_pp_median
B-cells,0.8140494351751812,0.698967381750091,0.861288879271527,1.291537855015674,0.27838996695154666
CAFs,0.9957450043421887,0.9925918742865886,0.4622053873395028,0.80357950426003,-0.36354112174954667
Cancer Epithelial,0.9954445273329191,0.9944187583627332,1.4621487196196816,2.5843122361516557,0.8703044673650941
Cycling T-cells,0.6930671960071475,0.6365473674454664,1.6087777724212264,1.983163288812493,-1.396934880215027
Endothelial,0.9871104015972072,0.982547827235368,0.20562760605254082,0.30679925710743045,0.08085661833942606
Myeloid,0.9961583731911097,0.9924597038563697,0.29232693538719084,0.621979057474202,0.09739025073151314
NK cells,0.7508461855365012,0.7069816622181021,0.22229333453772032,0.3347013049967314,0.12355438761809218
NKT cells,0.7780279356730464,0.6721949071245158,0.3710738393808759,0.8529540459808279,0.35500078657318135
Normal Epithelial,0.8916900895190594,0.8210649097994427,0.4339758387394841,0.5613354643649691,-0.10545959546786579
Plasmablasts,0.9988484897853802,0.9977872123414042,0.24973178463555248,0.7489718409055782,0.12284983590287338
PVL,0.9450001403526229,0.9294952262869628,0.13785539986336015,0.17062056774383105,-0.03322652264366864
T cells CD4+,0.8171235005924872,0.7448677959667495,1.5322588716323364,2.1332342796085384,-0.5579004644925153
T cells CD8+,0.8536415179530016,0.7578348180859418,0.6090654754147238,1.365039477985077,0.2987660909776848
