donor_id,reference_label,n_cells,umi_median,genes_median,mt_median,mt_max
CID4067,B-cells,53,983.0,473.0,4.138244656662119,8.556701030927835
CID4067,CAFs,135,3975.0,1609.0,2.7719365322118144,12.226066897347174
CID4067,Cancer Epithelial,2352,3925.0,1640.0,10.198232923591295,19.989281886387996
CID4067,Cycling T-cells,6,1419.5,738.0,2.840571733294624,4.281537176274019
CID4067,Endothelial,186,1529.0,806.0,3.708723177188565,18.843843843843842
CID4067,Myeloid,266,3498.5,1269.5,3.1064126576561772,15.876777251184834
CID4067,NK cells,48,1021.0,540.5,3.354177069994413,13.767518549051937
CID4067,NKT cells,39,1183.0,598.0,3.0056864337936635,5.417607223476298
CID4067,PVL,83,1419.0,709.0,4.825684459326374,19.700748129675812
CID4067,T cells CD4+,353,1132.0,535.0,3.074558032282859,14.805825242718447
CID4067,T cells CD8+,243,983.0,520.0,3.27455919395466,13.353115727002967
CID4471,B-cells,99,2752.0,1036.0,9.024012393493416,19.076678163969223
CID4471,CAFs,1292,4607.5,1767.5,6.885256345464212,19.805589307411907
CID4471,Cancer Epithelial,212,10768.0,2992.5,11.976826025998452,19.871451526513123
CID4471,Cycling T-cells,8,1677.0,961.0,6.237593410759951,16.281062553556126
CID4471,Endothelial,2778,6115.5,2141.0,7.184958249103104,19.924634950541687
CID4471,Myeloid,285,5724.0,1836.0,6.955756108298481,17.521872783163868
CID4471,NK cells,30,2080.5,914.5,8.322706453509625,16.52249134948097
CID4471,NKT cells,32,2329.5,1116.5,6.568117130937142,13.893805309734514
CID4471,Normal Epithelial,1966,6460.0,2207.5,8.909645277027057,19.950452891538283
CID4471,PVL,1285,3865.0,1495.0,8.093126385809313,19.90240501917044
CID4471,Plasmablasts,51,12859.0,1785.0,3.220064724919094,9.922224840914447
CID4471,T cells CD4+,412,2663.0,1024.5,6.93413166115594,18.078381795195956
CID4471,T cells CD8+,159,2169.0,979.0,7.329842931937173,12.721490231712858
CID4535,B-cells,56,1406.0,685.0,4.321224769624745,19.13477537437604
CID4535,CAFs,102,4467.0,1569.5,3.926972574877312,18.97965158834724
CID4535,Cancer Epithelial,2223,20028.0,3827.0,8.703198611455493,19.982602212004473
CID4535,Cycling T-cells,19,3686.0,1477.0,3.403489219426465,14.598540145985401
CID4535,Endothelial,219,4936.0,1950.0,3.8311940879035395,19.59641255605381
CID4535,Myeloid,255,8215.0,2051.0,4.819277108433735,18.679888441276727
CID4535,NK cells,25,2710.0,996.0,3.4482758620689653,7.313642756680731
CID4535,NKT cells,15,2676.0,1067.0,3.7203720372037203,15.259921743991056
CID4535,Normal Epithelial,22,15872.5,3417.5,4.858463719507121,11.456596999615336
CID4535,PVL,592,5185.0,1793.5,3.880384929489143,18.876903553299492
CID4535,Plasmablasts,96,16254.0,1892.0,1.7379036113944104,12.282704335212005
CID4535,T cells CD4+,239,584.0,343.0,5.128205128205129,17.94871794871795
CID4535,T cells CD8+,98,2878.0,1095.5,3.718980176973652,18.105079318876438
