donor_id,,total_counts,n_genes_by_counts,pct_counts_mt
CID4067,0.0,296.0,207.0,0.09354536950420954
CID4067,0.01,530.63,314.63,1.055982051916622
CID4067,0.05,781.15,431.3,1.8708184980101012
CID4067,0.5,3011.0,1329.5,7.5662649115409675
CID4067,0.95,9827.25,2943.9499999999994,16.959539049434756
CID4067,0.99,14315.809999999998,3740.4399999999987,19.337045241615172
CID4067,1.0,28398.0,5446.0,19.989281886387996
CID4471,0.0,295.0,228.0,0.10298661174047374
CID4471,0.01,997.0,578.08,1.7087157232041585
CID4471,0.05,1758.0,867.0,4.054972552367166
CID4471,0.5,5041.0,1842.0,7.747057213249384
CID4471,0.95,19255.199999999968,4284.599999999999,14.661264977180425
CID4471,0.99,34031.240000000005,5670.720000000001,18.381808624384004
CID4471,1.0,70520.0,7480.0,19.950452891538283
CID4535,0.0,261.0,201.0,0.4294478527607362
CID4535,0.01,307.6,220.0,0.8709037464380688
CID4535,0.05,740.0,399.0,1.6340432870569974
CID4535,0.5,8818.0,2329.0,6.970245466958813
CID4535,0.95,37565.0,5284.0,16.64552501761804
CID4535,0.99,53396.80000000001,6282.200000000001,18.91784991801108
CID4535,1.0,112916.0,7887.0,19.982602212004473
