spot_id,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,NK cells,Normal Epithelial,PVL,Plasmablasts,T cells
CID3941_mix000_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix000_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix001_depth100,0.0,0.1181175165272063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8818824834727936
CID3941_mix001_depth25,0.0,0.1081029912911775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8918970087088224
CID3941_mix002_depth100,0.0,0.1457614974698849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8542385025301151
CID3941_mix002_depth25,0.0,0.1378111273792093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8621888726207906
CID3941_mix003_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix003_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix004_depth100,0.0,0.0196324143692564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9803675856307436
CID3941_mix004_depth25,0.0,0.0214665249734325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9785334750265676
CID3941_mix005_depth100,0.0,0.2228798476884235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7771201523115765
CID3941_mix005_depth25,0.0,0.227905416736542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.772094583263458
CID3941_mix006_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix006_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix007_depth100,0.0,0.0145519874242083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9854480125757916
CID3941_mix007_depth25,0.0,0.0164051355206847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9835948644793152
CID3941_mix008_depth100,0.0,0.2236297370935211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7763702629064789
CID3941_mix008_depth25,0.0,0.2186968838526912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7813031161473087
CID3941_mix009_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix009_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix010_depth100,0.0,0.1047947171978179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895205282802182
CID3941_mix010_depth25,0.0,0.1092655919231395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8907344080768604
CID3941_mix011_depth100,0.0,0.1963621635553591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8036378364446408
CID3941_mix011_depth25,0.0,0.2013432617900423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7986567382099576
CID3941_mix012_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix012_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix013_depth100,0.0,0.0152448913396042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9847551086603956
CID3941_mix013_depth25,0.0,0.01392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98608
CID3941_mix014_depth100,0.0,0.1814781114144171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8185218885855828
CID3941_mix014_depth25,0.0,0.1799068529607451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8200931470392548
CID3941_mix015_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
CID3941_mix015_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix016_depth100,0.0,0.1026649374555495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8973350625444505
CID3941_mix016_depth25,0.0,0.1036096256684492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8963903743315508
CID3941_mix017_depth100,0.0,0.2803314991276339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.719668500872366
CID3941_mix017_depth25,0.0,0.2805793991416309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7194206008583691
CID3941_mix018_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix018_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix019_depth100,0.0,0.0172778237294366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9827221762705634
CID3941_mix019_depth25,0.0,0.0172195033532717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9827804966467282
CID3941_mix020_depth100,0.0,0.338365869504687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6616341304953128
CID3941_mix020_depth25,0.0,0.3365961091398507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6634038908601492
CID3941_mix021_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
CID3941_mix021_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
CID3941_mix022_depth100,0.0,0.1092440567812553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8907559432187446
CID3941_mix022_depth25,0.0,0.1071064263855831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928935736144168
CID3941_mix023_depth100,0.0,0.1418626683692384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8581373316307617
CID3941_mix023_depth25,0.0,0.1397215397215397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8602784602784602
CID3941_mix024_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
CID3941_mix024_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix025_depth100,0.0,0.0163068096028989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9836931903971009
CID3941_mix025_depth25,0.0,0.0181854920185896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9818145079814105
CID3941_mix026_depth100,0.0,0.2981542660155127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7018457339844872
CID3941_mix026_depth25,0.0,0.3024691358024691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6975308641975309
CID3941_mix027_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
CID3941_mix027_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix028_depth100,0.0,0.2128192288432649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7871807711567351
CID3941_mix028_depth25,0.0,0.2072419106317411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7927580893682588
CID3941_mix029_depth100,0.0,0.2415661532751902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7584338467248098
CID3941_mix029_depth25,0.0,0.2368733313556808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7631266686443192
CID3941_mix030_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix030_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix031_depth100,0.0,0.0821725154031609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9178274845968389
CID3941_mix031_depth25,0.0,0.0812189555645053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9187810444354947
CID3941_mix032_depth100,0.0,0.1031932993063735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8968067006936264
CID3941_mix032_depth25,0.0,0.1021907385543749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897809261445625
CID3941_mix033_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix033_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix034_depth100,0.0,0.0167326776734457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9832673223265542
CID3941_mix034_depth25,0.0,0.0181688635553972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9818311364446027
CID3941_mix035_depth100,0.0,0.2198093220338983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7801906779661016
CID3941_mix035_depth25,0.0,0.2237712998169272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7762287001830728
CID3941_mix036_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix036_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix037_depth100,0.0,0.1012292715122514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8987707284877485
CID3941_mix037_depth25,0.0,0.0994084784751889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.900591521524811
CID3941_mix038_depth100,0.0,0.3739620147688418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6260379852311582
CID3941_mix038_depth25,0.0,0.3662118408880666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6337881591119334
CID3941_mix039_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix039_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
CID3941_mix040_depth100,0.0,0.1100744594958284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8899255405041715
CID3941_mix040_depth25,0.0,0.1086841641712171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8913158358287827
CID3941_mix041_depth100,0.0,0.1442004917396368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8557995082603631
CID3941_mix041_depth25,0.0,0.138283378746594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.861716621253406
CID3941_mix042_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix042_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix043_depth100,0.0,0.0253834735279564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9746165264720434
CID3941_mix043_depth25,0.0,0.0266277939747327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9733722060252672
CID3941_mix044_depth100,0.0,0.3568116509926854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6431883490073145
CID3941_mix044_depth25,0.0,0.3536396489416624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6463603510583376
CID3941_mix045_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
CID3941_mix045_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
CID3941_mix046_depth100,0.0,0.0152234177512568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9847765822487431
CID3941_mix046_depth25,0.0,0.0134888807874589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865111192125411
CID3941_mix047_depth100,0.0,0.3418226353473181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6581773646526818
CID3941_mix047_depth25,0.0,0.3291186314615099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6708813685384901
CID3941_mix048_depth100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CID3941_mix048_depth25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
CID3941_mix049_depth100,0.0,0.1247458316388775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8752541683611224
