"","B-cells","CAFs","Cancer Epithelial","Endothelial","Myeloid","NK cells","Normal Epithelial","Plasmablasts","PVL","T cells"
"mix_0000_depth100",9.83565856919586e-05,9.8359237937128e-05,0.570002150540358,9.83704275646379e-05,9.83592383342818e-05,9.83592378913122e-05,0.407427500307468,0.000278631826535484,0.0123812174654837,0.00941869513273521
"mix_0000_depth25",0.00013952487807459,0.000139524877861421,0.583792943707891,0.000139524878061987,0.00392579520616364,0.000139524878067424,0.402619860545439,0.00206037697549542,0.00419538720963228,0.00284753684331261
"mix_0001_depth100",6.51980711326233e-05,6.51984810765982e-05,0.557453090221556,0.00356594844809636,6.51984805811552e-05,0.00201178927023959,0.433081684452563,6.51984796667599e-05,6.51984806327963e-05,0.00356149561445454
"mix_0001_depth25",6.4698976640865e-05,6.46989741312137e-05,0.497333905408624,6.46989766484598e-05,6.46989766742528e-05,6.46989766821639e-05,0.501217167564479,6.4698976811237e-05,6.469897664846e-05,0.000996034192660388
"mix_0002_depth100",6.3733246539711e-05,6.37332454786856e-05,0.465567086943483,6.37332465673286e-05,6.3733246404579e-05,6.37377249092782e-05,0.487784177989063,6.37332466499206e-05,0.0265314096938822,0.0197349214170221
"mix_0002_depth25",0.000117597478396044,8.97967633002326e-05,0.417314971099436,8.97967652482565e-05,0.00016605792802263,8.97967652519267e-05,0.528652197171132,8.97967650846718e-05,0.0269845881084889,0.0264054011556385
"mix_0003_depth100",0.0121010678447848,5.94299446179821e-05,0.562027819181778,5.9429944268126e-05,0.0393296004291998,5.94299442112964e-05,0.383416420530844,5.94299441614595e-05,0.00116969415221084,0.00171767808392301
"mix_0003_depth25",0.0118258768284162,8.40307097416645e-05,0.51918679077872,0.0020015191766435,0.046011336901057,8.40307087721055e-05,0.419721398233611,0.000724930989239533,0.000276054965016684,8.40307087823321e-05
"mix_0004_depth100",8.91108229316244e-05,0.000573431999111659,0.555715086237428,8.91108229325637e-05,0.0506501697023968,8.91108229456049e-05,0.387806593996133,0.00162383636405933,0.00327443840911124,8.91108229504957e-05
"mix_0004_depth25",0.00994976732952665,0.000746765156852096,0.51406864611208,0.000127269276113056,0.0460343522983506,0.000127269276063144,0.419187940921228,0.00500747828562213,0.00462324206805081,0.000127269276114016
"mix_0005_depth100",0.00975388029240517,8.99411086916522e-05,0.453971260652307,8.9941108670628e-05,0.115042071675536,8.99411086559893e-05,0.415861393528122,8.99411084195088e-05,0.00492168830855216,8.99411086396969e-05
"mix_0005_depth25",0.000129706827566032,0.000129706827462866,0.404135625866884,0.000129706827566032,0.133293686167382,0.000129706827560065,0.450370037064387,0.000445217840725298,0.00331029045748163,0.00792631529298454
"mix_0006_depth100",6.3531982110897e-05,0.00429973227398766,0.453502089200634,0.0943757690479914,6.35319820864073e-05,6.3531982671094e-05,0.410921287406831,6.35319822631326e-05,0.0365834621586031,6.35319828207895e-05
"mix_0006_depth25",0.000132109904174624,0.00478299549128326,0.449704957391969,0.0976880847762632,0.00431927368179234,0.000132109905338659,0.401280623938408,0.000132109904792977,0.0416956251026234,0.000132109903354921
"mix_0007_depth100",6.98554684996898e-05,6.98554685837661e-05,0.576849193095251,0.0338869671135627,6.98554684027892e-05,6.9855468918645e-05,0.386272005294105,6.98554690405043e-05,0.00257270168502172,6.98554686139018e-05
"mix_0007_depth25",9.49909785685243e-05,9.49909787293766e-05,0.545876647762807,0.0200827700963296,9.49909786063647e-05,9.49909782375634e-05,0.433021334559932,0.00044930170964926,9.49909785799744e-05,9.4990978560016e-05
"mix_0008_depth100",6.11376235325925e-05,6.11376235869888e-05,0.568714651354957,0.0266853630033652,6.11376236737671e-05,6.11376234710782e-05,0.401112893444318,6.11376234503807e-05,6.11376235209111e-05,0.00312026645612366
"mix_0008_depth25",8.82932890392424e-05,8.82932890443409e-05,0.491736417063832,0.0310114009567945,8.82932889080622e-05,0.00303677754160468,0.473311699365941,8.82932898411344e-05,8.82932890300334e-05,0.000462238625965134
"mix_0009_depth100",0.039869393604923,9.24712010981534e-05,0.585496781511883,9.24712011231063e-05,9.2471201302084e-05,9.24712010557296e-05,0.305347413995802,9.24712011591442e-05,0.0687315836804497,9.24712012033063e-05
"mix_0009_depth25",0.0423079155904609,0.00163743112852391,0.57578763227254,0.000129136051839181,0.00443151796604921,0.000129136051839695,0.308084247122347,0.000395351869786506,0.0669684958947746,0.000129136051837927
