"","B-cells","CAFs","Cancer Epithelial","Endothelial","Myeloid","NK cells","Normal Epithelial","Plasmablasts","PVL","T cells"
"CID4461_mix000_depth100",0.180425860031948,5.58545864350201e-05,0.00362605436500611,0.0382179940698004,5.58545864083275e-05,5.58545864083158e-05,0.00919209509205851,0.0198501981960783,5.58545864083282e-05,0.685631926936509
"CID4461_mix000_depth25",0.0503139501573486,0.00164464384336208,0.00646234632388747,0.0938669954000271,5.58545864083271e-05,5.58545864083141e-05,5.58545864083297e-05,0.0220644717531542,5.58545864083354e-05,0.702016831049766
"CID4461_mix001_depth100",0.162476422550754,0.111059516021389,0.0397299164485935,0.0384009038972608,7.97922662976125e-05,7.97922662976588e-05,0.0195191159906184,0.0185977771706789,7.97922662976122e-05,0.568652242598122
"CID4461_mix001_depth25",0.113190152552429,0.134576168231414,0.0687023430688254,0.0531060911522538,0.000113988951853731,0.000113988951853687,0.000113988951853731,0.0193474989834682,0.000113988951853735,0.552796394508442
"CID4461_mix002_depth100",0.0956962389084545,0.265387435416383,0.0658647055348839,0.0694200321264209,0.0167598920044312,0.00011398895185311,0.000113988951853731,0.0166351633885444,0.00882919982157612,0.403913010190836
"CID4461_mix002_depth25",0.0859016772487824,0.250834355677194,0.0997770948776252,0.0881991964895022,0.0100817716579993,0.000113988951853753,0.00011398895185373,0.0178825507746956,0.000113988951853731,0.403279909634995
"CID4461_mix003_depth100",0.0865928484237325,0.00255144532858616,0.042558417917744,0.0107069495932221,0.0485217194072304,0.000113113108536338,7.9792266297612e-05,0.0151699149249039,7.97922662976138e-05,0.655055357521743
"CID4461_mix003_depth25",0.116997459858451,0.000162841359781661,0.0660070506188321,0.0688064292563879,0.0181449435094667,0.000201598075051402,0.0371925897466664,0.0105683364223044,0.000162841359791046,0.422049328775805
"CID4461_mix004_depth100",0.0439836184245594,0.0968703865225302,0.0625105877759752,0.0261575035662792,0.0643995853449071,0.000108065682548009,0.0076536844280156,0.0168304331752965,7.97922662976128e-05,0.5800871289915
"CID4461_mix004_depth25",0.0778125447920111,0.0745542723890509,0.040613533635511,0.114326822470901,0.0191231389808307,0.000178114609398816,0.0853609375127387,0.0148900998213126,0.000162841359791044,0.402839451996072
"CID4461_mix005_depth100",0.040136200653463,0.260494134612101,0.091660086847912,0.0207129041582209,0.0363969990148362,0.000113988951853731,0.000113988951853732,0.0144580393494204,0.0305433440100551,0.443861147229989
"CID4461_mix005_depth25",0.0257162046239749,0.254860882601117,0.0423667268135639,0.127676642329675,0.0154064610073645,0.000162841359791045,0.0547595605677651,0.0150641821234167,0.0132585688920728,0.315718811078517
"CID4461_mix006_depth100",0.064946916888651,7.97922663202343e-05,0.0189245823864909,0.0276752057216585,0.0368178024936205,7.97922662976082e-05,7.97922662976102e-05,0.0182430394401311,7.9792266297612e-05,0.733590748277415
