spot_id,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,NK cells,Normal Epithelial,PVL,Plasmablasts,T cells
CID4463_mix0000_depth100,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0000_depth25,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0001_depth100,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0001_depth25,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0002_depth100,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0002_depth25,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0003_depth100,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.1,0.0,0.0
CID4463_mix0003_depth25,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.1,0.0,0.0
CID4463_mix0004_depth100,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.1,0.0,0.0
CID4463_mix0004_depth25,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.1,0.0,0.0
CID4463_mix0005_depth100,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.1,0.0,0.0
CID4463_mix0005_depth25,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.1,0.0,0.0
CID4463_mix0006_depth100,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.1,0.0,0.0
CID4463_mix0006_depth25,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.1,0.0,0.0
CID4463_mix0007_depth100,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.1,0.0,0.0
CID4463_mix0007_depth25,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.1,0.0,0.0
CID4463_mix0008_depth100,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.1,0.0,0.0
CID4463_mix0008_depth25,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.1,0.0,0.0
CID4463_mix0009_depth100,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.1,0.0,0.0
CID4463_mix0009_depth25,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.1,0.0,0.0
CID4463_mix0010_depth100,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.1,0.0,0.0
CID4463_mix0010_depth25,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.1,0.0,0.0
CID4463_mix0011_depth100,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.1,0.0,0.0
CID4463_mix0011_depth25,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.1,0.0,0.0
CID4463_mix0012_depth100,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0012_depth25,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0013_depth100,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0013_depth25,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0014_depth100,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0014_depth25,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0015_depth100,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0015_depth25,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0016_depth100,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0016_depth25,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0017_depth100,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0017_depth25,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0018_depth100,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.2
CID4463_mix0018_depth25,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.2
CID4463_mix0019_depth100,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.2
CID4463_mix0019_depth25,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.2
CID4463_mix0020_depth100,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.2
CID4463_mix0020_depth25,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.2
CID4463_mix0021_depth100,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.1,0.0,0.1
CID4463_mix0021_depth25,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.1,0.0,0.1
CID4463_mix0022_depth100,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.1,0.0,0.1
CID4463_mix0022_depth25,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.1,0.0,0.1
CID4463_mix0023_depth100,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.1,0.0,0.1
CID4463_mix0023_depth25,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.1,0.0,0.1
CID4463_mix0024_depth100,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0024_depth25,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0025_depth100,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0025_depth25,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0026_depth100,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0026_depth25,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.1,0.0,0.1
CID4463_mix0027_depth100,0.0,0.0,0.7,0.0,0.0,0.1,0.0,0.1,0.0,0.1
CID4463_mix0027_depth25,0.0,0.0,0.7,0.0,0.0,0.1,0.0,0.1,0.0,0.1
CID4463_mix0028_depth100,0.0,0.0,0.7,0.0,0.0,0.1,0.0,0.1,0.0,0.1
