donor_id,method,approach,depth_fraction,n_caf,cell_type,mae_pp,bias_pp
CID3941,RCTD,fine_fit_then_sum,0.25,0,T cells,7.218964645254215,-7.218964645254215
CID3941,RCTD,fine_fit_then_sum,0.25,0,CAFs,0.006143426070819751,0.006143426070819751
CID3941,RCTD,fine_fit_then_sum,0.25,1,T cells,6.501552119154576,-5.501363775567785
CID3941,RCTD,fine_fit_then_sum,0.25,1,CAFs,3.8502881190755915,-3.840992114823727
CID3941,RCTD,fine_fit_then_sum,0.25,3,T cells,4.919311714946486,-2.2617198674414327
CID3941,RCTD,fine_fit_then_sum,0.25,3,CAFs,17.299734589060524,-16.857058398242167
CID3941,RCTD,fine_fit_then_sum,1.0,0,T cells,5.841149453281389,-5.841149453281389
CID3941,RCTD,fine_fit_then_sum,1.0,0,CAFs,0.006147797462237052,0.006147797462237052
CID3941,RCTD,fine_fit_then_sum,1.0,1,T cells,4.6926485452300986,-3.5681253545317566
CID3941,RCTD,fine_fit_then_sum,1.0,1,CAFs,3.799421772416157,-3.7961337411348093
CID3941,RCTD,fine_fit_then_sum,1.0,3,T cells,3.5188044649708097,-1.47808431493073
CID3941,RCTD,fine_fit_then_sum,1.0,3,CAFs,16.88804984644039,-16.546128726501014
CID3941,RCTD,coarse_reference_refit,0.25,0,T cells,16.879915235129687,-16.879915235129687
CID3941,RCTD,coarse_reference_refit,0.25,0,CAFs,0.007705921959289156,0.007705921959289156
CID3941,RCTD,coarse_reference_refit,0.25,1,T cells,12.656442126541709,-12.02783094769881
CID3941,RCTD,coarse_reference_refit,0.25,1,CAFs,3.923580571843608,-3.8285710795105006
CID3941,RCTD,coarse_reference_refit,0.25,3,T cells,8.609843050885852,-7.613042469523093
CID3941,RCTD,coarse_reference_refit,0.25,3,CAFs,17.152824519396663,-16.525717417524778
CID3941,RCTD,coarse_reference_refit,1.0,0,T cells,15.500680699638364,-15.500680699638364
CID3941,RCTD,coarse_reference_refit,1.0,0,CAFs,0.008070893681472449,0.008070893681472449
CID3941,RCTD,coarse_reference_refit,1.0,1,T cells,9.90536200573639,-9.608000450403146
CID3941,RCTD,coarse_reference_refit,1.0,1,CAFs,3.8403480491672597,-3.8403480491672597
CID3941,RCTD,coarse_reference_refit,1.0,3,T cells,6.386737741611911,-5.797312852907632
CID3941,RCTD,coarse_reference_refit,1.0,3,CAFs,16.86393996138402,-16.437377298705588
CID3941,NNLS,fine_fit_then_sum,0.25,0,T cells,3.1735531425503685,-3.1735531425503676
CID3941,NNLS,fine_fit_then_sum,0.25,0,CAFs,0.0,0.0
CID3941,NNLS,fine_fit_then_sum,0.25,1,T cells,4.780001140263923,2.2752103792329392
CID3941,NNLS,fine_fit_then_sum,0.25,1,CAFs,5.8903054923508265,-5.798981646031325
CID3941,NNLS,fine_fit_then_sum,0.25,3,T cells,12.248853132830941,12.215216992869296
CID3941,NNLS,fine_fit_then_sum,0.25,3,CAFs,18.377780285076582,-18.34414414511494
CID3941,NNLS,fine_fit_then_sum,1.0,0,T cells,2.295281739999174,-2.2952817399991723
CID3941,NNLS,fine_fit_then_sum,1.0,0,CAFs,0.0,0.0
CID3941,NNLS,fine_fit_then_sum,1.0,1,T cells,4.997718076539721,3.2922059905760226
CID3941,NNLS,fine_fit_then_sum,1.0,1,CAFs,5.8836422317603265,-5.651468866516784
CID3941,NNLS,fine_fit_then_sum,1.0,3,T cells,13.617861031870634,13.617861031870634
CID3941,NNLS,fine_fit_then_sum,1.0,3,CAFs,18.294429469534187,-18.294429469534187
CID3941,NNLS,coarse_reference_refit,0.25,0,T cells,8.83166823356442,-8.83166823356442
CID3941,NNLS,coarse_reference_refit,0.25,0,CAFs,0.0,0.0
CID3941,NNLS,coarse_reference_refit,0.25,1,T cells,7.636410169962802,-2.9443262154437195
CID3941,NNLS,coarse_reference_refit,0.25,1,CAFs,5.551336463075653,-5.551336463075653
CID3941,NNLS,coarse_reference_refit,0.25,3,T cells,8.483876025122095,7.515265398293789
CID3941,NNLS,coarse_reference_refit,0.25,3,CAFs,18.064887671189094,-17.98482561976942
CID3941,NNLS,coarse_reference_refit,1.0,0,T cells,8.027017885877072,-8.027017885877072
CID3941,NNLS,coarse_reference_refit,1.0,0,CAFs,0.0,0.0
CID3941,NNLS,coarse_reference_refit,1.0,1,T cells,6.395349037766665,-1.5082332648378227
CID3941,NNLS,coarse_reference_refit,1.0,1,CAFs,5.613027642542358,-5.613027642542358
CID3941,NNLS,coarse_reference_refit,1.0,3,T cells,9.448433495018316,9.39759878630378
CID3941,NNLS,coarse_reference_refit,1.0,3,CAFs,17.480974050232298,-17.480974050232298
CID3948,RCTD,fine_fit_then_sum,0.25,0,T cells,13.989096231184853,-13.989096231184853
CID3948,RCTD,fine_fit_then_sum,0.25,0,CAFs,0.006717226474674282,0.006717226474674282
CID3948,RCTD,fine_fit_then_sum,0.25,1,T cells,6.312192827070566,-4.134045222576157
CID3948,RCTD,fine_fit_then_sum,0.25,1,CAFs,7.192193226350514,-7.192193226350514
CID3948,RCTD,fine_fit_then_sum,0.25,3,T cells,4.429085489174728,2.219421220798697
CID3948,RCTD,fine_fit_then_sum,0.25,3,CAFs,11.259392215558947,-11.259392215558947
CID3948,RCTD,fine_fit_then_sum,1.0,0,T cells,12.305964937606772,-12.305964937606772
CID3948,RCTD,fine_fit_then_sum,1.0,0,CAFs,0.0067992720145942055,0.0067992720145942055
