donor_id,method,approach,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,n_absent,absent_mean_prediction_pct,absent_ge1pct_fraction
CID4067,RCTD,fine_fit_then_sum,rna,factorial,0.25,B-cells,189,0.30823678637120927,0.7993403973687001,0.0010584947748896313,1.2626438886435083,162,0.14916893599249273,0.043209876543209874
CID4067,RCTD,fine_fit_then_sum,rna,factorial,0.25,CAFs,189,3.4692851422775894,5.327252462359711,-3.2176426556947866,5.178945005289994,63,0.049965416252780295,0.0
CID4067,RCTD,fine_fit_then_sum,rna,factorial,0.25,Cancer Epithelial,189,32.46530147081898,34.655002593990645,-32.46530147081898,32.46530147081898,0,,
CID4067,RCTD,fine_fit_then_sum,rna,factorial,0.25,Endothelial,189,0.3572107762732484,1.242552501753396,-0.16977120563312784,2.094336438470749,162,0.06768983257366501,0.018518518518518517
CID4067,RCTD,fine_fit_then_sum,rna,factorial,0.25,Myeloid,189,0.4972112208236744,1.1026890135830534,0.1380860739646441,1.9790917389157683,162,0.2502311344749921,0.030864197530864196
CID4067,RCTD,fine_fit_then_sum,rna,factorial,0.25,NK cells,189,0.6384907903730362,1.2825287018293783,0.34387310222823086,1.6261271681227671,162,0.4738847274147476,0.1728395061728395
CID4067,RCTD,fine_fit_then_sum,rna,factorial,0.25,Normal Epithelial,189,36.75726866901594,38.259992393845245,36.75726866901594,,189,36.757268669015936,0.9947089947089947
CID4067,RCTD,fine_fit_then_sum,rna,factorial,0.25,PVL,189,3.3398809139857044,4.935541802986765,-3.1470459807898923,3.3398809139857044,0,,
CID4067,RCTD,fine_fit_then_sum,rna,factorial,0.25,Plasmablasts,189,0.06216856191041733,0.12402111456152526,0.06216856191041733,,189,0.062168561910417336,0.0
CID4067,RCTD,fine_fit_then_sum,rna,factorial,0.25,T cells,189,2.3374979934629825,3.5174573228710337,1.6973064110426592,2.555920689037939,36,1.4092015372694182,0.5
CID4067,RCTD,fine_fit_then_sum,rna,factorial,1.0,B-cells,189,0.225071064278211,0.6502012330209394,-0.02496668627488027,1.0545987944548474,162,0.086816442582105,0.024691358024691357
CID4067,RCTD,fine_fit_then_sum,rna,factorial,1.0,CAFs,189,3.6005665483397387,5.499845669869719,-3.2477985867040577,5.382659391546521,63,0.03638086192617186,0.0
CID4067,RCTD,fine_fit_then_sum,rna,factorial,1.0,Cancer Epithelial,189,31.39369497783643,33.29559643747785,-31.39369497783643,31.39369497783643,0,,
CID4067,RCTD,fine_fit_then_sum,rna,factorial,1.0,Endothelial,189,0.25374982817818104,0.9100612374789091,-0.13340489147328732,1.4729971585795625,162,0.05054193977795082,0.018518518518518517
CID4067,RCTD,fine_fit_then_sum,rna,factorial,1.0,Myeloid,189,0.3540220987884157,1.022031795717904,0.016435273245873794,1.8519085412663783,162,0.10437435837542196,0.024691358024691357
CID4067,RCTD,fine_fit_then_sum,rna,factorial,1.0,NK cells,189,0.5823093369416009,1.2110676512861933,0.3189462006638661,1.4054031424615983,162,0.44512703602160136,0.13580246913580246
CID4067,RCTD,fine_fit_then_sum,rna,factorial,1.0,Normal Epithelial,189,36.323791679757555,37.54185251682,36.323791679757555,,189,36.32379167975756,0.9947089947089947
CID4067,RCTD,fine_fit_then_sum,rna,factorial,1.0,PVL,189,3.4885692065631475,5.0613271462453016,-3.3819648967817693,3.4885692065631475,0,,
CID4067,RCTD,fine_fit_then_sum,rna,factorial,1.0,Plasmablasts,189,0.0224510135470143,0.04283570518145097,0.0224510135470143,,189,0.022451013547014297,0.0
CID4067,RCTD,fine_fit_then_sum,rna,factorial,1.0,T cells,189,1.9233507919973207,2.8839722882932257,1.5002058718561195,2.1650746980999194,36,0.8960241910612747,0.3333333333333333
CID4067,RCTD,fine_fit_then_sum,rna,pure,0.25,B-cells,55,0.783834429260042,1.8209443698064134,0.34623148369062356,2.406816200631801,50,0.6215362521228659,0.18
CID4067,RCTD,fine_fit_then_sum,rna,pure,0.25,CAFs,55,0.7899270915501101,2.6210100399294207,-0.013609489810333298,4.419451197482439,50,0.4269746809568773,0.06
CID4067,RCTD,fine_fit_then_sum,rna,pure,0.25,Cancer Epithelial,55,5.701639301872585,15.633428672714086,-3.204765165890645,48.98522457269776,50,1.373280774790067,0.08
CID4067,RCTD,fine_fit_then_sum,rna,pure,0.25,Endothelial,55,0.6701621818665238,2.6215410974741955,-0.3049708137246621,5.363231475751522,50,0.2008552524780239,0.02
CID4067,RCTD,fine_fit_then_sum,rna,pure,0.25,Myeloid,55,0.18787674369338522,0.7349570398600923,-0.09214448222921845,1.54011674257432,50,0.05265274380529171,0.0
CID4067,RCTD,fine_fit_then_sum,rna,pure,0.25,NK cells,55,4.772721164224877,12.11724821079675,1.271680506647336,19.25572361667648,50,3.3244209189797176,0.2
CID4067,RCTD,fine_fit_then_sum,rna,pure,0.25,Normal Epithelial,55,4.554154534811926,13.514999039501967,4.554154534811926,,55,4.554154534811926,0.14545454545454545
CID4067,RCTD,fine_fit_then_sum,rna,pure,0.25,PVL,55,2.8094741343747174,10.576489360114104,-2.0471886353310795,26.71164523338188,50,0.41925702447400093,0.08
CID4067,RCTD,fine_fit_then_sum,rna,pure,0.25,Plasmablasts,55,0.1338007771275668,0.6481920305861218,0.1338007771275668,,55,0.13380077712756677,0.01818181818181818
