donor_id,method,approach,depth_fraction,original_type,coarse_type,n_spots,dominant_matches,mean_correct_weight,mean_T_weight,mean_NK_weight
CID4067,RCTD,fine_fit_then_sum,1.0,B-cells,B-cells,5,5,0.986207639249837,0.0002850484657993717,0.00396729898116629
CID4067,RCTD,fine_fit_then_sum,1.0,CAFs,CAFs,5,5,0.9728728859077718,0.002765693284552496,0.0002945896187705704
CID4067,RCTD,fine_fit_then_sum,1.0,Cancer Epithelial,Cancer Epithelial,5,5,0.566752860854614,0.026409008038740345,5.047669478059506e-05
CID4067,RCTD,fine_fit_then_sum,1.0,Cycling T-cells,T cells,5,5,0.9889814018541143,0.9889814018541143,0.0006874227400815199
CID4067,RCTD,fine_fit_then_sum,1.0,Endothelial,Endothelial,5,5,0.9755698733933682,0.01575535546617584,4.238853356504088e-05
CID4067,RCTD,fine_fit_then_sum,1.0,Myeloid,Myeloid,5,5,0.9953159462050506,0.004298640310259463,4.3651589371306024e-05
CID4067,RCTD,fine_fit_then_sum,1.0,NK cells,NK cells,5,5,0.8243805663600942,0.1664142038699802,0.8243805663600942
CID4067,RCTD,fine_fit_then_sum,1.0,NKT cells,T cells,5,5,0.8415521148208149,0.8415521148208149,0.1576102455000458
CID4067,RCTD,fine_fit_then_sum,1.0,PVL,PVL,5,5,0.7778065555425954,0.01200079882365695,4.980769885399977e-05
CID4067,RCTD,fine_fit_then_sum,1.0,T cells CD4+,T cells,5,5,0.9983950340830059,0.9983950340830059,0.0007723548463124732
CID4067,RCTD,fine_fit_then_sum,1.0,T cells CD8+,T cells,5,5,0.9736802788972962,0.9736802788972962,0.025174287377989223
CID4067,RCTD,fine_fit_then_sum,0.25,B-cells,B-cells,5,5,0.975931837993682,0.0003128851271862386,0.011801844071456635
CID4067,RCTD,fine_fit_then_sum,0.25,CAFs,CAFs,5,5,0.9558054880251756,0.008830653352039865,0.0018873120061025793
CID4067,RCTD,fine_fit_then_sum,0.25,Cancer Epithelial,Cancer Epithelial,5,4,0.5101477542730224,0.04967284706569307,6.098088598440188e-05
CID4067,RCTD,fine_fit_then_sum,0.25,Cycling T-cells,T cells,5,5,0.9459327553108985,0.9459327553108985,0.014811402574528582
CID4067,RCTD,fine_fit_then_sum,0.25,Endothelial,Endothelial,5,5,0.9463676852424848,0.02376786934335816,0.001595355746697331
