run,cell_type,spearman,top_k,top_retention
seed_1001,CAFs,0.996317027024697,111,0.954954954954955
seed_1001,T cells,0.960713460465715,111,0.8918918918918919
seed_1002,CAFs,0.9970137552878205,111,0.972972972972973
seed_1002,T cells,0.9442791076152044,111,0.8378378378378378
seed_1003,CAFs,0.9965674155656356,111,0.963963963963964
seed_1003,T cells,0.9575864103080992,111,0.8558558558558559
seed_1004,CAFs,0.9948279397224469,111,0.9459459459459459
seed_1004,T cells,0.9636761135631113,111,0.8558558558558559
seed_1005,CAFs,0.9946678018857251,111,0.954954954954955
seed_1005,T cells,0.9541453701942438,111,0.8828828828828829
seed_1006,CAFs,0.9955910401378418,111,0.954954954954955
seed_1006,T cells,0.9497145672406327,111,0.8738738738738738
seed_1007,CAFs,0.9945985065611165,111,0.954954954954955
seed_1007,T cells,0.9622413201519724,111,0.8648648648648649
seed_1008,CAFs,0.9925918742865886,111,0.9459459459459459
seed_1008,T cells,0.9526269166668263,111,0.8738738738738738
seed_1009,CAFs,0.9958989685465357,111,0.972972972972973
seed_1009,T cells,0.9419087914547031,111,0.8648648648648649
seed_1010,CAFs,0.9963372381610411,111,0.972972972972973
seed_1010,T cells,0.9548529841359483,111,0.8558558558558559
