donor_id,subtype,total_cells,reference_label,n_cells
CID3941,ER+,631,CAFs,8
CID3948,ER+,2327,CAFs,15
CID4040,ER+,2531,CAFs,129
CID4067,ER+,3764,CAFs,135
CID4290A,ER+,5789,CAFs,280
CID4398,ER+,4451,CAFs,178
CID4461,ER+,631,CAFs,41
CID4463,ER+,1138,CAFs,25
CID4471,ER+,8609,CAFs,1292
CID4530N,ER+,4409,CAFs,368
CID4535,ER+,3961,CAFs,102
CID3586,HER2+,6178,CAFs,185
CID3838,HER2+,2353,CAFs,203
CID3921,HER2+,3024,CAFs,106
CID4066,HER2+,5309,CAFs,923
CID45171,HER2+,2447,CAFs,32
CID3946,TNBC,774,CAFs,167
CID3963,TNBC,3527,CAFs,23
CID44041,TNBC,2131,CAFs,681
CID4465,TNBC,1564,CAFs,379
CID4495,TNBC,7985,CAFs,232
CID44971,TNBC,7986,CAFs,582
CID44991,TNBC,7023,CAFs,245
CID4513,TNBC,5619,CAFs,13
CID4515,TNBC,4149,CAFs,187
CID4523,TNBC,1754,CAFs,42
CID3941,ER+,631,T cells CD8+,126
CID3948,ER+,2327,T cells CD8+,498
CID4040,ER+,2531,T cells CD8+,528
CID4067,ER+,3764,T cells CD8+,243
CID4290A,ER+,5789,T cells CD8+,115
CID4398,ER+,4451,T cells CD8+,926
CID4461,ER+,631,T cells CD8+,11
CID4463,ER+,1138,T cells CD8+,75
CID4471,ER+,8609,T cells CD8+,159
CID4530N,ER+,4409,T cells CD8+,108
CID4535,ER+,3961,T cells CD8+,98
CID3586,HER2+,6178,T cells CD8+,1407
CID3838,HER2+,2353,T cells CD8+,291
CID3921,HER2+,3024,T cells CD8+,387
CID4066,HER2+,5309,T cells CD8+,885
CID45171,HER2+,2447,T cells CD8+,331
CID3946,TNBC,774,T cells CD8+,36
CID3963,TNBC,3527,T cells CD8+,1167
CID44041,TNBC,2131,T cells CD8+,278
CID4465,TNBC,1564,T cells CD8+,35
CID4495,TNBC,7985,T cells CD8+,1250
CID44971,TNBC,7986,T cells CD8+,1711
CID44991,TNBC,7023,T cells CD8+,216
CID4513,TNBC,5619,T cells CD8+,438
CID4515,TNBC,4149,T cells CD8+,121
CID4523,TNBC,1754,T cells CD8+,47
CID3941,ER+,631,T cells CD4+,108
CID3948,ER+,2327,T cells CD4+,845
CID4040,ER+,2531,T cells CD4+,830
CID4067,ER+,3764,T cells CD4+,353
