,B-cells,CAFs,Cancer Epithelial,Cycling T-cells,Endothelial,Myeloid,NK cells,NKT cells,Normal Epithelial,PVL,Plasmablasts,T cells CD4+,T cells CD8+
B-cells,0.6481249382258677,0.0,0.0020201056818226187,0.0,0.03188455317350508,0.04386760433160068,0.061783922975408176,0.0,0.03708565787038729,0.0,0.0,0.17523321774140838,0.0
CAFs,0.0,0.9269982067962337,0.01687388906643838,0.00176822236586381,0.0,0.01581157288057389,0.0,0.00029674269140194173,0.0,0.0,0.0,0.028759055680415813,0.009492310519072459
Cancer Epithelial,0.0,0.0,0.309035237165106,0.016959159656971277,0.0,0.0,0.0,0.005407792527199801,0.668597810650723,0.0,0.0,0.0,0.0
Cycling T-cells,0.0,0.0,0.0,0.7250212826139768,0.12987098237317793,0.0,0.002194619711461323,0.010386366358118551,0.0,0.0,0.0,0.10819455186971985,0.02433219707354543
Endothelial,0.03377132105303933,0.0,0.08774903247362553,0.0268508071468631,0.540406153392933,0.0016292859865629458,0.0,0.027942777779467264,0.0,0.05652875057935035,0.0,0.06570071506516417,0.15942115652299435
Myeloid,0.0,0.0019708865606808705,0.0,0.0,0.0,0.9770988344097431,0.0,0.0,0.020930279029576032,0.0,0.0,0.0,0.0
NK cells,0.0,0.004856884135140123,0.0010489061313210379,0.030320606664679155,0.06842738697042727,0.012203805047265256,0.42758982518264865,0.10567487964846153,0.060693225562188105,0.012977614529734924,0.0,0.12649030548642187,0.14971656064171202
NKT cells,0.0,0.0,0.006516528462990945,0.01297859021606958,0.0,0.025363795459795842,0.051008684623249964,0.8032471080212542,0.0,0.007867518447143874,0.0,0.04125230555059164,0.05176546921890407
PVL,0.008874507734005272,0.10296161265431325,0.07565864854761525,0.0774921573199556,0.014337186259838462,0.0019601216833962467,0.0,0.0260192348473987,0.08139543458434206,0.5135644275494992,0.0,0.09773666881963602,0.0
T cells CD4+,0.0,0.0,0.0076748195326064635,0.0,0.0,0.019318582324141343,0.0,0.0,0.018330540824266366,0.0,0.0,0.9252628727945765,0.029413184524409365
T cells CD8+,0.0,0.0,0.0005087043156359365,0.12342017279032691,0.0,0.02439878915300155,0.0,0.033143284221442686,0.0,0.0097395928765084,0.0,0.27141746221884355,0.5373719944242409
