spot_id,B-cells,CAFs,Cancer Epithelial,Cycling T-cells,Endothelial,Myeloid,NK cells,NKT cells,Normal Epithelial,PVL,Plasmablasts,T cells CD4+,T cells CD8+
mix_0000_depth100,0.0,0.0,0.3893403603069446,0.0,0.0,0.0,0.0,0.018351339923400222,0.5923082997696552,0.0,0.0,0.0,0.0
mix_0000_depth25,0.0,0.0,0.37472245262683573,0.0,0.0,0.0,0.0,0.037369027423780996,0.5879085199493833,0.0,0.0,0.0,0.0
mix_0001_depth100,0.0,0.0,0.3692601062196542,0.0,0.0,0.0,0.0,0.0,0.6307398937803458,0.0,0.0,0.0,0.0
mix_0001_depth25,0.0,0.0,0.38685767530108855,0.0,0.0,0.0,0.0,0.0,0.6131423246989114,0.0,0.0,0.0,0.0
mix_0002_depth100,0.0,0.0,0.37488178061707084,0.0,0.0,0.0,0.0,0.04365249445506946,0.5814657249278596,0.0,0.0,0.0,0.0
mix_0002_depth25,0.0,0.0,0.3780587153748211,0.0,0.0,0.0,0.0,0.04286683783834766,0.5790744467868312,0.0,0.0,0.0,0.0
mix_0003_depth100,0.0,0.0,0.19303685676987575,0.05391574973523298,0.0,0.09049689876894407,0.0,0.0007643811358949693,0.6617861135900523,0.0,0.0,0.0,0.0
mix_0003_depth25,0.0,0.0,0.19001074793807415,0.06646330757134881,0.0,0.090185843766124,0.0,0.0026837309612730855,0.65065636976318,0.0,0.0,0.0,0.0
mix_0004_depth100,0.0,0.0,0.2953353021433605,0.0,0.0,0.05310985366179311,0.0,0.0,0.6515548441948463,0.0,0.0,0.0,0.0
mix_0004_depth25,0.0,0.0,0.26589532432765195,0.0,0.0,0.04855211018435633,0.0,0.0,0.6855525654879918,0.0,0.0,0.0,0.0
mix_0005_depth100,0.0,0.0,0.31886830649954584,0.0,0.0,0.12776637864975607,0.0,0.0,0.5533653148506981,0.0,0.0,0.0,0.0
mix_0005_depth25,0.0,0.0,0.3182461957851993,0.0,0.0,0.13215661531215853,0.0,0.0,0.5495971889026421,0.0,0.0,0.0,0.0
mix_0006_depth100,0.0,0.0,0.336221053898855,0.0,0.0,0.0,0.0,0.014398480540706901,0.6493804655604382,0.0,0.0,0.0,0.0
mix_0006_depth25,0.0,0.0,0.35749417373393244,0.0,0.0,0.0,0.0,0.0014547603207879728,0.6410510659452796,0.0,0.0,0.0,0.0
mix_0007_depth100,0.0,0.0,0.49587176667698785,0.0,0.0,0.0,0.0,0.006444094937943539,0.49768413838506864,0.0,0.0,0.0,0.0
mix_0007_depth25,0.0,0.0,0.4691328733206448,0.0,0.0,0.0,0.0,0.008915388579663007,0.5219517380996922,0.0,0.0,0.0,0.0
