method,depth_fraction,cell_type,n_spots,dominant_type_matches,mean_weight_on_true_type
RCTD,1.0,B-cells,5,5,0.986207639249837
RCTD,1.0,CAFs,5,5,0.9728728859077718
RCTD,1.0,Cancer Epithelial,5,5,0.566752860854614
RCTD,1.0,Cycling T-cells,5,0,0.2145759708611768
RCTD,1.0,Endothelial,5,5,0.9755698733933682
RCTD,1.0,Myeloid,5,5,0.9953159462050506
RCTD,1.0,NK cells,5,5,0.8243805663600942
RCTD,1.0,NKT cells,5,5,0.6372272298395151
RCTD,1.0,PVL,5,5,0.7778065555425954
RCTD,1.0,T cells CD4+,5,1,0.5197969134596415
RCTD,1.0,T cells CD8+,5,5,0.9381603478285617
RCTD,0.25,B-cells,5,5,0.975931837993682
RCTD,0.25,CAFs,5,5,0.9558054880251756
RCTD,0.25,Cancer Epithelial,5,4,0.5101477542730224
RCTD,0.25,Cycling T-cells,5,0,0.2561228502346578
RCTD,0.25,Endothelial,5,5,0.9463676852424848
RCTD,0.25,Myeloid,5,5,0.9845988325742567
RCTD,0.25,NK cells,5,5,0.8074427638332352
RCTD,0.25,NKT cells,5,3,0.538025781962134
RCTD,0.25,PVL,5,5,0.7328835476661812
RCTD,0.25,T cells CD4+,5,3,0.6313337346246624
RCTD,0.25,T cells CD8+,5,5,0.8477325860810903
NNLS,1.0,B-cells,5,4,0.6481249382258677
NNLS,1.0,CAFs,5,5,0.9269982067962337
NNLS,1.0,Cancer Epithelial,5,0,0.309035237165106
NNLS,1.0,Cycling T-cells,5,5,0.7250212826139768
NNLS,1.0,Endothelial,5,5,0.540406153392933
NNLS,1.0,Myeloid,5,5,0.9770988344097431
NNLS,1.0,NK cells,5,3,0.42758982518264865
NNLS,1.0,NKT cells,5,5,0.8032471080212542
NNLS,1.0,PVL,5,4,0.5135644275494992
NNLS,1.0,T cells CD4+,5,5,0.9252628727945765
NNLS,1.0,T cells CD8+,5,3,0.5373719944242409
NNLS,0.25,B-cells,5,4,0.6080479177473951
NNLS,0.25,CAFs,5,5,0.931332050271914
NNLS,0.25,Cancer Epithelial,5,0,0.3074150647974237
NNLS,0.25,Cycling T-cells,5,5,0.7208276942366457
NNLS,0.25,Endothelial,5,5,0.5477000341718441
NNLS,0.25,Myeloid,5,5,0.970184040446556
NNLS,0.25,NK cells,5,4,0.44746723953293444
NNLS,0.25,NKT cells,5,5,0.7586786400164047
NNLS,0.25,PVL,5,3,0.5198668829334274
NNLS,0.25,T cells CD4+,5,5,0.8916228957298493
NNLS,0.25,T cells CD8+,5,5,0.6412649206676145
