,B-cells,CAFs,Cancer Epithelial,Cycling T-cells,Endothelial,Myeloid,NK cells,NKT cells,Normal Epithelial,PVL,Plasmablasts,T cells CD4+,T cells CD8+
B-cells,0.986207639249837,6.340602783071536e-05,6.34060251586628e-05,6.340602515863608e-05,6.340602515703822e-05,6.340602460840326e-05,0.003967298981166291,6.340602475394356e-05,6.340602412404694e-05,0.0006165888590117965,0.008606394317306431,9.483039081920114e-05,6.340602506759094e-05
CAFs,2.683754937892842e-05,0.9728728859077718,0.0017666358329221955,0.00238563033512009,2.6837549042477058e-05,2.6837547201844323e-05,0.0002945896187705704,0.0003263878514026377,2.683754847184764e-05,0.021656231507899634,0.0005366136539884852,2.6837549042198683e-05,2.683754898757012e-05
Cancer Epithelial,0.0004324060092964482,5.04766962788529e-05,0.5667528608546141,0.010549447674271243,5.0476695023804496e-05,0.0007356621468410202,5.047669478059506e-05,0.0016001713179142763,0.40453781827466617,5.0476695026541456e-05,0.000930337894732179,0.014208912352345943,5.0476694208884736e-05
Cycling T-cells,0.00977624799740871,7.927534514075636e-05,7.92753440026821e-05,0.2145759708611768,7.927534403705377e-05,7.927534403258564e-05,0.00068742274008152,7.92753439742233e-05,7.927534405453637e-05,7.927534378130094e-05,7.927534334661282e-05,0.19436265633883193,0.5799634993101315
Endothelial,0.0002923429436234554,4.238853276436874e-05,0.004419009763369222,0.004258254038533624,0.9755698733933682,4.238853361324928e-05,4.238853356504088e-05,4.2388537103896476e-05,4.238853314390344e-05,0.002939920603812821,0.0008539436965638939,0.011412324357261198,4.238853327712208e-05
Myeloid,7.985236154565876e-05,4.36515975589814e-05,4.365158939707902e-05,4.3651589397087864e-05,4.365158921828448e-05,0.9953159462050506,4.3651589371306024e-05,4.36515900572166e-05,4.365158804275866e-05,4.365158609729302e-05,4.365158345836826e-05,0.0025559117928554815,0.0016554253379496777
NK cells,0.007767529834624022,5.329904992172334e-05,5.3299050867680455e-05,5.3299050867679676e-05,5.32990508676751e-05,0.0004025691224266967,0.8243805663600942,6.189747025984062e-05,5.329905093111931e-05,0.00030541737242465486,0.000516517237862053,0.01603377305160858,0.1502652342972441
NKT cells,5.978087682194829e-05,5.978087240310184e-05,5.978087673489458e-05,0.0017731630235552891,5.97808767348874e-05,5.978087671714886e-05,0.15761024550004582,0.637227229839515,5.978087464495e-05,5.9780877022900084e-05,0.0004191735480593023,5.9780876734873794e-05,0.20249194108100982
PVL,4.9807699390385686e-05,0.046125746326869076,0.0927208968044558,0.011747758632829477,0.01650114926650971,0.0003418792191521998,4.980769885399977e-05,0.00015342479345820342,0.05418023559458431,0.7778065555425954,0.0002231230239321842,4.9807699422680884e-05,4.9807697946589235e-05
T cells CD4+,0.00010407638261331268,0.00010407638186694505,0.00010407638267896151,0.00010407638267899114,0.00010407638267897626,0.00010407638243913383,0.0007723548463124732,0.000104076382546271,0.00010407638280046157,0.00010407638282433052,0.00010407639277930155,0.5197969134596416,0.47838996785813903
T cells CD8+,6.087611728073718e-05,6.0876112994632386e-05,6.087611735468411e-05,0.0005009179621073801,6.087611735468004e-05,6.087611432673128e-05,0.02517428737798923,0.01016677280829035,0.0007193009063601219,6.0876120085524516e-05,6.0876118957542904e-05,0.024852240298336676,0.9381603478285617
