"","B-cells","CAFs","Cancer Epithelial","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0000_depth100",6.1378666408256e-05,6.13786659087543e-05,0.453108600521854,0.0368247910799627,6.13786663816617e-05,6.13786664367872e-05,6.13786663137329e-05,6.13786660510744e-05,0.35133947770199,6.1378666532205e-05,0.00521290899477435,6.13786663827793e-05,6.13786663695725e-05
"mix_0000_depth25",6.13786663673624e-05,6.1378666303814e-05,0.460702437819577,0.0434239165238358,6.13786663827778e-05,0.000658638121805684,6.1378666369962e-05,6.13786686126816e-05,0.362051081497101,0.00143552306093564,6.13786663827785e-05,6.13786663827742e-05,6.13786663837588e-05
"mix_0001_depth100",4.29650664067373e-05,4.29650675987039e-05,0.464992909033966,4.29650664679449e-05,0.00199103584699312,4.29650664708832e-05,4.29650664476568e-05,4.29650664778307e-05,0.397626544699482,4.29650666795435e-05,4.29650664679455e-05,0.0125151081442113,4.29650664119277e-05
"mix_0001_depth25",6.1378666382692e-05,6.13786652387678e-05,0.425278808527253,0.00139281904206843,6.13786663827785e-05,6.13786664153923e-05,6.13786663988767e-05,6.13786664388917e-05,0.449522310361927,6.13786661025801e-05,6.13786663827786e-05,0.00373595892386779,6.13786663823334e-05
"mix_0002_depth100",4.2965066464542e-05,4.29650628373917e-05,0.379289089350038,4.29650664679449e-05,4.29650664598286e-05,4.29650665605865e-05,4.29650664456418e-05,4.29650667216115e-05,0.455614175470798,4.2965066568362e-05,0.0215970208855466,0.0296379874547373,4.296506649838e-05
"mix_0002_depth25",6.1378666375813e-05,6.13786660702783e-05,0.35697845582096,6.13786663827786e-05,6.137866638278e-05,6.13786663516191e-05,6.13786663749535e-05,6.13786663632516e-05,0.485192141907288,6.13786674040343e-05,0.0238305843990293,0.0396567950588855,6.13786661102173e-05
"mix_0003_depth100",0.00141588737955864,4.29650676562016e-05,0.50645276215413,4.29650664679465e-05,4.2965066466179e-05,0.0386160252040076,4.29650665232214e-05,4.29650665006244e-05,0.389431401730826,4.29650664467952e-05,0.000580361465351994,0.0156298049021378,4.29650665640487e-05
"mix_0003_depth25",0.00162707801301391,6.13786655904215e-05,0.473585608823318,6.13786663827787e-05,0.000170557195217214,0.0451149930740216,6.13786663836432e-05,6.13786662711141e-05,0.420882389921808,0.000795308271404766,6.13786663827785e-05,0.0227641793774543,6.13786663466318e-05
"mix_0004_depth100",6.13786663807219e-05,6.13786662976902e-05,0.495707273260807,0.0129700332712727,6.1378666383097e-05,0.0425578550322741,6.13786663935629e-05,6.13786662475652e-05,0.37144738510309,0.00141590237653905,0.00168241025037244,6.13786663851647e-05,6.13786662957658e-05
"mix_0004_depth25",0.00657003311448088,0.000112194813413355,0.487875490983792,0.00539415574606327,8.76838091182557e-05,0.039798257358071,8.76838090926166e-05,8.76838094875585e-05,0.39728335596234,0.0046244016279673,0.00318616332070617,8.76838091182538e-05,8.76838091227527e-05
"mix_0005_depth100",0.012247526269112,8.76838090101598e-05,0.375625437223385,0.00181234828470929,8.768380911643e-05,0.0994223755304329,8.76838090954739e-05,8.76838093259154e-05,0.382522506821595,8.76838090100413e-05,0.00374803734890849,8.76838091182552e-05,0.000473054138107604
"mix_0005_depth25",0.00307522019069845,8.76838091344749e-05,0.331527943678823,8.76838091182549e-05,8.76838091182548e-05,0.11338078536682,8.768380911733e-05,8.76838090776e-05,0.418636823204846,0.000446017345133807,0.0022856797292721,8.76838091182528e-05,0.00937845027623459
"mix_0006_depth100",4.29650664702741e-05,0.00317894350574631,0.391404972377473,4.29650664679447e-05,0.0821338071833171,4.29650664856679e-05,4.29650669539823e-05,4.29650662171048e-05,0.394709875248354,4.29650664839954e-05,0.0305621182437945,4.29650664701256e-05,4.29650669658618e-05
"mix_0006_depth25",6.13786663801176e-05,0.00366503891698142,0.385804858086151,6.13786663827777e-05,0.0835085498968852,0.00364227734598011,6.13786663064067e-05,6.13786703896293e-05,0.381024190049557,6.13786643798875e-05,0.0339637933814487,6.13786663827755e-05,6.1378668166384e-05
"mix_0007_depth100",4.29650664623825e-05,4.2965066650293e-05,0.453807155936061,4.29650664679449e-05,0.0268198263345066,4.29650665226896e-05,4.29650663978202e-05,4.29650663809031e-05,0.330833255239515,4.29650664800972e-05,0.00154828485885306,4.29650664694028e-05,4.29650664909447e-05
"mix_0007_depth25",6.13786663724409e-05,6.13786663416961e-05,0.449816721432036,0.000589834142837133,0.0168518870663965,6.13786663641446e-05,6.13786666684533e-05,6.13786663551767e-05,0.380615114675582,0.000614246519371488,6.13786663827784e-05,0.00129992472621366,6.13786664054428e-05
"mix_0008_depth100",4.29650664697984e-05,4.2965066187873e-05,0.503925733144468,4.29650664679449e-05,0.0220225684373884,4.29650664720092e-05,4.29650665062782e-05,4.2965067009695e-05,0.403983772760116,4.29650652296684e-05,4.29650664679446e-05,0.00774733585021136,4.29650664932575e-05
"mix_0008_depth25",6.13786663748485e-05,6.13786663585414e-05,0.426733579427599,0.000595030444281543,0.0251053148644513,6.1378666509055e-05,6.13786663807065e-05,6.1378666337797e-05,0.473198370869074,6.13786675679379e-05,6.13786663827784e-05,0.0103123722470272,6.13786665478713e-05
