"","B-cells","CAFs","Cancer Epithelial","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0000_depth100",7.24626910584796e-05,7.24626904687757e-05,0.534932908401196,0.0434747708849123,7.24626910270827e-05,7.24626910921631e-05,7.24626909468871e-05,7.24626906367966e-05,0.41478587788187,7.24626912048118e-05,0.00615427861354598,7.24626910284022e-05,7.24626910128105e-05
"mix_0000_depth25",7.06506754610086e-05,7.06506753878604e-05,0.53029725709052,0.0499836378850159,7.06506754787526e-05,0.000758133581975076,7.06506754640009e-05,7.06506780455111e-05,0.416743389406069,0.00165237663014599,7.06506754787535e-05,7.06506754787485e-05,7.06506754798818e-05
"mix_0001_depth100",4.89623532607229e-05,4.89623546190704e-05,0.529899031467159,4.89623533304743e-05,0.00226895495918408,4.89623533338227e-05,4.89623533073543e-05,4.896235334174e-05,0.453129320530128,4.89623535716088e-05,4.89623533304749e-05,0.0142620318621673,4.89623532666379e-05
"mix_0001_depth25",6.97102781560862e-05,6.97102768568844e-05,0.483006650087198,0.00158188192357113,6.97102781561845e-05,6.97102781932253e-05,6.97102781744678e-05,6.97102782199145e-05,0.510540993141111,6.97102778379516e-05,6.97102781561846e-05,0.00424308234621362,6.9710278155679e-05
"mix_0002_depth100",4.84645875338072e-05,4.84645834423823e-05,0.427838027123576,4.84645875376457e-05,4.84645875284906e-05,4.84645876421454e-05,4.84645875124878e-05,4.84645878237815e-05,0.513932711054245,4.84645876509162e-05,0.0243614358199781,0.0334316447179575,4.84645875719765e-05
"mix_0002_depth25",6.77311443118717e-05,6.77311439747152e-05,0.393924481177168,6.77311443195582e-05,6.77311443195598e-05,6.77311442851739e-05,6.77311443109233e-05,6.77311442980102e-05,0.535407836678879,6.77311454465104e-05,0.0262969667845852,0.0437611350600825,6.77311440187878e-05
"mix_0003_depth100",0.00148660987359867,4.51111399957913e-05,0.531749691111972,4.51111387481838e-05,4.51111387463281e-05,0.0405448661921879,4.51111388062197e-05,4.51111387824939e-05,0.408883203043224,4.5111138725976e-05,0.000609350077629343,0.0164105017287334,4.51111388490862e-05
"mix_0003_depth25",0.00168555255033134,6.35845149982892e-05,0.490605505309314,6.35845158191224e-05,0.000176686743399118,0.0467363525447921,6.35845158200179e-05,6.35845157034448e-05,0.436008218443173,0.000823890357096512,6.35845158191222e-05,0.0235822869579519,6.35845157816764e-05
"mix_0004_depth100",6.62685919893699e-05,6.62685918997233e-05,0.535199361193698,0.0140033319983061,6.62685919919342e-05,0.0459483611713389,6.62685920032339e-05,6.62685918456049e-05,0.401039915990197,0.00152870471811222,0.00181644478472543,6.62685919941666e-05,6.62685918976456e-05
"mix_0004_depth25",0.00695033845361528,0.000118689192638057,0.516116087464958,0.00570639560765984,9.27593726933945e-05,0.0421019732599223,9.27593726662712e-05,9.27593730840743e-05,0.420280040878387,0.00489208439284432,0.0033705938861394,9.27593726933925e-05,9.27593726981517e-05
