gene,reason
FAM213B,not present under exact name in slice features
LINC00982,not present under exact name in slice features
NPPA-AS1,not present under exact name in slice features
PQLC2,not present under exact name in slice features
MINOS1,not present under exact name in slice features
C1orf123,not present under exact name in slice features
FPGT-TNNI3K,not present under exact name in slice features
CYR61,not present under exact name in slice features
FAM69A,not present under exact name in slice features
TMEM56,not present under exact name in slice features
NOTCH2NL,not present under exact name in slice features
PMF1-BGLAP,not present under exact name in slice features
RGS5.1,not present under exact name in slice features
METTL13,not present under exact name in slice features
FAM129A,not present under exact name in slice features
TROVE2,not present under exact name in slice features
TMEM206,not present under exact name in slice features
C2orf48,not present under exact name in slice features
PQLC3,not present under exact name in slice features
FAM84A,not present under exact name in slice features
C2orf70,not present under exact name in slice features
AC016722.3,not present under exact name in slice features
AC008074.3,not present under exact name in slice features
AC109826.1,not present under exact name in slice features
C2orf40,not present under exact name in slice features
SEPT10,not present under exact name in slice features
AC093901.1,not present under exact name in slice features
C2orf27B,not present under exact name in slice features
SSFA2,not present under exact name in slice features
ALS2CR12,not present under exact name in slice features
AC105760.2,not present under exact name in slice features
AC062017.1,not present under exact name in slice features
C2orf54,not present under exact name in slice features
SEPT2,not present under exact name in slice features
FAM198A,not present under exact name in slice features
FAM208A,not present under exact name in slice features
DIRC2,not present under exact name in slice features
C3orf36,not present under exact name in slice features
C3orf58,not present under exact name in slice features
PQLC2L,not present under exact name in slice features
NCBP2-AS2,not present under exact name in slice features
SEPT11,not present under exact name in slice features
FAM198B,not present under exact name in slice features
FAM173B,not present under exact name in slice features
COL4A3BP,not present under exact name in slice features
FAM81B,not present under exact name in slice features
SEPT8,not present under exact name in slice features
ANKHD1-EIF4EBP3,not present under exact name in slice features
MSH5-SAPCD1,not present under exact name in slice features
C6orf48,not present under exact name in slice features
PPT2-EGFL8,not present under exact name in slice features
C6orf106,not present under exact name in slice features
MUT,not present under exact name in slice features
DOPEY1,not present under exact name in slice features
C6orf203,not present under exact name in slice features
WISP3,not present under exact name in slice features
CTGF,not present under exact name in slice features
RBAK-RBAKDN,not present under exact name in slice features
ISPD,not present under exact name in slice features
NUPL2,not present under exact name in slice features
SEPT7-AS1,not present under exact name in slice features
SEPT7,not present under exact name in slice features
YAE1D1,not present under exact name in slice features
LINC01372,not present under exact name in slice features
C7orf43,not present under exact name in slice features
KIAA1147,not present under exact name in slice features
CXorf36,not present under exact name in slice features
MUM1L1,not present under exact name in slice features
CXorf57,not present under exact name in slice features
SEPT6,not present under exact name in slice features
C8orf44,not present under exact name in slice features
C8orf59,not present under exact name in slice features
SLC7A13,not present under exact name in slice features
NOV,not present under exact name in slice features
ZHX1-C8orf76,not present under exact name in slice features
FAM84B,not present under exact name in slice features
WISP1,not present under exact name in slice features
C9orf66,not present under exact name in slice features
FAM95B1,not present under exact name in slice features
C9orf47,not present under exact name in slice features
C9orf3,not present under exact name in slice features
AAED1,not present under exact name in slice features
FAM206A,not present under exact name in slice features
PALM2,not present under exact name in slice features
FAM129B,not present under exact name in slice features
FAM69B,not present under exact name in slice features
HRASLS5,not present under exact name in slice features
RARRES3,not present under exact name in slice features
HRASLS2,not present under exact name in slice features
PLA2G16,not present under exact name in slice features
AP003774.1,not present under exact name in slice features
AP003774.4,not present under exact name in slice features
SSSCA1,not present under exact name in slice features
RBM14-RBM4,not present under exact name in slice features
ORAOV1,not present under exact name in slice features
RAB30-AS1,not present under exact name in slice features
KDELC2,not present under exact name in slice features
TMEM136,not present under exact name in slice features
FAM208B,not present under exact name in slice features
CASC10,not present under exact name in slice features
FAM213A,not present under exact name in slice features
FAM45A,not present under exact name in slice features
FAM196A,not present under exact name in slice features
KIAA1551,not present under exact name in slice features
FAM19A2,not present under exact name in slice features
PLEKHG7,not present under exact name in slice features
DLEU7-AS1,not present under exact name in slice features
UTP14C,not present under exact name in slice features
RNF219,not present under exact name in slice features
KDELC1,not present under exact name in slice features
KIAA0391,not present under exact name in slice features
ATP5S,not present under exact name in slice features
APOPT1,not present under exact name in slice features
PWAR6,not present under exact name in slice features
C15orf53,not present under exact name in slice features
JMJD7-PLA2G4B,not present under exact name in slice features
FAM96A,not present under exact name in slice features
KIAA1024,not present under exact name in slice features
ST20,not present under exact name in slice features
FAM173A,not present under exact name in slice features
NARFL,not present under exact name in slice features
MKL2,not present under exact name in slice features
C16orf45,not present under exact name in slice features
FAM57B,not present under exact name in slice features
SEPT1,not present under exact name in slice features
FAM96B,not present under exact name in slice features
FUK,not present under exact name in slice features
MTSS1L,not present under exact name in slice features
TLDC1,not present under exact name in slice features
FAM57A,not present under exact name in slice features
P2RX5-TAX1BP3,not present under exact name in slice features
RNASEK-C17orf49,not present under exact name in slice features
ZNF286B,not present under exact name in slice features
SLC47A2,not present under exact name in slice features
C17orf51,not present under exact name in slice features
SGK494,not present under exact name in slice features
SEPT4-AS1,not present under exact name in slice features
SEPT4,not present under exact name in slice features
SEPT9,not present under exact name in slice features
TMEM105,not present under exact name in slice features
HEXDC,not present under exact name in slice features
KIAA1468,not present under exact name in slice features
FAM69C,not present under exact name in slice features
PQLC1,not present under exact name in slice features
WISP2,not present under exact name in slice features
RTEL1-TNFRSF6B,not present under exact name in slice features
C19orf24,not present under exact name in slice features
MUM1,not present under exact name in slice features
AES,not present under exact name in slice features
C19orf70,not present under exact name in slice features
C19orf66,not present under exact name in slice features
ASNA1,not present under exact name in slice features
FAM129C,not present under exact name in slice features
BORCS8-MEF2B,not present under exact name in slice features
HKR1,not present under exact name in slice features
ZNF816-ZNF321P,not present under exact name in slice features
ZIM2-AS1,not present under exact name in slice features
EIF1AY,not present under exact name in slice features
IGLL5,not present under exact name in slice features
MKL1,not present under exact name in slice features
C22orf46,not present under exact name in slice features
SEPT3,not present under exact name in slice features
PRR5-ARHGAP8,not present under exact name in slice features
FAM19A5,not present under exact name in slice features
DOPEY2,not present under exact name in slice features
WRB,not present under exact name in slice features
C21orf2,not present under exact name in slice features
AC004556.1,not present under exact name in slice features
TUBA3E,not present under exact name in slice features
AC141928.1,not present under exact name in slice features
AC021224.1,not present under exact name in slice features
DSCAM-AS1,not present under exact name in slice features
FAM19A3,not present under exact name in slice features
AC078883.3,not present under exact name in slice features
TMED7-TICAM2,not present under exact name in slice features
TM4SF19-TCTEX1D2,not present under exact name in slice features
C15orf59,not present under exact name in slice features
UGT2B28,not present under exact name in slice features
CYP17A1-AS1,not present under exact name in slice features
CT62,not present under exact name in slice features
AC007966.1,not present under exact name in slice features
LINC01087,not present under exact name in slice features
