cell_type,spearman,mean_abs_change_pp,rmse_change_pp,mean_change_pp,old_mean_pct,new_mean_pct,top_k,top_overlap,top_retention
B-cells,0.7898114899512074,0.7431999195326219,1.3405675314555685,0.0583887533114259,1.717758065108447,1.7761468184198728,111,82,0.7387387387387387
CAFs,0.9798208840497199,2.1324572662892844,3.1966939428438015,-2.1026126535280345,7.276878103800321,5.174265450272288,111,102,0.918918918918919
Cancer Epithelial,0.993719178661563,5.147827544965582,6.840417670944881,5.124866479533507,68.86638779679062,73.99125427632411,111,86,0.7747747747747747
Endothelial,0.8525752729094094,0.7993993684493089,1.0814803478224542,-0.662932919625581,2.5657638780162055,1.902830958390624,111,94,0.8468468468468469
Myeloid,0.9925868259858958,0.495853684011362,0.7547527555029923,0.4089800641478768,5.333751732787972,5.74273179693585,111,104,0.9369369369369369
NK cells,0.6499814156628624,0.23392678994809002,0.5954211382956462,0.06787816810400729,0.2616960706982052,0.3295742388022125,111,67,0.6036036036036037
Normal Epithelial,0.6162321984464945,0.9093801267378169,1.6880631600977312,-0.20548561317679573,1.347626001408541,1.1421403882317454,111,69,0.6216216216216216
PVL,0.6564348207374204,0.5735281231602583,1.1838276823926666,-0.30779532398138665,0.902991099754672,0.5951957757732852,111,72,0.6486486486486487
Plasmablasts,0.7912241354001591,2.6395453971291483,5.048446125943683,-2.6395453971291483,3.04790366929898,0.4083582721698311,111,108,0.972972972972973
T cells,0.958632412831595,1.4774349475039572,2.229125789256056,0.2582584423441261,8.679243582336046,8.937502024680171,111,90,0.8108108108108109
