sample_id,subtype,cell_type,marker_panel,spearman,n_spots
CID4535,ER,T cells,T,0.8037296416119537,1102
CID4535,ER,T cells,CAF,0.7137363031308359,1102
CID4535,ER,T cells,NK,0.3992825049327599,1102
CID4535,ER,CAFs,T,0.5899323554733901,1102
CID4535,ER,CAFs,CAF,0.898048593975033,1102
CID4535,ER,CAFs,NK,0.32314115973053065,1102
CID4535,ER,NK cells,T,0.24574065844304363,1102
CID4535,ER,NK cells,CAF,0.35028984139700137,1102
CID4535,ER,NK cells,NK,0.30985857886742035,1102
CID4290,ER,T cells,T,0.30085527396279216,2419
CID4290,ER,T cells,CAF,0.028181352167294352,2419
CID4290,ER,T cells,NK,0.08223107813926904,2419
CID4290,ER,CAFs,T,0.06417435697414818,2419
CID4290,ER,CAFs,CAF,0.8370438302131314,2419
CID4290,ER,CAFs,NK,0.0631739249584613,2419
CID4290,ER,NK cells,T,0.04937708424469409,2419
CID4290,ER,NK cells,CAF,-0.11932457277459395,2419
CID4290,ER,NK cells,NK,0.1540958893413606,2419
CID4465,TNBC,T cells,T,0.3924733310870186,1207
CID4465,TNBC,T cells,CAF,-0.48081206443571817,1207
CID4465,TNBC,T cells,NK,0.24541279509793204,1207
CID4465,TNBC,CAFs,T,0.03708038644277012,1207
CID4465,TNBC,CAFs,CAF,0.9000719270260131,1207
CID4465,TNBC,CAFs,NK,-0.09680434898022555,1207
CID4465,TNBC,NK cells,T,-0.1704068676337657,1207
CID4465,TNBC,NK cells,CAF,-0.2889877879240939,1207
CID4465,TNBC,NK cells,NK,0.12715832977234667,1207
CID44971,TNBC,T cells,T,0.561917396601023,1159
CID44971,TNBC,T cells,CAF,-0.006644144046494466,1159
CID44971,TNBC,T cells,NK,0.3332488059456155,1159
CID44971,TNBC,CAFs,T,0.298171176231469,1159
CID44971,TNBC,CAFs,CAF,0.8924099741204339,1159
CID44971,TNBC,CAFs,NK,0.19762505735929847,1159
CID44971,TNBC,NK cells,T,0.027577960273616205,1159
CID44971,TNBC,NK cells,CAF,-0.19917233484913294,1159
CID44971,TNBC,NK cells,NK,0.16010463287021906,1159
1142243F,TNBC,T cells,T,0.37740984828077095,4662
1142243F,TNBC,T cells,CAF,0.18450435445354232,4662
1142243F,TNBC,T cells,NK,0.20235115186537894,4662
1142243F,TNBC,CAFs,T,0.27241745187550126,4662
1142243F,TNBC,CAFs,CAF,0.8388652736088218,4662
1142243F,TNBC,CAFs,NK,0.18893333059085432,4662
1142243F,TNBC,NK cells,T,0.22789288461897464,4662
1142243F,TNBC,NK cells,CAF,0.38080066295522724,4662
1142243F,TNBC,NK cells,NK,0.2958644488977705,4662
1160920F,TNBC,T cells,T,0.6284933087513781,4847
1160920F,TNBC,T cells,CAF,0.3195729603441939,4847
1160920F,TNBC,T cells,NK,0.3207554446861616,4847
1160920F,TNBC,CAFs,T,0.48527659451709987,4847
1160920F,TNBC,CAFs,CAF,0.8533491718067011,4847
1160920F,TNBC,CAFs,NK,0.294680317273265,4847
1160920F,TNBC,NK cells,T,0.2629355095452706,4847
1160920F,TNBC,NK cells,CAF,0.3705345456321223,4847
1160920F,TNBC,NK cells,NK,0.38153561410837145,4847
