"","B-cells","CAFs","Cancer LumA","Cancer LumB","Cancer Other","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0000_depth100",7.59926346237001e-05,7.59926341270849e-05,0.0417629822194062,0.110233730804336,0.467578851119262,7.59926345691543e-05,7.59926345691547e-05,7.59926345657005e-05,7.59926345577323e-05,7.59926356729198e-05,0.206064784003353,7.59926348625675e-05,0.0110888725408308,0.0158022118048601,7.59926346388478e-05
"mix_0000_depth25",7.59926345542237e-05,7.59926345100548e-05,0.0176181321643052,0.117357919787434,0.486957727889924,0.0068794888406914,7.59926345691541e-05,0.00347092367772212,7.5992634549625e-05,7.59926343440413e-05,0.218594197271456,7.59926345361684e-05,0.00464262213018458,0.00249096645125119,7.59926345801709e-05
"mix_0001_depth100",5.31948441796481e-05,5.31948445032532e-05,0.405341504487124,0.247569578782727,5.42515736838768e-05,0.00277833812100651,0.000729265629820939,5.31948443116682e-05,5.31948442844821e-05,5.31948441424064e-05,0.233808656676503,5.31948430508468e-05,5.3194844196388e-05,0.0115130093906376,5.31948441688928e-05
"mix_0001_depth25",5.31948441961174e-05,5.31948442639295e-05,0.420156612447898,0.217896639403644,8.13747181086827e-05,0.00327219052907558,5.31948441984081e-05,5.3194844255058e-05,5.31948441852112e-05,5.3194844274792e-05,0.255858854129761,5.31948464209497e-05,0.000386999378703847,0.00245208970898311,5.31948441848652e-05
"mix_0002_depth100",3.72363909238487e-05,3.72363920563822e-05,0.322714850093333,0.18676534515186,0.0523681605184119,3.72363909388856e-05,3.72363909470091e-05,3.72363909077527e-05,3.72363906557203e-05,3.72363888789798e-05,0.27075732663761,3.72363979024561e-05,0.0306059527315357,0.0352607347929699,3.72363909361048e-05
"mix_0002_depth25",5.3194844200054e-05,5.31948441697832e-05,0.312948342426866,0.175449925677698,0.0852081014499717,5.31948441984083e-05,5.31948441984107e-05,5.31948441967259e-05,5.31948441909711e-05,5.3194844690876e-05,0.272021549379131,5.31948445393856e-05,0.0336335173807396,0.0455513993114141,5.31948441953426e-05
"mix_0003_depth100",0.00208994250691793,3.72363915991168e-05,0.419440279017253,0.2610305489634,0.0248359845633705,3.72363909388837e-05,3.72363909382631e-05,0.0432718151621051,3.72363908967394e-05,3.72363913897382e-05,0.197166689615802,3.72363907422508e-05,0.00280605211361033,0.0119544140533722,3.72363913237807e-05
"mix_0003_depth25",0.00354405173044631,7.59926342706532e-05,0.385160664906319,0.259586703304293,8.74182234772603e-05,0.00519498355737865,8.2414265316219e-05,0.0501104184714006,7.59926345708635e-05,7.59926346351137e-05,0.237644434200274,7.59926346607363e-05,0.00177489070789573,0.0132069958563086,7.59926345980905e-05
"mix_0004_depth100",5.31948441994035e-05,5.31948442258058e-05,0.225864516753936,0.183226098798619,0.206752762015318,0.00815627192332631,5.31948441984078e-05,0.0442817833791318,5.31948443251219e-05,5.31948441886684e-05,0.241324732130632,0.000532032732271522,0.00156760657713739,5.31948441984046e-05,5.31948441691508e-05
"mix_0004_depth25",0.00692004492405375,0.000152744107737891,0.209873908333745,0.145966988368256,0.259756506585625,7.59926345691537e-05,7.5992634569155e-05,0.0410044996660346,7.59926345635391e-05,7.59926347883333e-05,0.249874521449895,0.00198163875635427,0.0024270136971109,7.59926345691546e-05,7.59926345763311e-05
"mix_0005_depth100",0.0122364802024983,7.59926345473997e-05,0.325484279416914,0.20290762983298,7.59926345691539e-05,0.00501147456226815,7.59926345703352e-05,0.10417741704047,7.59926345557535e-05,7.59926346815537e-05,0.241435060326657,7.5992637066697e-05,0.00544101506951467,7.59926345691538e-05,7.5992634558038e-05
"mix_0005_depth25",0.0112047774621695,0.000336149903932016,0.30981436688454,0.184905692916225,7.5992634569155e-05,7.59926345691548e-05,7.59926345691548e-05,0.117734078825465,7.59926345707783e-05,7.59926345715572e-05,0.256548285046851,7.59926345638308e-05,0.00600408016148611,7.59926345691543e-05,0.00819177615725502
"mix_0006_depth100",5.31948441898873e-05,0.00177811453929701,0.283763624560854,0.15731018402324,0.0952528257552155,5.3194844198408e-05,0.0819150540854146,0.000564615378812898,5.31948438484131e-05,5.3194846855948e-05,0.240950651116611,5.31948457133929e-05,0.0369558266225985,5.31948441895917e-05,5.31948465781207e-05
"mix_0006_depth25",7.59926345712348e-05,0.00420570080885148,0.229577930739703,0.129861524438361,0.154681576142722,7.5992634569157e-05,0.0787944758495727,0.00318257523964919,7.59926358801266e-05,7.59926339705685e-05,0.223717297757778,7.59926385545224e-05,0.0431126306848289,7.59926345691575e-05,7.59926345436066e-05
"mix_0007_depth100",5.31948441805583e-05,5.3194844051549e-05,0.392691039542463,0.24455047306073,5.31948441984075e-05,0.00248489301748091,0.0241012341668994,5.31948441980475e-05,5.31948439220679e-05,5.31948442525097e-05,0.17597141677753,5.31948435105136e-05,0.0049944479284086,5.3194844202106e-05,5.3194843838251e-05
"mix_0007_depth25",5.31948441998066e-05,5.3194844218167e-05,0.354611400322119,0.235237408041473,0.0361228895897216,0.00288611372501434,0.0152537341746605,5.31948442066379e-05,5.31948436836573e-05,5.31948440593705e-05,0.225840616730143,5.31948441680505e-05,5.3194844198408e-05,5.3194844198408e-05,5.31948442692515e-05
"mix_0008_depth100",5.31948441936885e-05,5.31948441882554e-05,0.395904142620856,0.256334109488759,0.0213743256787147,8.23607939976167e-05,0.0223802734832238,5.31948442395922e-05,5.31948441774088e-05,5.31948440823441e-05,0.238916467447531,5.31948455658969e-05,5.31948441984078e-05,0.00938800929893271,5.31948443252327e-05
"mix_0008_depth25",5.31948442019277e-05,5.31948442198451e-05,0.369185685600789,0.214015605112495,0.0165792123154134,0.00432797160137418,0.0229235050654621,5.31948439330999e-05,5.31948442046519e-05,5.31948443414237e-05,0.288799902685221,5.31948441187511e-05,0.00516141781877323,0.0116714719885373,5.31948441746979e-05
"mix_0009_depth100",0.0390725163331191,5.319484418512e-05,0.26605135021155,0.298851844054221,0.0423923269460783,0.000884146831461929,5.31948441984083e-05,5.31948442323825e-05,5.31948441742427e-05,5.31948445413626e-05,0.210369665046182,5.31948445281439e-05,0.059747210148675,5.31948441984081e-05,5.31948441692685e-05
"mix_0009_depth25",0.0322241213555026,0.00270220868116431,0.281840040191991,0.30431909391126,0.000126266815934591,7.59926345691544e-05,7.59926345691505e-05,0.00544497262807106,7.59926345722117e-05,7.59926345030451e-05,0.216852364358271,7.59926344670818e-05,0.058008317491559,0.0227139998631473,7.59926345699932e-05
"mix_0010_depth100",0.0613265653589003,5.31948441075015e-05,0.416377291592905,0.189798462233509,5.31948441984072e-05,5.31948441984079e-05,0.000730592484930807,5.31948441984094e-05,5.3194844197562e-05,5.3194846702518e-05,0.258524827382932,5.31948501851289e-05,0.0100427112173438,5.31948441984098e-05,5.31948441935026e-05
"mix_0010_depth25",0.0739440176944764,5.3194844206058e-05,0.359596634521724,0.231304547458371,5.6928619095249e-05,5.31948441984077e-05,5.3194844198408e-05,5.3194844198408e-05,5.31948442165827e-05,5.3194844480321e-05,0.300652059022803,0.00172270006444179,0.0201842886143079,5.31948441984088e-05,5.31948442929e-05
"mix_0011_depth100",0.0264378781284623,5.31948441791633e-05,0.371128569298882,0.198524683303056,0.000118504500907697,0.00857799734297516,5.3194844198408e-05,0.000250749716323253,5.31948441656414e-05,5.31948469566484e-05,0.239473075409613,5.31948443289367e-05,0.0514022402731019,5.31948441984084e-05,5.31948441948038e-05
