"","B-cells","CAFs","Cancer LumA","Cancer LumB","Cancer Other","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0000_depth100",8.90661814516708e-05,8.90661808696193e-05,0.0489477614605096,0.129198013972417,0.548019725898065,8.9066181387741e-05,8.90661813877415e-05,8.90661813836931e-05,8.9066181374354e-05,8.90661826813951e-05,0.241515556523659,8.90661817316321e-05,0.0129965691899839,0.0185207773216282,8.90661814694244e-05
"mix_0000_depth25",8.85133913302903e-05,8.8513391278844e-05,0.0205209443772501,0.13669413543548,0.567190230775256,0.00801297246082434,8.85133913476806e-05,0.00404280266852142,8.85133913249338e-05,8.85133910854776e-05,0.254610382165565,8.85133913092602e-05,0.00540755340064537,0.00290138497742037,8.85133913605126e-05
"mix_0001_depth100",5.89599372046162e-05,5.89599375632927e-05,0.449271165646708,0.274400405601478,6.0131191790891e-05,0.00307944583115082,0.000808301187884256,5.89599373509442e-05,5.89599373208118e-05,5.89599371633384e-05,0.259148117230813,5.89599359534789e-05,5.89599372231704e-05,0.0127607538132024,5.89599371926953e-05
"mix_0001_depth25",5.90705754925895e-05,5.90705755678919e-05,0.466565759696797,0.241964800949901,9.03631075881218e-05,0.003633626164244,5.90705754951333e-05,5.90705755580405e-05,5.90705754804787e-05,5.90705755799543e-05,0.284120199743392,5.90705779631697e-05,0.000429746084621098,0.00272293964684008,5.90705754800945e-05
"mix_0002_depth100",4.1428660786094e-05,4.14286620461342e-05,0.359047795004996,0.207792375655252,0.0582640450452326,4.1428660802824e-05,4.1428660811862e-05,4.14286607681859e-05,4.14286604877784e-05,4.14286585110031e-05,0.301240618715146,4.142866855039e-05,0.0340517327885806,0.0392305748372294,4.142866079973e-05
"mix_0002_depth25",5.74898170690637e-05,5.74898170363489e-05,0.338215916011067,0.189615822429299,0.0920878374366237,5.74898170672852e-05,5.74898170672878e-05,5.74898170654669e-05,5.74898170592475e-05,5.74898175995149e-05,0.293984677421682,5.74898174357931e-05,0.0363491009454998,0.0492292374013648,5.74898170639719e-05
"mix_0003_depth100",0.00217056515253654,3.86728408765845e-05,0.435620812625925,0.27110019125023,0.0257940696663883,3.86728401908818e-05,3.86728401902373e-05,0.0449410898945631,3.86728401471118e-05,3.86728406591287e-05,0.204772688389486,3.86728399866636e-05,0.00291429975410479,0.0124155733841255,3.86728405906268e-05
"mix_0003_depth25",0.00370417221079474,7.94259862722129e-05,0.402562248000128,0.271314846905603,9.13677843186371e-05,0.00542969324162609,8.61377470127837e-05,0.0523744103333622,7.94259865859868e-05,7.94259866531397e-05,0.248381224701773,7.942598667992e-05,0.00185508038184229,0.0138036887607334,7.94259866144439e-05
"mix_0004_depth100",5.83226811614459e-05,5.83226811903933e-05,0.247637236175448,0.200888591770841,0.226683160741411,0.00894251414793217,5.83226811603542e-05,0.0485504257442731,5.83226812992832e-05,5.8322681149676e-05,0.264587773876477,0.000583319227243321,0.00171871954812483,5.83226811603507e-05,5.8322681128277e-05
"mix_0004_depth25",0.00753477872455292,0.000166312945351529,0.228517802515294,0.158933788799729,0.282831660901853,8.27433481225096e-05,8.2743348122511e-05,0.0446470846772462,8.27433481163961e-05,8.27433483611597e-05,0.272071821598176,0.00215767523260253,0.00264261451621867,8.27433481225105e-05,8.27433481303246e-05
"mix_0005_depth100",0.0136369803946299,8.46902091377212e-05,0.362736887055353,0.226130988990463,8.46902091619651e-05,0.00558505217373572,8.46902091632816e-05,0.116100820679954,8.46902091470311e-05,8.46902092872295e-05,0.269067994207901,8.46902119453592e-05,0.00606375482180802,8.4690209161965e-05,8.4690209149577e-05
"mix_0005_depth25",0.0125155126350053,0.000375472728853498,0.346056459964609,0.206535965911932,8.48822550317252e-05,8.4882255031725e-05,8.4882255031725e-05,0.131506614574522,8.48822550335384e-05,8.48822550344084e-05,0.286559310422138,8.48822550257782e-05,0.00670643762237777,8.48822550317245e-05,0.00915005035534273
"mix_0006_depth100",5.91801295672362e-05,0.00197818135241363,0.31569164876269,0.175010138943333,0.105970318283415,5.91801295767155e-05,0.0911318303138029,0.000628143794434756,5.91801291873405e-05,5.91801325332721e-05,0.268061519298552,5.91801312621609e-05,0.041113958337441,5.91801295669073e-05,5.91801322241847e-05
"mix_0006_depth25",8.75828537016954e-05,0.00484714447305357,0.264592620515941,0.149667700830961,0.178273248849616,8.75828536993007e-05,0.0908120252676056,0.0036679741817287,8.75828552102163e-05,8.75828530094169e-05,0.257838137480166,8.75828582925047e-05,0.0496880684196449,8.75828536993012e-05,8.75828536698533e-05
"mix_0007_depth100",6.29322016326045e-05,6.29322014799799e-05,0.464573438657339,0.289315626675554,6.29322016537209e-05,0.0029397546100664,0.028512983759059,6.29322016532951e-05,6.29322013267972e-05,6.29322017177266e-05,0.208183120992505,6.29322008399076e-05,0.0059086854922874,6.29322016580965e-05,6.29322012276375e-05
"mix_0007_depth25",6.11132293338554e-05,6.11132293549489e-05,0.407397524295485,0.270253966936001,0.041500007545961,0.00331572979700597,0.0175243478731174,6.11132293417036e-05,6.1113228740874e-05,6.11132291725145e-05,0.25945840448911,6.11132292973721e-05,6.11132293322486e-05,6.11132293322487e-05,6.11132294136376e-05
"mix_0008_depth100",5.63024436312913e-05,5.63024436255409e-05,0.4190325399233,0.27130893922198,0.0226229963622204,8.717224444901e-05,0.0236877108175006,5.63024436798767e-05,5.63024436140606e-05,5.63024435134423e-05,0.252873772730175,5.6302445083663e-05,5.63024436362864e-05,0.00993644914982028,5.63024437705202e-05
"mix_0008_depth25",5.70125691078417e-05,5.7012569127045e-05,0.395681662945413,0.2293752272366,0.0177690808586264,0.00463858450423245,0.0245686952625995,5.70125688197205e-05,5.70125691107614e-05,5.70125692573491e-05,0.30952669675424,5.70125690186956e-05,0.0055318460745974,0.012509118380172,5.70125690786576e-05
"mix_0009_depth100",0.0425721785168076,5.79594204661737e-05,0.289881139962393,0.325619521063946,0.0461893392046923,0.000963338435210075,5.79594204806523e-05,5.79594205176695e-05,5.79594204543222e-05,5.79594208543244e-05,0.229212136185756,5.79594208399218e-05,0.065098671266652,5.7959420480652e-05,5.79594204489025e-05
"mix_0009_depth25",0.0348486671365311,0.00292229444596662,0.304794958970079,0.329104855645453,0.000136550821366083,8.21819778330836e-05,8.21819778330794e-05,0.00588844724701143,8.218197783639e-05,8.21819777615899e-05,0.234514256569504,8.21819777226976e-05,0.062732898908611,0.0245639783886573,8.21819778339907e-05
"mix_0010_depth100",0.0654304129497872,5.67545336410764e-05,0.444240403361899,0.202499384866836,5.67545337380653e-05,5.67545337380661e-05,0.000779482231024638,5.67545337380676e-05,5.67545337371636e-05,5.6754536409746e-05,0.275824776986027,5.67545401254061e-05,0.0107147487918284,5.6754533738068e-05,5.67545337328325e-05
"mix_0010_depth25",0.0748507041277847,5.3847108514482e-05,0.364005934964815,0.234140756548464,5.76266661883067e-05,5.38471085067379e-05,5.38471085067382e-05,5.38471085067383e-05,5.38471085251358e-05,5.3847108792108e-05,0.304338593127408,0.00174382346057023,0.0204317842363092,5.3847108506739e-05,5.38471086023888e-05
"mix_0011_depth100",0.0294971429912055,5.93502972335147e-05,0.414073793045635,0.221497010547518,0.000132217275206083,0.00957060218579031,5.93502972549863e-05,0.000279765274711228,5.93502972184281e-05,5.93503003323971e-05,0.267183754822458,5.93502974006192e-05,0.0573502617735297,5.93502972549868e-05,5.9350297250965e-05
