variant,method,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,absent_mean_prediction_pct,absent_ge1pct_fraction
baseline,RCTD,rna,factorial,0.25,B-cells,189,0.30823678637120927,0.7993403973687001,0.0010584947748896313,1.2626438886435083,0.14916893599249273,0.043209876543209874
baseline,RCTD,rna,factorial,0.25,CAFs,189,3.4692851422775894,5.327252462359711,-3.2176426556947866,5.178945005289994,0.049965416252780295,0.0
baseline,RCTD,rna,factorial,0.25,Cancer Epithelial,189,32.46530147081898,34.655002593990645,-32.46530147081898,32.46530147081898,,
baseline,RCTD,rna,factorial,0.25,Cycling T-cells,189,1.6143464476562868,3.38167123183862,0.1789479093623091,5.4715368709892305,0.9714813771007956,0.20987654320987653
baseline,RCTD,rna,factorial,0.25,Endothelial,189,0.3572107762732484,1.242552501753396,-0.16977120563312784,2.094336438470749,0.06768983257366501,0.018518518518518517
baseline,RCTD,rna,factorial,0.25,Myeloid,189,0.4972112208236744,1.1026890135830534,0.1380860739646441,1.9790917389157683,0.2502311344749921,0.030864197530864196
baseline,RCTD,rna,factorial,0.25,NK cells,189,0.6384907903730362,1.2825287018293783,0.34387310222823086,1.6261271681227671,0.4738847274147476,0.1728395061728395
baseline,RCTD,rna,factorial,0.25,NKT cells,189,0.42488004001629875,0.894617999610252,0.21948581493950847,0.9698365613487807,0.3340539531275518,0.12345679012345678
baseline,RCTD,rna,factorial,0.25,Normal Epithelial,189,36.75726866901594,38.259992393845245,36.75726866901594,,36.757268669015936,0.9947089947089947
baseline,RCTD,rna,factorial,0.25,PVL,189,3.3398809139857044,4.935541802986765,-3.1470459807898923,3.3398809139857044,,
baseline,RCTD,rna,factorial,0.25,Plasmablasts,189,0.06216856191041733,0.12402111456152526,0.06216856191041733,,0.062168561910417336,0.0
baseline,RCTD,rna,factorial,0.25,T cells CD4+,189,2.7164852127522185,4.750721800357543,2.4954373704228017,3.380253355142434,2.6058571890205164,0.48148148148148145
baseline,RCTD,rna,factorial,0.25,T cells CD8+,189,1.9616108858474535,3.115839043829679,-1.1965646836819606,2.8855487840965375,0.11373508934928363,0.06349206349206349
baseline,RCTD,rna,factorial,0.25,Epithelial total,189,5.228468574396735,6.621971544058414,4.291967198196959,5.228468574396735,,
baseline,RCTD,rna,factorial,1.0,B-cells,189,0.225071064278211,0.6502012330209394,-0.02496668627488027,1.0545987944548474,0.086816442582105,0.024691358024691357
baseline,RCTD,rna,factorial,1.0,CAFs,189,3.6005665483397387,5.499845669869719,-3.2477985867040577,5.382659391546521,0.03638086192617186,0.0
baseline,RCTD,rna,factorial,1.0,Cancer Epithelial,189,31.39369497783643,33.29559643747785,-31.39369497783643,31.39369497783643,,
baseline,RCTD,rna,factorial,1.0,Cycling T-cells,189,1.4405905870065823,3.1206197038507497,0.0285286299057104,5.246502526126257,0.8062719304866364,0.15432098765432098
baseline,RCTD,rna,factorial,1.0,Endothelial,189,0.25374982817818104,0.9100612374789091,-0.13340489147328732,1.4729971585795625,0.05054193977795082,0.018518518518518517
baseline,RCTD,rna,factorial,1.0,Myeloid,189,0.3540220987884157,1.022031795717904,0.016435273245873794,1.8519085412663783,0.10437435837542196,0.024691358024691357
baseline,RCTD,rna,factorial,1.0,NK cells,189,0.5823093369416009,1.2110676512861933,0.3189462006638661,1.4054031424615983,0.44512703602160136,0.13580246913580246
baseline,RCTD,rna,factorial,1.0,NKT cells,189,0.3281704256889431,0.65325707462421,0.09268778755799084,1.0778440300135672,0.2032248249681724,0.06790123456790123
baseline,RCTD,rna,factorial,1.0,Normal Epithelial,189,36.323791679757555,37.54185251682,36.323791679757555,,36.32379167975756,0.9947089947089947
baseline,RCTD,rna,factorial,1.0,PVL,189,3.4885692065631475,5.0613271462453016,-3.3819648967817693,3.4885692065631475,,
baseline,RCTD,rna,factorial,1.0,Plasmablasts,189,0.0224510135470143,0.04283570518145097,0.0224510135470143,,0.022451013547014297,0.0
baseline,RCTD,rna,factorial,1.0,T cells CD4+,189,2.613969953016334,4.715103557947971,2.4960521823461987,2.7804549109365064,2.586222460029638,0.46296296296296297
baseline,RCTD,rna,factorial,1.0,T cells CD8+,189,1.7308994175471055,2.7844809709298124,-1.1170627279537801,2.5364758360857182,0.11974658046987896,0.047619047619047616
baseline,RCTD,rna,factorial,1.0,Epithelial total,189,5.556158652457983,7.067427721471256,4.930096701921127,5.556158652457983,,
baseline,RCTD,rna,pure,0.25,B-cells,55,0.783834429260042,1.8209443698064134,0.34623148369062356,2.406816200631801,0.6215362521228659,0.18
baseline,RCTD,rna,pure,0.25,CAFs,55,0.7899270915501101,2.6210100399294207,-0.013609489810333298,4.419451197482439,0.4269746809568773,0.06
baseline,RCTD,rna,pure,0.25,Cancer Epithelial,55,5.701639301872585,15.633428672714086,-3.204765165890645,48.98522457269776,1.373280774790067,0.08
baseline,RCTD,rna,pure,0.25,Cycling T-cells,55,7.323066200144639,22.52624293846027,-6.201972886497945,74.38771497653423,0.6166013225056821,0.12
baseline,RCTD,rna,pure,0.25,Endothelial,55,0.6701621818665238,2.6215410974741955,-0.3049708137246621,5.363231475751522,0.2008552524780239,0.02
baseline,RCTD,rna,pure,0.25,Myeloid,55,0.18787674369338522,0.7349570398600923,-0.09214448222921845,1.54011674257432,0.05265274380529171,0.0
baseline,RCTD,rna,pure,0.25,NK cells,55,4.772721164224877,12.11724821079675,1.271680506647336,19.25572361667648,3.3244209189797176,0.2
baseline,RCTD,rna,pure,0.25,NKT cells,55,4.3349725303878595,15.428040699678393,-4.064558706664251,46.19742180378661,0.1487276030479857,0.04
baseline,RCTD,rna,pure,0.25,Normal Epithelial,55,4.554154534811926,13.514999039501967,4.554154534811926,,4.554154534811926,0.14545454545454545
baseline,RCTD,rna,pure,0.25,PVL,55,2.8094741343747174,10.576489360114104,-2.0471886353310795,26.71164523338188,0.41925702447400093,0.08
baseline,RCTD,rna,pure,0.25,Plasmablasts,55,0.1338007771275668,0.6481920305861218,0.1338007771275668,,0.13380077712756677,0.01818181818181818
baseline,RCTD,rna,pure,0.25,T cells CD4+,55,7.230397519434719,15.883158643297051,0.5273745126103997,36.86662653753376,4.266774617624817,0.3
baseline,RCTD,rna,pure,0.25,T cells CD8+,55,11.864466800149534,22.73004767523826,9.095968365260266,15.226741391890982,11.528239340975393,0.4
baseline,RCTD,rna,pure,0.25,Epithelial total,55,2.3250468438162852,7.7743657420856795,1.349389368921282,5.366116111922518,2.020939917005662,0.08
baseline,RCTD,rna,pure,1.0,B-cells,55,0.2949283502013327,0.8171615083212448,0.04415815474382375,1.379236075016299,0.18649757771983605,0.06
baseline,RCTD,rna,pure,1.0,CAFs,55,0.6710008275987034,2.589274274417239,0.17778057137637224,2.7127114092228206,0.46682976943629145,0.06
baseline,RCTD,rna,pure,1.0,Cancer Epithelial,55,4.841982244839342,13.717250555328432,-3.0352384668949464,43.324713914538606,0.9937090778694189,0.08
baseline,RCTD,rna,pure,1.0,Cycling T-cells,55,7.4263966713940235,23.706783279625533,-6.854040222039126,78.54240291388233,0.31479604714519493,0.08
baseline,RCTD,rna,pure,1.0,Endothelial,55,0.37702686821142145,1.5692325170901422,-0.06715725190915625,2.4430126606631775,0.1704282889662459,0.02
baseline,RCTD,rna,pure,1.0,Myeloid,55,0.060007319148258145,0.28768272388765775,-0.025157295305367002,0.4684053794949383,0.01916751311359013,0.0
baseline,RCTD,rna,pure,1.0,NK cells,55,3.311926883825842,8.559238599542592,0.11884627219119105,17.561943363990583,1.8869252358093682,0.14
baseline,RCTD,rna,pure,1.0,NKT cells,55,3.4128565661840535,11.729437072317603,-3.183011982188402,36.27727701604851,0.12641452119760857,0.02
baseline,RCTD,rna,pure,1.0,Normal Epithelial,55,4.18100063747113,12.49583477756153,4.18100063747113,,4.181000637471131,0.14545454545454545
