"","B-cells","CAFs","Cancer Epithelial","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0000_depth100",4.29650664381736e-05,4.29650675728128e-05,0.657013030617312,0.0254614834946354,4.29650664642195e-05,4.29650664213865e-05,4.29650664744293e-05,4.2965066365038e-05,0.167466491009472,4.29650668277184e-05,0.00950630896732604,4.29650664679451e-05,4.29650665103691e-05
"mix_0000_depth25",6.13786663850474e-05,6.13786664093622e-05,0.621705920634041,0.0326012403254096,6.13786663827771e-05,0.00267831084374947,6.13786663611658e-05,6.13786661627636e-05,0.180639384495812,0.000244126765590804,0.0023275443810121,6.13786663827715e-05,6.13786663831454e-05
"mix_0001_depth100",4.29650664771858e-05,4.2965066421436e-05,0.659183111059554,0.000692843011274965,0.0011267478551498,4.29650664341571e-05,4.29650664593587e-05,4.29650660184778e-05,0.204015692814211,4.29650645720584e-05,4.29650664636419e-05,0.0123432608128361,4.29650664540243e-05
"mix_0001_depth25",4.29650664635423e-05,4.29650664371708e-05,0.645463403485626,0.000884265816696065,4.2965066467945e-05,4.29650664993711e-05,4.29650664902088e-05,4.29650665892615e-05,0.231341832498545,4.29650665979176e-05,4.29650664679449e-05,0.00602042575839994,4.29650664748899e-05
"mix_0002_depth100",4.29650664664318e-05,4.29650673422976e-05,0.559794891185455,4.29650664679448e-05,4.2965066512529e-05,4.29650665121912e-05,4.29650661495075e-05,4.29650696640437e-05,0.253165662814147,4.29650613968638e-05,0.0293741492321127,0.0336667820924987,4.29650664484382e-05
"mix_0002_depth25",6.13786663797661e-05,6.13786663904871e-05,0.57564264752833,6.13786663827785e-05,6.13786663827768e-05,6.13786663741036e-05,6.13786663773e-05,6.13786670826333e-05,0.257841036867273,6.13786665092394e-05,0.0331723881482858,0.0458937873628144,6.13786663759805e-05
"mix_0003_depth100",0.00238921416947805,4.29650709460837e-05,0.7185183091311,4.29650664679494e-05,4.2965066457995e-05,0.0404982488995262,4.29650669558899e-05,4.29650656805558e-05,0.176310352564553,4.29650658994006e-05,0.00172338397654233,0.0113653800759935,4.29650671374877e-05
"mix_0003_depth25",0.0041520090462932,6.13786655083766e-05,0.664129697716669,6.1378666382779e-05,0.00085353455419554,0.0470302389632091,6.13786663754907e-05,6.13786661541132e-05,0.21291228506895,6.13786663436102e-05,0.00117780451207099,0.0175422651343864,6.13786664122498e-05
"mix_0004_depth100",6.13786663778379e-05,6.13786663674279e-05,0.66210955596925,0.00960377589737463,6.13786663827782e-05,0.0408700325659845,6.13786665331752e-05,6.13786664117358e-05,0.212708280603636,0.000465814830687502,0.00162346686797875,6.13786663827807e-05,6.13786664057009e-05
"mix_0004_depth25",0.00530230968862991,0.00229459882246478,0.667577983325827,6.13786663827786e-05,6.13786663827773e-05,0.0392818606434958,6.13786663665566e-05,6.13786662826901e-05,0.224091114484671,0.00176162772584832,0.00217835685877544,6.13786663827781e-05,6.13786663302112e-05
"mix_0005_depth100",0.0117794483850303,8.76838092025554e-05,0.522488650856916,0.00251351805560492,8.76838091037629e-05,0.0997271259130951,8.76838091393439e-05,8.7683809109402e-05,0.227714981497035,8.76838046588162e-05,0.00513486483185472,8.76838091182554e-05,0.000314457530203866
"mix_0005_depth25",0.00566528630462477,8.76838091437036e-05,0.502150533590938,8.7683809118255e-05,8.76838091182596e-05,0.114013862124512,8.7683809109823e-05,8.76838091582822e-05,0.235252072631533,8.76838088758489e-05,0.00529767588606298,8.76838091182459e-05,0.00818853452311847
"mix_0006_depth100",4.29650664684823e-05,0.00220759306593676,0.571518613296471,4.29650664679449e-05,0.0773849399485232,0.000315791168507409,4.29650659411807e-05,4.29650688455699e-05,0.2145921320939,4.29650594220511e-05,0.0364299600838021,4.29650664679455e-05,4.29650651616067e-05
"mix_0006_depth25",6.13786663809544e-05,0.004869736069826,0.569296298668402,6.13786663827771e-05,0.0742588672409754,0.00278863366925405,6.13786653415305e-05,6.13786622263859e-05,0.199569115946402,6.13786644486583e-05,0.0416253909812149,6.13786663827753e-05,6.13786675907673e-05
"mix_0007_depth100",4.29650664765182e-05,4.29650663442549e-05,0.629157444321032,0.00147902406642034,0.0251034044716204,4.29650665067826e-05,4.29650666399918e-05,4.29650665525018e-05,0.1598599361886,4.29650664415525e-05,0.00362174093319971,4.29650664679453e-05,4.2965066393937e-05
"mix_0007_depth25",6.13786663795264e-05,6.13786664783826e-05,0.614253824998065,0.00151315863642162,0.0148320885840864,6.13786663820835e-05,6.13786660365858e-05,6.137866624885e-05,0.208988681725765,6.13786663943575e-05,6.13786663827786e-05,0.00126178003662398,6.13786664142683e-05
"mix_0008_depth100",4.29650664634638e-05,4.2965066513786e-05,0.685355611982039,4.29650664679449e-05,0.0222348042678504,4.29650663956926e-05,4.29650665148216e-05,4.29650665425109e-05,0.214838870764034,4.2965065696373e-05,4.29650664679452e-05,0.00911961558050276,4.2965066613743e-05
"mix_0008_depth25",6.13786663786066e-05,6.1378666386313e-05,0.628746379439935,0.0019045209237788,0.023623923324551,6.1378666955645e-05,6.13786663778314e-05,6.13786658700878e-05,0.25839128747016,6.1378666331094e-05,0.00439684132744283,0.0132415870502919,6.13786663805741e-05
"mix_0009_depth100",0.0380699075389575,6.13786663834762e-05,0.581284477214593,0.000512672851785881,6.13786663827772e-05,6.13786663852182e-05,6.13786663449636e-05,6.13786653096297e-05,0.192036608077323,6.13786664762166e-05,0.056987392937444,6.13786663827787e-05,6.13786660922158e-05
"mix_0009_depth25",0.0291193397622676,0.00130952458058485,0.532523015295958,8.76838091182552e-05,8.76838091182557e-05,0.00550405701652781,8.76838091124123e-05,8.76838100538086e-05,0.200225238212187,8.76838091966416e-05,0.0560929728395904,0.0251182095922122,8.76838091162642e-05
"mix_0010_depth100",0.0570989198547301,4.29650663988532e-05,0.630725754668122,4.29650664679449e-05,0.00169466576499172,4.2965066467945e-05,4.29650664823576e-05,4.29650691894532e-05,0.232414607306992,4.29650668561278e-05,0.0082178199460531,4.29650664679453e-05,4.29650668252576e-05
"mix_0010_depth25",0.0713453834472016,6.13786662669869e-05,0.614625673064679,6.13786663827807e-05,6.13786663827785e-05,6.13786663827785e-05,6.13786663240042e-05,6.13786665025578e-05,0.270988683783448,0.00160261088885192,0.0183969686017833,6.1378666382779e-05,6.13786662973392e-05
"mix_0011_depth100",0.0257514090128834,6.13786663836423e-05,0.565771874151154,6.13786663827784e-05,6.13786663827787e-05,0.000352584381878856,6.13786663753787e-05,6.13786656502228e-05,0.219171776489919,6.13786694078269e-05,0.0514590044694828,0.0048222783152312,6.13786664349732e-05
"mix_0011_depth25",0.0193826025882577,6.13786663762177e-05,0.584284599380913,0.00512810110930049,6.13786663827787e-05,0.0031708927298652,6.1378666374709e-05,6.13786660108976e-05,0.21046591102631,6.13786663474463e-05,0.055148751245144,0.0055639935212105,6.13786663834973e-05
"mix_0012_depth100",6.13786663425108e-05,6.13786665081415e-05,0.624471779195549,6.13786663827781e-05,6.13786664226747e-05,6.13786664186551e-05,0.00586692329671648,0.00261246670917233,0.188597145254577,0.000380106581787412,0.00410694346111464,0.0098163710556721,6.13786662485997e-05
"mix_0012_depth25",6.13786664165087e-05,6.1378666422617e-05,0.603846195929323,6.13786663827787e-05,6.13786663827786e-05,6.13786663652315e-05,6.13786663834041e-05,0.00366224148108556,0.196170450812135,6.1378666318629e-05,0.00471524599304504,0.036440121050613,6.13786664446853e-05
"mix_0013_depth100",6.13786659121262e-05,6.13786664974286e-05,0.521869854198359,6.13786663827782e-05,6.13786663827788e-05,6.13786663559327e-05,0.00620135746476794,6.13786665190367e-05,0.260187950802409,6.13786663937502e-05,0.0865923310594101,6.13786663827858e-05,0.00971751686875572
"mix_0013_depth25",6.13786665897876e-05,6.137866637962e-05,0.547165396317266,6.13786663827787e-05,6.13786663827831e-05,6.1378666307962e-05,6.13786663795528e-05,6.13786664043852e-05,0.264699772596959,6.13786662535601e-05,0.0844009577301189,6.13786663827747e-05,0.0196248124517352
"mix_0014_depth100",6.13786663835579e-05,6.13786665513447e-05,0.651922920301838,6.13786663827784e-05,6.13786663827764e-05,6.13786663750707e-05,0.0167017394993562,6.13786663803848e-05,0.175230389839913,6.13786667282446e-05,0.0129376599312434,0.0351879935979057,6.13786663869079e-05
"mix_0014_depth25",0.00174401796263,8.7683808649552e-05,0.589699904658284,8.76838091182527e-05,8.76838091182613e-05,0.000541059481308977,0.0131467542539846,0.00400784469465769,0.193670671834534,8.76838092475335e-05,0.0169817057859856,0.0305116433146149,8.76838091225684e-05
"mix_0015_depth100",6.13786663806694e-05,6.13786664810201e-05,0.7186171637853,0.00386053444883117,6.13786663855981e-05,6.13786663907135e-05,0.000892537527147974,0.044507917647919,0.153497851380666,0.000208063149827055,0.00139665364663122,6.13786663827784e-05,0.00092320957984536
"mix_0015_depth25",4.29650664623828e-05,4.29650664430833e-05,0.744860325193812,4.29650664679444e-05,4.29650664679442e-05,4.29650664694948e-05,0.00259535304641072,0.0455749433443325,0.185065654523013,4.29650663848189e-05,4.29650664679449e-05,4.29650664679447e-05,4.29650664689698e-05
"mix_0016_depth100",6.13786663931875e-05,6.13786663944125e-05,0.653425829797185,0.0043703041445065,6.13786663777965e-05,6.1378666399079e-05,6.1378666278986e-05,0.0266461878529682,0.160121848190385,6.13786549592977e-05,0.0150125032090213,6.13786663827771e-05,6.1378666345382e-05
"mix_0016_depth25",6.13786676585835e-05,6.13786663493576e-05,0.623750333535707,0.0105728774033415,6.13786663827787e-05,6.13786664046561e-05,6.13786663645511e-05,0.0199643554149925,0.171625500024712,6.13786643423479e-05,0.0149800389692211,0.0115706377833093,6.13786663816174e-05
