"","B-cells","CAFs","Cancer Epithelial","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0000_depth100",4.99690247812364e-05,4.9969026100839e-05,0.764116132713403,0.0296120919896932,4.9969024811528e-05,4.99690247617127e-05,4.99690248234022e-05,4.99690246961784e-05,0.194766072369996,4.99690252342828e-05,0.0110559817020173,4.9969024815861e-05,4.99690248652008e-05
"mix_0000_depth25",7.30154115864445e-05,7.30154116153691e-05,0.739574779876326,0.0387820902731159,7.30154115837437e-05,0.0031860902188068,7.30154115580351e-05,7.3015411322018e-05,0.214886698986617,0.000290410615262608,0.00276882214903769,7.3015411583737e-05,7.30154115841818e-05
"mix_0001_depth100",4.89515817585192e-05,4.89515816950015e-05,0.751030048376649,0.000789379933352464,0.00128374268388225,4.89515817094951e-05,4.89515817382082e-05,4.89515812358974e-05,0.232442113690636,4.89515795879418e-05,4.89515817430882e-05,0.0140631026642798,4.89515817321305e-05
"mix_0001_depth25",4.85977050744292e-05,4.85977050446004e-05,0.730082429769982,0.00100019138580082,4.85977050794091e-05,4.85977051149551e-05,4.85977051045917e-05,4.85977052166299e-05,0.261670307357308,4.85977052264209e-05,4.8597705079409e-05,0.00680969214088107,4.85977050872644e-05
"mix_0002_depth100",4.9025155623987e-05,4.90251566233909e-05,0.638752221629205,4.90251556257134e-05,4.90251556765859e-05,4.90251556762005e-05,4.90251552623614e-05,4.9025159272612e-05,0.288873893115243,4.90251498393721e-05,0.0335172817328622,0.0384153771234857,4.90251556034554e-05
"mix_0002_depth25",6.72199254532514e-05,6.72199254649928e-05,0.630425164586544,6.72199254565505e-05,6.72199254565487e-05,6.72199254470501e-05,6.72199254505507e-05,6.72199262230088e-05,0.282379144078646,6.72199255950464e-05,0.0363293240136149,0.0502613879911985,6.72199254491056e-05
"mix_0003_depth100",0.0025120386823798,4.51738155526397e-05,0.75545583547655,4.51738108442939e-05,4.51738108338277e-05,0.0425801793342283,4.51738113573184e-05,4.5173810016422e-05,0.185374099737126,4.51738102465172e-05,0.00181197954916432,0.0119496505401529,4.51738115482517e-05
"mix_0003_depth25",0.00437898909871503,6.47340851520576e-05,0.70043602362345,6.47340860742614e-05,0.000900195174559099,0.049601265660468,6.47340860665747e-05,6.4734085833095e-05,0.224551672432363,6.47340860329514e-05,0.00124219216800137,0.0185012573271793,6.47340861053433e-05
"mix_0004_depth100",6.61543076495788e-05,6.61543076383589e-05,0.713625789678794,0.0103510092806762,6.61543076549035e-05,0.0440499748133121,6.61543078170023e-05,6.61543076861142e-05,0.229258305288736,0.00050205811620834,0.00174978266849315,6.61543076549062e-05,6.61543076796097e-05
"mix_0004_depth25",0.0056236678706376,0.00243366804876922,0.708038020492269,6.50986559347135e-05,6.50986559347121e-05,0.0416626245112388,6.50986559175083e-05,6.5098655828559e-05,0.237672651094895,0.00186839506246144,0.00231038098429968,6.5098655934713e-05,6.50986558789601e-05
"mix_0005_depth100",0.013536497232975,0.000100762922154784,0.600424225770511,0.00288844002644198,0.000100762922041255,0.114602646902442,0.000100762922082144,0.000100762922047736,0.261681457075602,0.00010076291693329,0.00590079274649528,0.00010076292205791,0.000361362718215421
"mix_0005_depth25",0.00650299009754372,0.000100649272060785,0.576401574754031,0.000100649272031574,0.000100649272031579,0.130872647296423,0.000100649272021895,0.000100649272077519,0.27003787919785,0.000100649271753324,0.00608102255996142,0.000100649272031563,0.00939934119018214
"mix_0006_depth100",4.75935493720062e-05,0.00244540968309762,0.633086401923748,4.75935493714109e-05,0.0857213606964047,0.000349810294850262,4.75935487879001e-05,4.75935520051695e-05,0.237709424728742,4.75935415664865e-05,0.0403544378347588,4.75935493714115e-05,4.75935479243452e-05
"mix_0006_depth25",6.87456038718238e-05,0.00545422321069636,0.637625744278103,6.87456038738653e-05,0.0831717430879616,0.00312333774703282,6.87456027076436e-05,6.87455992186056e-05,0.223522278974743,6.8745601707605e-05,0.0466214534809821,6.87456038738632e-05,6.87456052268437e-05
"mix_0007_depth100",5.24242156450095e-05,5.24242154836273e-05,0.767672163472044,0.00180464463250756,0.0306301467068223,5.2424215681937e-05,5.24242158444734e-05,5.24242157377216e-05,0.195054551406987,5.24242156023459e-05,0.00441910005646536,5.24242156345493e-05,5.24242155442474e-05
"mix_0007_depth25",7.29534139396871e-05,7.29534140571855e-05,0.730089397544608,0.00179850907278918,0.0176291138581318,7.29534139427264e-05,7.29534135320749e-05,7.29534137843678e-05,0.248399626547358,7.2953413957315e-05,7.29534139435525e-05,0.00149972566597451,7.29534139809806e-05
"mix_0008_depth100",4.61030429654622e-05,4.61030430194598e-05,0.735410923958368,4.61030429702706e-05,0.0238587350344507,4.61030428927413e-05,4.61030430205709e-05,4.61030430502826e-05,0.230529742061689,4.61030421423465e-05,4.61030429702709e-05,0.00978567155933411,4.61030431267172e-05
"mix_0008_depth25",6.59465044099883e-05,6.59465044182682e-05,0.675538070976269,0.00204625654008459,0.0253820302007529,6.59465050299703e-05,6.59465044091554e-05,6.59465038636252e-05,0.277620925706407,6.59465043589398e-05,0.00472405695818915,0.0142270340873956,6.59465044121023e-05
"mix_0009_depth100",0.0437896157128476,7.06003346908339e-05,0.668617958975153,0.000589697969272456,7.06003346900299e-05,7.06003346928376e-05,7.0600334646535e-05,7.06003334556503e-05,0.22088861817958,7.06003347975078e-05,0.0655493064871271,7.06003346900316e-05,7.06003343558139e-05
"mix_0009_depth25",0.0342411896338172,0.00153985907166938,0.626189388220561,0.000103106662456821,0.000103106662456821,0.00647217490495719,0.00010310666244995,0.00010310666355693,0.235443193666896,0.000103106662548994,0.0659592606084348,0.0295362939177412,0.000103106662454479
