"","B-cells","CAFs","Cancer LumA","Cancer LumB","Cancer Other","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0000_depth100",7.59926345300791e-05,7.599263433758e-05,0.214957111729315,8.68262982053607e-05,0.384677095461067,0.00368157807917323,7.59926345611962e-05,7.59926346281233e-05,7.59926345793388e-05,7.59926341254742e-05,0.21327347148974,7.59926346069862e-05,0.0084129882902033,0.00934180193246971,7.59926345707523e-05
"mix_0000_depth25",0.000382658080726345,7.59926344754677e-05,0.202851161998556,8.28773394987683e-05,0.396185529026255,0.0119420005115314,7.59926345691493e-05,0.00180126782300843,7.59926345483977e-05,7.59926343247707e-05,0.223995911016881,8.02768424649698e-05,0.00298696627523082,7.59926345691538e-05,7.59926345722305e-05
"mix_0001_depth100",5.3194844120734e-05,5.31948441331541e-05,0.371587530647564,0.293806825191581,5.31948441984081e-05,0.00178143428600298,5.31948441984079e-05,5.31948441829333e-05,5.31948442120196e-05,5.31948443178133e-05,0.215550767059131,5.31948447336138e-05,5.31948441999214e-05,0.0117919407881152,5.31948442434415e-05
"mix_0001_depth25",5.31948442130743e-05,5.31948423546292e-05,0.390205674483346,0.255497933136485,5.31948441984049e-05,0.00356745931078737,5.31948441984084e-05,5.31948442409454e-05,5.31948441840336e-05,5.31948441100699e-05,0.249255002562148,5.31948444286284e-05,5.31948441984081e-05,5.31948441984081e-05,5.31948441900756e-05
"mix_0002_depth100",5.31948442117187e-05,5.31948451095271e-05,0.281857664091931,0.215898195646757,0.0366803809063848,5.3194844198408e-05,5.31948442081558e-05,5.31948442675431e-05,5.31948442624303e-05,5.31948445356437e-05,0.307703301753084,5.31948443820646e-05,0.023798542742009,0.029910295569047,5.31948443264702e-05
"mix_0002_depth25",5.31948442072883e-05,5.31948422712817e-05,0.276869112735947,0.198702559818378,0.0477259987884971,5.31948441984076e-05,5.31948441983978e-05,5.31948441794559e-05,5.31948441953289e-05,5.31948441899614e-05,0.328484486845669,5.31948456122666e-05,0.0257259095581625,0.0377136920293828,5.31948439427056e-05
"mix_0003_depth100",0.00122838114580548,5.31948442920132e-05,0.393904708124169,0.28198736113116,0.027976212533876,5.31948441984076e-05,5.31948441983689e-05,0.0399168053369794,5.31948441705494e-05,5.31948441263887e-05,0.204335685316784,0.000194723751843286,0.00145339182582738,0.0124650733622522,5.31948442971017e-05
"mix_0003_depth25",0.00167377006138411,5.31948442371196e-05,0.3626084211211,0.311970579501747,6.90160348042662e-05,5.3194844198408e-05,5.3194844198408e-05,0.0473001329080308,5.31948441970323e-05,5.31948439926794e-05,0.24274403422356,0.000927273621953485,0.000571023950038058,0.0173122236617699,5.31948442028073e-05
"mix_0004_depth100",5.31948441991347e-05,5.31948442956468e-05,0.297976179500131,0.147468501410129,0.187796243715925,0.00807843721674817,5.3194844198072e-05,0.0445237805945299,5.31948442377058e-05,5.31948439899012e-05,0.213560130475812,0.00144226855737106,0.00231910828424142,5.31948441984084e-05,5.31948441715403e-05
"mix_0004_depth25",0.00545308686372006,7.59926345556874e-05,0.311139751314031,0.0902138801035246,0.235602199396924,7.59926345691539e-05,7.59926345691545e-05,0.0399762660605933,7.59926345785998e-05,7.59926343692625e-05,0.228292173047569,0.00437376275068208,0.00292550498869335,7.59926345691555e-05,7.59926345674137e-05
"mix_0005_depth100",0.0110167144400563,7.59926349508833e-05,0.284028238453363,0.245287724889782,7.59926345691545e-05,0.00363269861865918,7.59926345621803e-05,0.100956148019199,7.59926346004202e-05,7.59926344072341e-05,0.247698767568834,7.59926343248505e-05,0.00383465539519624,7.59926345691541e-05,7.59926345887683e-05
"mix_0005_depth25",0.00833093186317175,7.59926345765146e-05,0.268261678109713,0.222564051114047,7.59926345691433e-05,7.59926345691538e-05,7.59926345691581e-05,0.112447903349563,7.59926345727434e-05,7.59926345810292e-05,0.279049024061432,0.000436586664472176,0.00256093971130402,7.5992634569158e-05,0.00873136038593973
"mix_0006_depth100",5.31948441999553e-05,0.00265371317986635,0.302105264211989,0.199615699824442,0.0583947055025504,5.31948441984079e-05,0.0831812416376368,5.31948441876684e-05,5.31948438186561e-05,5.31948427851048e-05,0.226032575901055,5.31948438557576e-05,0.0360094058086582,5.31948441898017e-05,5.31948442619611e-05
"mix_0006_depth25",7.59926345689426e-05,0.00296809928508526,0.284951936231856,0.142763417605352,0.107664739951347,7.59926345691604e-05,0.0842465718056398,0.0029735729751747,7.59926357015826e-05,7.59926347008747e-05,0.214269885282395,7.59926340425729e-05,0.0404499512795545,7.5992634569167e-05,7.59926348836231e-05
"mix_0007_depth100",5.31948442271976e-05,5.31948440723685e-05,0.352335371970728,0.282559364470506,5.31948441984096e-05,0.00141245333893916,0.0236505462994409,5.31948442275131e-05,5.31948443211904e-05,5.31948442560877e-05,0.181366109630533,5.31948439790561e-05,0.00167414688867568,5.31948441939421e-05,5.31948444932221e-05
"mix_0007_depth25",7.59926345611371e-05,7.59926345833434e-05,0.337513857436409,0.27802791035773,7.59926345691553e-05,0.00296468896274964,0.0162578676324489,7.59926345904033e-05,7.5992634564503e-05,7.5992634330595e-05,0.227904554040681,0.000709411223801946,7.59926345691542e-05,7.59926345691551e-05,7.59926345404834e-05
"mix_0008_depth100",5.31948442419579e-05,5.31948440963296e-05,0.367851765244716,0.316488182647365,0.000545059222923001,5.3194844198408e-05,0.0205011698186389,5.31948441719665e-05,5.31948441744976e-05,5.31948439628831e-05,0.236077686135323,5.3194844766493e-05,5.31948441984076e-05,0.00751219310398148,5.31948439684056e-05
"mix_0008_depth25",5.31948442081213e-05,5.31948442633905e-05,0.347141052754598,0.272004697404929,0.000152514916552398,0.00276237026191893,0.0252238048299779,5.3194843892218e-05,5.31948442023547e-05,5.3194844186032e-05,0.291721533656309,5.31948441454927e-05,5.3194844198408e-05,0.00785822876264283,5.31948442317585e-05
"mix_0009_depth100",0.0382331955095838,5.31948441555836e-05,0.251078811107238,0.359826900408067,0.0187610739563343,5.3194844198408e-05,5.31948441984044e-05,5.31948441810409e-05,5.31948441798966e-05,5.31948444427482e-05,0.191032013064532,5.31948442774787e-05,0.0540265496642805,5.31948441984083e-05,5.31948443438612e-05
"mix_0009_depth25",0.0351036584475863,0.0018059692393831,0.240590060257813,0.377338735638433,8.95745446947027e-05,7.59926345691543e-05,7.59926345691551e-05,0.00376910938745124,7.59926345663858e-05,7.59926346416464e-05,0.190226084946181,0.000465671636697909,0.0538632369105436,0.0186882889991064,7.59926346247436e-05
"mix_0010_depth100",0.0597371141697924,5.31948443427689e-05,0.370367040320732,0.225079267031327,5.31948441984076e-05,5.31948441984078e-05,5.3194844198408e-05,0.00050804647901819,5.31948442200887e-05,5.31948478904108e-05,0.274513992134282,5.31948441760283e-05,0.00530544499299083,5.31948441984087e-05,5.31948438342623e-05
"mix_0010_depth25",0.0761964993726231,5.31948442104304e-05,0.319408850122283,0.272561357915342,5.31948441984077e-05,5.31948441984048e-05,5.3194844198408e-05,5.31948441984079e-05,5.31948444202501e-05,5.3194845890978e-05,0.311601317954681,0.00279695224984552,0.0117167271125004,5.3194844198406e-05,5.31948446924188e-05
"mix_0011_depth100",0.0295864516365724,7.59926346722389e-05,0.329352055638144,0.235905928282352,7.59926345691545e-05,0.00741070553971864,7.59926345691516e-05,7.59926345447204e-05,7.59926346012988e-05,7.59926342096334e-05,0.252503110103316,7.59926344905037e-05,0.0422731997061613,7.59926345691534e-05,7.59926344325714e-05
"mix_0011_depth25",0.0293071686981271,7.59926345952526e-05,0.340505083546881,0.242353836127838,0.00696060811324054,0.00735125033368746,7.5992634569153e-05,0.000123437452523174,7.59926345711248e-05,7.599263462737e-05,0.233488700088399,0.000826242773772637,0.0488814741986403,7.59926345691545e-05,7.59926345707086e-05
