"","B-cells","CAFs","Cancer LumA","Cancer LumB","Cancer Other","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"mix_0000_depth100",9.10049128538725e-05,9.10049126233453e-05,0.257421700684734,0.000103978757289637,0.460669718398284,0.00440887060083793,9.10049128911368e-05,9.10049129712852e-05,9.10049129128635e-05,9.10049123693383e-05,0.255405458791987,9.10049129459726e-05,0.0100749667507258,0.0111872667136713,9.10049129025807e-05
"mix_0000_depth25",0.000455131054016278,9.03851494802948e-05,0.241269864192034,9.85737732456631e-05,0.471220513805556,0.0142037384120033,9.03851495917191e-05,0.00214241633495704,9.03851495670373e-05,9.03851493010567e-05,0.266419292343016,9.5480758840447e-05,0.00355267842920346,9.03851495917244e-05,9.03851495953838e-05
"mix_0001_depth100",5.94322301427839e-05,5.94322301566604e-05,0.41515819821769,0.328257280210747,5.94322302295658e-05,0.00199031718618587,5.94322302295655e-05,5.94322302122765e-05,5.94322302447733e-05,5.94322303629719e-05,0.240825271829655,5.94322308275272e-05,5.94322302312565e-05,0.0131746102528043,5.94322302798796e-05
"mix_0001_depth25",5.91638091674552e-05,5.91638071004749e-05,0.433990444049777,0.284167219255639,5.91638091511397e-05,0.00396776200773626,5.91638091511436e-05,5.91638091984538e-05,5.91638091351558e-05,5.91638090528927e-05,0.27722377278804,5.91638094071965e-05,5.91638091511433e-05,5.91638091511433e-05,5.91638091418758e-05
"mix_0002_depth100",5.93475776595169e-05,5.93475786611695e-05,0.314458475374966,0.240869864788002,0.0409229839222421,5.93475776446666e-05,5.93475776555419e-05,5.93475777217982e-05,5.9347577716094e-05,5.93475780209083e-05,0.343293525293527,5.93475778495657e-05,0.0265511796207792,0.0333698427997665,5.9347577787541e-05
"mix_0002_depth25",5.80919672211848e-05,5.80919651069493e-05,0.302357712693733,0.216995138603174,0.052119659311641,5.80919672114866e-05,5.8091967211476e-05,5.80919671907902e-05,5.80919672081245e-05,5.80919672022628e-05,0.358724803632226,5.80919687555056e-05,0.0280942395275064,0.0411856185276804,5.80919669322447e-05
"mix_0003_depth100",0.00127454317293748,5.51938833149385e-05,0.4087074750715,0.292584323043079,0.0290275463861168,5.51938832178152e-05,5.51938832177751e-05,0.041416861453341,5.51938831889102e-05,5.519388314309e-05,0.212014531155342,0.000202041385418606,0.00150800965607199,0.0129335053767907,5.51938833202183e-05
"mix_0003_depth25",0.00169840432204929,5.39777568302012e-05,0.367945229665697,0.316562108979193,7.00318009663394e-05,5.39777567909199e-05,5.39777567909199e-05,0.0479962881508783,5.39777567895239e-05,5.39777565821634e-05,0.246316699281886,0.000940921076068093,0.000579428182588175,0.0175670220000943,5.39777567953839e-05
"mix_0004_depth100",5.88740067032891e-05,5.8874006810105e-05,0.329788569802721,0.163212462998155,0.207845656432315,0.00894090346557813,5.8874006702113e-05,0.0492772071549891,5.88740067459781e-05,5.88740064717176e-05,0.236360134943168,0.00159624734300826,0.00256669981325566,5.88740067024854e-05,5.88740066727487e-05
"mix_0004_depth25",0.00593689272393206,8.27348124908303e-05,0.338744526149387,0.0982177877905503,0.256505171895937,8.27348125054915e-05,8.27348125054921e-05,0.0435230189865709,8.27348125157755e-05,8.27348122878655e-05,0.248546589293122,0.00476180939340755,0.00318506007977871,8.27348125054932e-05,8.27348125035969e-05
