variant,method,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,absent_mean_prediction_pct,absent_ge1pct_fraction
baseline,RCTD,rna,factorial,0.25,CAFs,189,3.4692851422775894,5.327252462359711,-3.2176426556947866,5.178945005289994,0.049965416252780295,0.0
baseline,RCTD,rna,factorial,0.25,Cancer Epithelial,189,32.46530147081898,34.655002593990645,-32.46530147081898,32.46530147081898,,
baseline,RCTD,rna,factorial,0.25,Normal Epithelial,189,36.75726866901594,38.259992393845245,36.75726866901594,,36.757268669015936,0.9947089947089947
baseline,RCTD,rna,factorial,0.25,T cells CD8+,189,1.9616108858474535,3.115839043829679,-1.1965646836819606,2.8855487840965375,0.11373508934928363,0.06349206349206349
baseline,RCTD,rna,factorial,0.25,Epithelial total,189,5.228468574396735,6.621971544058414,4.291967198196959,5.228468574396735,,
baseline,RCTD,rna,factorial,1.0,CAFs,189,3.6005665483397387,5.499845669869719,-3.2477985867040577,5.382659391546521,0.03638086192617186,0.0
baseline,RCTD,rna,factorial,1.0,Cancer Epithelial,189,31.39369497783643,33.29559643747785,-31.39369497783643,31.39369497783643,,
baseline,RCTD,rna,factorial,1.0,Normal Epithelial,189,36.323791679757555,37.54185251682,36.323791679757555,,36.32379167975756,0.9947089947089947
baseline,RCTD,rna,factorial,1.0,T cells CD8+,189,1.7308994175471055,2.7844809709298124,-1.1170627279537801,2.5364758360857182,0.11974658046987896,0.047619047619047616
baseline,RCTD,rna,factorial,1.0,Epithelial total,189,5.556158652457983,7.067427721471256,4.930096701921127,5.556158652457983,,
baseline,NNLS,rna,factorial,0.25,CAFs,189,4.320724683901542,6.466647930276157,1.9660990908998652,5.801713120051945,1.358747811600737,0.30158730158730157
baseline,NNLS,rna,factorial,0.25,Cancer Epithelial,189,42.77401741986165,45.21860392668049,-42.77401741986165,42.77401741986165,,
baseline,NNLS,rna,factorial,0.25,Normal Epithelial,189,42.340582096357615,46.99003585131539,42.340582096357615,,42.34058209635761,0.9312169312169312
baseline,NNLS,rna,factorial,0.25,T cells CD8+,189,4.232511462759491,6.170654563787365,-4.0899418612434175,6.2973636964475554,0.102806995383363,0.015873015873015872
baseline,NNLS,rna,factorial,0.25,Epithelial total,189,9.327007013683549,11.761768558363238,-0.4334353235040365,9.327007013683549,,
baseline,NNLS,rna,factorial,1.0,CAFs,189,4.21303808277884,6.524828799419472,2.1375952190705494,5.7417939382132674,1.155526371909983,0.30158730158730157
baseline,NNLS,rna,factorial,1.0,Cancer Epithelial,189,42.86380911997919,45.29423156898141,-42.86380911997919,42.86380911997919,,
baseline,NNLS,rna,factorial,1.0,Normal Epithelial,189,42.568396310719066,47.168288621352005,42.568396310719066,,42.568396310719066,0.9365079365079365
baseline,NNLS,rna,factorial,1.0,T cells CD8+,189,4.240055679679439,6.207538832642149,-4.131984811865873,6.327999089218265,0.0641688606017862,0.015873015873015872
baseline,NNLS,rna,factorial,1.0,Epithelial total,189,9.258475960633998,11.65140656138287,-0.295412809260123,9.258475960633998,,
donor_balanced,RCTD,rna,factorial,0.25,CAFs,189,2.254125187791171,3.519235490964233,-0.6134016800195164,3.3531986604272284,0.055978242519057336,0.0
donor_balanced,RCTD,rna,factorial,0.25,Cancer Epithelial,189,16.574898354855822,18.43971367976858,-16.499001726969343,16.574898354855822,,
donor_balanced,RCTD,rna,factorial,0.25,Normal Epithelial,189,18.824575067306874,20.09530322080468,18.824575067306874,,18.824575067306878,0.9894179894179894
donor_balanced,RCTD,rna,factorial,0.25,T cells CD8+,189,2.047357307585409,3.2228957269607843,-1.3072294332988337,3.0136244192055233,0.1148230843451803,0.031746031746031744
donor_balanced,RCTD,rna,factorial,0.25,Epithelial total,189,3.9410081535076142,5.1202755859449285,2.3255733403375323,3.9410081535076142,,
donor_balanced,RCTD,rna,factorial,1.0,CAFs,189,2.3536354474463432,3.7006530150215724,-0.8130411849629899,3.5110541909516786,0.038797960435671346,0.0
donor_balanced,RCTD,rna,factorial,1.0,Cancer Epithelial,189,15.410666535525719,17.052621511262306,-15.29671110395714,15.410666535525719,,
donor_balanced,RCTD,rna,factorial,1.0,Normal Epithelial,189,18.24290546154946,19.320536849881325,18.24290546154946,,18.242905461549455,0.9947089947089947
donor_balanced,RCTD,rna,factorial,1.0,T cells CD8+,189,1.7993150735835475,2.888827047732195,-1.2924805136010378,2.634879214126478,0.12818679249768566,0.06349206349206349
donor_balanced,RCTD,rna,factorial,1.0,Epithelial total,189,3.916162581224739,5.071236290608594,2.9461943575923155,3.916162581224739,,
donor_balanced,NNLS,rna,factorial,0.25,CAFs,189,6.256747101475575,9.930319446628225,3.20576286935321,9.16093596606936,0.44836937228800783,0.09523809523809523
donor_balanced,NNLS,rna,factorial,0.25,Cancer Epithelial,189,37.3419974053941,40.25299439334079,-37.3419974053941,37.3419974053941,,
donor_balanced,NNLS,rna,factorial,0.25,Normal Epithelial,189,31.90011229251069,36.764312815601876,31.90011229251069,,31.900112292510695,0.9153439153439153
donor_balanced,NNLS,rna,factorial,0.25,T cells CD8+,189,4.380169795761443,6.400964797722222,-4.380169795761443,6.570254693642165,0.0,0.0
donor_balanced,NNLS,rna,factorial,0.25,Epithelial total,189,11.658066865227882,14.500438265185128,-5.441885112883409,11.658066865227882,,
donor_balanced,NNLS,rna,factorial,1.0,CAFs,189,6.512037520453321,10.268257855197772,3.534714453622853,9.536025050455583,0.4640624604487962,0.1111111111111111
donor_balanced,NNLS,rna,factorial,1.0,Cancer Epithelial,189,37.28057763276213,40.149606335502284,-37.28057763276213,37.28057763276213,,
donor_balanced,NNLS,rna,factorial,1.0,Normal Epithelial,189,31.85041429320561,36.68964716386115,31.85041429320561,,31.850414293205613,0.9365079365079365
donor_balanced,NNLS,rna,factorial,1.0,T cells CD8+,189,4.403420435179051,6.419962079699617,-4.403420435179051,6.605130652768577,0.0,0.0
donor_balanced,NNLS,rna,factorial,1.0,Epithelial total,189,11.769357285662892,14.59495682232376,-5.430163339556521,11.769357285662892,,
epithelial_split,RCTD,rna,factorial,0.25,CAFs,189,3.359538611675675,5.149057092777149,-3.083537377029635,5.013371910375502,0.051872014276016794,0.0
epithelial_split,RCTD,rna,factorial,0.25,Cancer Epithelial,189,17.871986179146493,19.7121476321501,-17.65331081316084,17.871986179146493,,
epithelial_split,RCTD,rna,factorial,0.25,Normal Epithelial,189,22.01968152174348,23.227671825434303,22.01968152174348,,22.019681521743482,0.9947089947089947
epithelial_split,RCTD,rna,factorial,0.25,T cells CD8+,189,1.8614690493880843,2.9710651372967294,-0.9849023251452141,2.727900689251987,0.1286057696602793,0.047619047619047616
epithelial_split,RCTD,rna,factorial,0.25,Epithelial total,189,5.019467419677142,6.335448071108486,4.36637070858264,5.019467419677142,,
epithelial_split,RCTD,rna,factorial,1.0,CAFs,189,3.489467520942768,5.303545840266475,-3.1148556375319267,5.215021086591457,0.038360389645386996,0.0
epithelial_split,RCTD,rna,factorial,1.0,Cancer Epithelial,189,16.71738963445012,18.379690066953145,-16.596043547976215,16.71738963445012,,
epithelial_split,RCTD,rna,factorial,1.0,Normal Epithelial,189,21.583794462141956,22.52782092524339,21.583794462141956,,21.583794462141956,0.9894179894179894
epithelial_split,RCTD,rna,factorial,1.0,T cells CD8+,189,1.647445801571962,2.6518323664662296,-0.9196895139454935,2.3965797846003185,0.14917783551524696,0.06349206349206349
epithelial_split,RCTD,rna,factorial,1.0,Epithelial total,189,5.369483681687677,6.778933433457751,4.987750914165741,5.369483681687677,,
epithelial_split,NNLS,rna,factorial,0.25,CAFs,189,4.192578700836485,6.188134025818048,1.7091272204292498,5.592713856257027,1.3923083899954003,0.31746031746031744
epithelial_split,NNLS,rna,factorial,0.25,Cancer Epithelial,189,23.964783885212146,27.362731144778476,-23.586149040501475,23.964783885212146,,
epithelial_split,NNLS,rna,factorial,0.25,Normal Epithelial,189,25.102431521916458,29.832624347875043,25.102431521916458,,25.10243152191646,0.8835978835978836
epithelial_split,NNLS,rna,factorial,0.25,T cells CD8+,189,4.161790149684164,6.062505174176281,-3.985186876023348,6.1870607717983885,0.11124890545571287,0.015873015873015872
epithelial_split,NNLS,rna,factorial,0.25,Epithelial total,189,9.418296744526588,11.570658459131968,1.516282481414981,9.418296744526588,,
epithelial_split,NNLS,rna,factorial,1.0,CAFs,189,4.121034102934713,6.234585069672524,1.8983276838690337,5.592165189166269,1.1787719304716044,0.2857142857142857
epithelial_split,NNLS,rna,factorial,1.0,Cancer Epithelial,189,23.709249541115486,27.04126513924427,-23.40974704191981,23.709249541115486,,
epithelial_split,NNLS,rna,factorial,1.0,Normal Epithelial,189,25.01320865581531,29.604484014882058,25.01320865581531,,25.013208655815312,0.8994708994708994
epithelial_split,NNLS,rna,factorial,1.0,T cells CD8+,189,4.221937939433819,6.1415952882409455,-4.057602799523509,6.292090763986802,0.08163229032785065,0.015873015873015872
epithelial_split,NNLS,rna,factorial,1.0,Epithelial total,189,9.42511519449397,11.50022756935713,1.6034616138955011,9.42511519449397,,
balanced_split,RCTD,rna,factorial,0.25,CAFs,189,2.1998760564002784,3.4711539600376455,-0.35583623123595914,3.271326134033696,0.05697590113344428,0.0
balanced_split,RCTD,rna,factorial,0.25,Cancer Epithelial,189,18.61018056149199,20.323465364270085,-18.61018056149199,18.61018056149199,,
balanced_split,RCTD,rna,factorial,0.25,Normal Epithelial,189,20.46950445060464,21.792532654207257,20.46950445060464,,20.469504450604635,0.9947089947089947
balanced_split,RCTD,rna,factorial,0.25,T cells CD8+,189,1.9352806139369232,3.1127279306937448,-1.1789914781763204,2.845522071161116,0.11479769948853592,0.031746031746031744
balanced_split,RCTD,rna,factorial,0.25,Epithelial total,189,3.666872307526772,4.775935228611683,1.859323889112649,3.666872307526772,,
balanced_split,RCTD,rna,factorial,1.0,CAFs,189,2.2960115677618083,3.622259387778337,-0.5238649735737385,3.423754678579111,0.04052534612720316,0.0
balanced_split,RCTD,rna,factorial,1.0,Cancer Epithelial,189,17.367136402664496,18.90432852636041,-17.336165851162722,17.367136402664496,,
balanced_split,RCTD,rna,factorial,1.0,Normal Epithelial,189,19.79055742822262,20.901219161431456,19.79055742822262,,19.79055742822262,0.9947089947089947
balanced_split,RCTD,rna,factorial,1.0,T cells CD8+,189,1.7397825654885413,2.7868137967958315,-1.1694440835421887,2.5420297853252602,0.1352881258151037,0.06349206349206349
balanced_split,RCTD,rna,factorial,1.0,Epithelial total,189,3.5672298797929587,4.656683118590573,2.4543915770598983,3.5672298797929587,,
balanced_split,NNLS,rna,factorial,0.25,CAFs,189,6.075022963254635,9.109424381988967,1.0552149445521501,9.038190841082152,0.1486872075996084,0.031746031746031744
balanced_split,NNLS,rna,factorial,0.25,Cancer Epithelial,189,23.783590205317033,27.557972441791215,-23.49348645432409,23.783590205317033,,
balanced_split,NNLS,rna,factorial,0.25,Normal Epithelial,189,25.953285953897577,30.757103448244816,25.953285953897577,,25.953285953897577,0.8994708994708994
balanced_split,NNLS,rna,factorial,0.25,T cells CD8+,189,4.333547539056195,6.352672322170269,-4.333547539056195,6.500321308584293,0.0,0.0
balanced_split,NNLS,rna,factorial,0.25,Epithelial total,189,10.99522054671237,13.148839771226195,2.4597994995734833,10.99522054671237,,
balanced_split,NNLS,rna,factorial,1.0,CAFs,189,6.206570230886964,9.393174917124746,1.4064493419880943,9.234408913646993,0.15089286536690635,0.031746031746031744
balanced_split,NNLS,rna,factorial,1.0,Cancer Epithelial,189,23.451909666250735,27.183476934508626,-23.260039939731538,23.451909666250735,,
balanced_split,NNLS,rna,factorial,1.0,Normal Epithelial,189,25.72350468918236,30.486067606623113,25.72350468918236,,25.72350468918236,0.91005291005291
balanced_split,NNLS,rna,factorial,1.0,T cells CD8+,189,4.362952985446554,6.396928479562383,-4.362952985446554,6.544429478169831,0.0,0.0
balanced_split,NNLS,rna,factorial,1.0,Epithelial total,189,11.032617920436273,13.13104638471952,2.463464749450824,11.032617920436273,,
