spot_id,base_mixture,scenario,depth_fraction,variant,method,cell_type,absolute_error_change_pp
mix_0000_depth100,0,factorial,1.0,donor_balanced,RCTD,B-cells,-0.0022493666277243205
mix_0000_depth25,0,factorial,0.25,donor_balanced,RCTD,B-cells,0.0002364736125435896
mix_0001_depth100,1,factorial,1.0,donor_balanced,RCTD,B-cells,-1.0771502203703938e-06
mix_0001_depth25,1,factorial,0.25,donor_balanced,RCTD,B-cells,-0.0021112573081656996
mix_0002_depth100,2,factorial,1.0,donor_balanced,RCTD,B-cells,5.6056809017979826e-05
mix_0002_depth25,2,factorial,0.25,donor_balanced,RCTD,B-cells,-5.112188586203092e-05
mix_0003_depth100,3,factorial,1.0,donor_balanced,RCTD,B-cells,0.10254288087812001
mix_0003_depth25,3,factorial,0.25,donor_balanced,RCTD,B-cells,0.26934365483837003
mix_0004_depth100,4,factorial,1.0,donor_balanced,RCTD,B-cells,-1.1428433979109823e-05
mix_0004_depth25,4,factorial,0.25,donor_balanced,RCTD,B-cells,-0.13266705829775996
mix_0005_depth100,5,factorial,1.0,donor_balanced,RCTD,B-cells,-0.04386765109311991
mix_0005_depth25,5,factorial,0.25,donor_balanced,RCTD,B-cells,0.30054687681806996
mix_0006_depth100,6,factorial,1.0,donor_balanced,RCTD,B-cells,-2.1960265737096675e-06
mix_0006_depth25,6,factorial,0.25,donor_balanced,RCTD,B-cells,-6.16013407038062e-06
mix_0007_depth100,7,factorial,1.0,donor_balanced,RCTD,B-cells,-3.976672988988055e-05
mix_0007_depth25,7,factorial,0.25,donor_balanced,RCTD,B-cells,7.616805406103033e-05
mix_0008_depth100,8,factorial,1.0,donor_balanced,RCTD,B-cells,3.0129545252339775e-05
mix_0008_depth25,8,factorial,0.25,donor_balanced,RCTD,B-cells,4.015165807495021e-05
mix_0009_depth100,9,factorial,1.0,donor_balanced,RCTD,B-cells,0.31161199594252
mix_0009_depth25,9,factorial,0.25,donor_balanced,RCTD,B-cells,-0.5344784697825601
mix_0010_depth100,10,factorial,1.0,donor_balanced,RCTD,B-cells,0.3119572042550506
mix_0010_depth25,10,factorial,0.25,donor_balanced,RCTD,B-cells,-0.1527345841674202
mix_0011_depth100,11,factorial,1.0,donor_balanced,RCTD,B-cells,-0.11763615658346056
mix_0011_depth25,11,factorial,0.25,donor_balanced,RCTD,B-cells,0.7360379632434904
mix_0012_depth100,12,factorial,1.0,donor_balanced,RCTD,B-cells,0.0022212190731222803
mix_0012_depth25,12,factorial,0.25,donor_balanced,RCTD,B-cells,-3.229531236425935e-05
mix_0013_depth100,13,factorial,1.0,donor_balanced,RCTD,B-cells,1.0729085134249922e-05
mix_0013_depth25,13,factorial,0.25,donor_balanced,RCTD,B-cells,9.049753098872043e-05
mix_0014_depth100,14,factorial,1.0,donor_balanced,RCTD,B-cells,0.00014116218573581054
mix_0014_depth25,14,factorial,0.25,donor_balanced,RCTD,B-cells,0.19825020727590037
mix_0015_depth100,15,factorial,1.0,donor_balanced,RCTD,B-cells,9.374078116316945e-05
mix_0015_depth25,15,factorial,0.25,donor_balanced,RCTD,B-cells,-0.0017308474943152194
mix_0016_depth100,16,factorial,1.0,donor_balanced,RCTD,B-cells,5.210755124180998e-05
mix_0016_depth25,16,factorial,0.25,donor_balanced,RCTD,B-cells,3.4363029706040073e-05
mix_0017_depth100,17,factorial,1.0,donor_balanced,RCTD,B-cells,-4.688052609986998e-05
mix_0017_depth25,17,factorial,0.25,donor_balanced,RCTD,B-cells,4.182151643859777e-06
mix_0018_depth100,18,factorial,1.0,donor_balanced,RCTD,B-cells,0.00012351359237668005
mix_0018_depth25,18,factorial,0.25,donor_balanced,RCTD,B-cells,-0.37409215642314997
mix_0019_depth100,19,factorial,1.0,donor_balanced,RCTD,B-cells,-0.0013611634976847895
mix_0019_depth25,19,factorial,0.25,donor_balanced,RCTD,B-cells,-0.00011311891092901033
mix_0020_depth100,20,factorial,1.0,donor_balanced,RCTD,B-cells,7.56116829236502e-05
mix_0020_depth25,20,factorial,0.25,donor_balanced,RCTD,B-cells,9.951710564300067e-06
mix_0021_depth100,21,factorial,1.0,donor_balanced,RCTD,B-cells,9.368948548667939e-05
mix_0021_depth25,21,factorial,0.25,donor_balanced,RCTD,B-cells,0.00015365535901173982
mix_0022_depth100,22,factorial,1.0,donor_balanced,RCTD,B-cells,-0.10810381447838002
mix_0022_depth25,22,factorial,0.25,donor_balanced,RCTD,B-cells,-0.2142435313038216
mix_0023_depth100,23,factorial,1.0,donor_balanced,RCTD,B-cells,-0.0029235740648656406
