variant,method,depth_fraction,cell_type,n_spots,dominant_matches,mean_weight_on_true_type,mean_normal_epithelial_weight
baseline,RCTD,1.0,B-cells,5,5,0.986207639249837,6.340602412404693e-05
baseline,RCTD,1.0,CAFs,5,5,0.9728728859077718,2.6837548471847635e-05
baseline,RCTD,1.0,Cancer Epithelial,5,5,0.566752860854614,0.40453781827466617
baseline,RCTD,1.0,Cycling T-cells,5,0,0.2145759708611768,7.927534405453636e-05
baseline,RCTD,1.0,Endothelial,5,5,0.9755698733933682,4.2388533143903436e-05
baseline,RCTD,1.0,Myeloid,5,5,0.9953159462050506,4.365158804275866e-05
baseline,RCTD,1.0,NK cells,5,5,0.8243805663600942,5.329905093111933e-05
baseline,RCTD,1.0,NKT cells,5,5,0.6372272298395151,5.978087464495e-05
baseline,RCTD,1.0,PVL,5,5,0.7778065555425954,0.05418023559458431
baseline,RCTD,1.0,T cells CD4+,5,1,0.5197969134596415,0.00010407638280046155
baseline,RCTD,1.0,T cells CD8+,5,5,0.9381603478285617,0.0007193009063601219
baseline,RCTD,0.25,B-cells,5,5,0.975931837993682,5.946024803232246e-05
baseline,RCTD,0.25,CAFs,5,5,0.9558054880251756,2.232372987314938e-05
baseline,RCTD,0.25,Cancer Epithelial,5,4,0.5101477542730224,0.43619108460775247
baseline,RCTD,0.25,Cycling T-cells,5,0,0.2561228502346578,8.77349746535688e-05
baseline,RCTD,0.25,Endothelial,5,5,0.9463676852424848,4.910604940280251e-05
baseline,RCTD,0.25,Myeloid,5,5,0.9845988325742567,3.8204760245335024e-05
baseline,RCTD,0.25,NK cells,5,5,0.8074427638332352,5.201982678505717e-05
baseline,RCTD,0.25,NKT cells,5,3,0.538025781962134,0.0010497302081951304
baseline,RCTD,0.25,PVL,5,5,0.7328835476661812,0.06252272087051285
baseline,RCTD,0.25,T cells CD4+,5,3,0.6313337346246624,0.0001046211292146381
baseline,RCTD,0.25,T cells CD8+,5,5,0.8477325860810903,0.0007799924246446312
baseline,NNLS,1.0,B-cells,5,4,0.6481249382258677,0.03708565787038728
baseline,NNLS,1.0,CAFs,5,5,0.9269982067962337,0.0
baseline,NNLS,1.0,Cancer Epithelial,5,0,0.309035237165106,0.668597810650723
baseline,NNLS,1.0,Cycling T-cells,5,5,0.7250212826139768,0.0
baseline,NNLS,1.0,Endothelial,5,5,0.5404061533929329,0.0
baseline,NNLS,1.0,Myeloid,5,5,0.9770988344097431,0.020930279029576022
baseline,NNLS,1.0,NK cells,5,3,0.42758982518264865,0.06069322556218808
baseline,NNLS,1.0,NKT cells,5,5,0.803247108021254,0.0
baseline,NNLS,1.0,PVL,5,4,0.513564427549499,0.08139543458434204
baseline,NNLS,1.0,T cells CD4+,5,5,0.9252628727945765,0.01833054082426634
baseline,NNLS,1.0,T cells CD8+,5,3,0.5373719944242408,0.0
baseline,NNLS,0.25,B-cells,5,4,0.6080479177473951,0.03098684328547376
baseline,NNLS,0.25,CAFs,5,5,0.931332050271914,0.0
baseline,NNLS,0.25,Cancer Epithelial,5,0,0.3074150647974237,0.6600563325846378
baseline,NNLS,0.25,Cycling T-cells,5,5,0.7208276942366457,0.0
baseline,NNLS,0.25,Endothelial,5,5,0.5477000341718441,0.0
baseline,NNLS,0.25,Myeloid,5,5,0.970184040446556,0.02540838732111166
baseline,NNLS,0.25,NK cells,5,4,0.44746723953293444,0.05750303604297069
baseline,NNLS,0.25,NKT cells,5,5,0.7586786400164047,0.0232404527707036
baseline,NNLS,0.25,PVL,5,3,0.5198668829334273,0.056393298327344146
baseline,NNLS,0.25,T cells CD4+,5,5,0.8916228957298493,0.01898370535271986
baseline,NNLS,0.25,T cells CD8+,5,5,0.6412649206676144,0.0
donor_balanced,RCTD,1.0,B-cells,5,5,0.9770582927592419,6.146403665018496e-05
donor_balanced,RCTD,1.0,CAFs,5,5,0.9979000904961002,3.387124274426824e-05
donor_balanced,RCTD,1.0,Cancer Epithelial,5,5,0.7689084292686729,0.2062729850976644
donor_balanced,RCTD,1.0,Cycling T-cells,5,0,0.2354180470857486,7.504348798878304e-05
donor_balanced,RCTD,1.0,Endothelial,5,5,0.9897538140815525,5.193360588125228e-05
donor_balanced,RCTD,1.0,Myeloid,5,5,0.9960804606881449,5.058092534884446e-05
donor_balanced,RCTD,1.0,NK cells,5,5,0.8673708787272366,6.107374800176399e-05
donor_balanced,RCTD,1.0,NKT cells,5,5,0.6253776809450482,0.00019121119938659686
donor_balanced,RCTD,1.0,PVL,5,5,0.7752237735752242,0.038207256280864056
donor_balanced,RCTD,1.0,T cells CD4+,5,1,0.422483513249819,0.0001155156435802976
donor_balanced,RCTD,1.0,T cells CD8+,5,5,0.9263845716046284,0.00018952284847433684
donor_balanced,RCTD,0.25,B-cells,5,5,0.9699612090939705,6.711922688719258e-05
donor_balanced,RCTD,0.25,CAFs,5,5,0.9957882340118284,3.390774532987756e-05
donor_balanced,RCTD,0.25,Cancer Epithelial,5,5,0.718459077104837,0.2311346736262812
donor_balanced,RCTD,0.25,Cycling T-cells,5,0,0.2779634199465324,9.425872970504235e-05
donor_balanced,RCTD,0.25,Endothelial,5,5,0.9698422767070477,5.083997293518631e-05
donor_balanced,RCTD,0.25,Myeloid,5,5,0.9897137038861615,3.624876023991272e-05
donor_balanced,RCTD,0.25,NK cells,5,5,0.8196959868877709,0.0017846640847051076
donor_balanced,RCTD,0.25,NKT cells,5,4,0.5189482674608116,4.6736431109885e-05
donor_balanced,RCTD,0.25,PVL,5,5,0.7314193828240642,0.041339708276608336
donor_balanced,RCTD,0.25,T cells CD4+,5,3,0.5751089445505282,0.00010800177205241982
donor_balanced,RCTD,0.25,T cells CD8+,5,5,0.8450415600230021,5.8021923435488075e-05
donor_balanced,NNLS,1.0,B-cells,5,3,0.45976056230069756,0.0072171525904732
donor_balanced,NNLS,1.0,CAFs,5,5,0.9871253679273752,0.0017017629567359
donor_balanced,NNLS,1.0,Cancer Epithelial,5,1,0.4226445508655704,0.480708776062754
donor_balanced,NNLS,1.0,Cycling T-cells,5,5,0.8812350900686715,0.0
donor_balanced,NNLS,1.0,Endothelial,5,5,0.7004647929846336,0.0
donor_balanced,NNLS,1.0,Myeloid,5,5,0.9994693603152488,0.0
donor_balanced,NNLS,1.0,NK cells,5,4,0.5798344652375372,0.0
donor_balanced,NNLS,1.0,NKT cells,5,5,0.73105395996971,0.0
donor_balanced,NNLS,1.0,PVL,5,3,0.531357355711,0.038138285154499164
donor_balanced,NNLS,1.0,T cells CD4+,5,5,0.9010366619165369,0.0
donor_balanced,NNLS,1.0,T cells CD8+,5,3,0.4665803549942975,0.00251207133384458
donor_balanced,NNLS,0.25,B-cells,5,3,0.43318149603119815,0.01147157599976142
donor_balanced,NNLS,0.25,CAFs,5,5,0.9764247348604214,0.01235907862650586
donor_balanced,NNLS,0.25,Cancer Epithelial,5,1,0.43436128005016766,0.44833208184903944
donor_balanced,NNLS,0.25,Cycling T-cells,5,5,0.8683112535777078,0.0
donor_balanced,NNLS,0.25,Endothelial,5,5,0.6364981223523308,0.0
donor_balanced,NNLS,0.25,Myeloid,5,5,0.9903074843388351,0.0
donor_balanced,NNLS,0.25,NK cells,5,4,0.5973519703141829,0.00092033913274956
donor_balanced,NNLS,0.25,NKT cells,5,4,0.7104356760541315,0.0
donor_balanced,NNLS,0.25,PVL,5,3,0.517125050323904,0.02625954084430408
donor_balanced,NNLS,0.25,T cells CD4+,5,5,0.8368224087000815,0.0
donor_balanced,NNLS,0.25,T cells CD8+,5,4,0.6080969898048425,0.00073864706462398
epithelial_split,RCTD,1.0,B-cells,5,5,0.9872753759068648,4.7525429839254186e-05
epithelial_split,RCTD,1.0,CAFs,5,5,0.9734226005836077,2.280937171751372e-05
epithelial_split,RCTD,1.0,Cancer Epithelial,5,5,0.7555387697276602,0.22544499295700518
epithelial_split,RCTD,1.0,Cycling T-cells,5,0,0.21624288791006122,6.077216588331606e-05
epithelial_split,RCTD,1.0,Endothelial,5,5,0.9790589128076015,3.1175528177797836e-05
epithelial_split,RCTD,1.0,Myeloid,5,5,0.995477067726086,3.412039633868796e-05
epithelial_split,RCTD,1.0,NK cells,5,5,0.8127111971318748,4.17926933541314e-05
