variant,method,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,absent_mean_prediction_pct,absent_ge1pct_fraction,report_donor,donor_id,n_present,n_absent
baseline,RCTD,rna,factorial,1.0,CAFs,189,3.6005665483397387,5.499845669869719,-3.2477985867040577,5.382659391546521,0.0363808619261718,0.0,CID4067,,,
baseline,RCTD,rna,factorial,1.0,Cancer Epithelial,189,31.39369497783643,33.29559643747785,-31.39369497783643,31.39369497783643,,,CID4067,,,
baseline,RCTD,rna,factorial,1.0,Normal Epithelial,189,36.323791679757555,37.54185251682,36.323791679757555,,36.32379167975756,0.9947089947089948,CID4067,,,
baseline,RCTD,rna,factorial,1.0,T cells CD8+,189,1.7308994175471055,2.7844809709298124,-1.11706272795378,2.5364758360857182,0.1197465804698789,0.0476190476190476,CID4067,,,
baseline,RCTD,rna,factorial,1.0,Epithelial total,189,5.556158652457983,7.067427721471256,4.930096701921127,5.556158652457983,,,CID4067,,,
donor_balanced,RCTD,rna,factorial,1.0,CAFs,189,2.3536354474463432,3.700653015021573,-0.8130411849629899,3.5110541909516786,0.0387979604356713,0.0,CID4067,,,
donor_balanced,RCTD,rna,factorial,1.0,Cancer Epithelial,189,15.41066653552572,17.052621511262306,-15.29671110395714,15.41066653552572,,,CID4067,,,
donor_balanced,RCTD,rna,factorial,1.0,Normal Epithelial,189,18.24290546154946,19.320536849881325,18.24290546154946,,18.242905461549455,0.9947089947089948,CID4067,,,
donor_balanced,RCTD,rna,factorial,1.0,T cells CD8+,189,1.7993150735835477,2.888827047732195,-1.2924805136010378,2.634879214126478,0.1281867924976856,0.0634920634920634,CID4067,,,
donor_balanced,RCTD,rna,factorial,1.0,Epithelial total,189,3.916162581224739,5.071236290608594,2.9461943575923155,3.916162581224739,,,CID4067,,,
epithelial_split,RCTD,rna,factorial,1.0,CAFs,189,3.489467520942768,5.303545840266475,-3.1148556375319267,5.215021086591457,0.0383603896453869,0.0,CID4067,,,
epithelial_split,RCTD,rna,factorial,1.0,Cancer Epithelial,189,16.71738963445012,18.379690066953145,-16.596043547976215,16.71738963445012,,,CID4067,,,
epithelial_split,RCTD,rna,factorial,1.0,Normal Epithelial,189,21.583794462141956,22.52782092524339,21.583794462141956,,21.583794462141956,0.9894179894179894,CID4067,,,
epithelial_split,RCTD,rna,factorial,1.0,T cells CD8+,189,1.647445801571962,2.6518323664662296,-0.9196895139454936,2.3965797846003185,0.1491778355152469,0.0634920634920634,CID4067,,,
epithelial_split,RCTD,rna,factorial,1.0,Epithelial total,189,5.369483681687677,6.778933433457751,4.987750914165741,5.369483681687677,,,CID4067,,,
balanced_split,RCTD,rna,factorial,1.0,CAFs,189,2.2960115677618083,3.622259387778337,-0.5238649735737385,3.423754678579111,0.0405253461272031,0.0,CID4067,,,
balanced_split,RCTD,rna,factorial,1.0,Cancer Epithelial,189,17.367136402664496,18.90432852636041,-17.336165851162722,17.367136402664496,,,CID4067,,,
balanced_split,RCTD,rna,factorial,1.0,Normal Epithelial,189,19.79055742822262,20.901219161431456,19.79055742822262,,19.79055742822262,0.9947089947089948,CID4067,,,
balanced_split,RCTD,rna,factorial,1.0,T cells CD8+,189,1.7397825654885413,2.7868137967958315,-1.1694440835421889,2.54202978532526,0.1352881258151037,0.0634920634920634,CID4067,,,
balanced_split,RCTD,rna,factorial,1.0,Epithelial total,189,3.5672298797929587,4.656683118590573,2.4543915770598983,3.5672298797929587,,,CID4067,,,
baseline,RCTD,rna,factorial,0.25,CAFs,189,3.4692851422775894,5.327252462359711,-3.2176426556947866,5.178945005289994,0.0499654162527802,0.0,CID4067,,,
baseline,RCTD,rna,factorial,0.25,Cancer Epithelial,189,32.46530147081898,34.655002593990645,-32.46530147081898,32.46530147081898,,,CID4067,,,
baseline,RCTD,rna,factorial,0.25,Normal Epithelial,189,36.75726866901594,38.259992393845245,36.75726866901594,,36.757268669015936,0.9947089947089948,CID4067,,,
