donor_id,method,approach,truth,scenario,depth_fraction,cell_type,n_spots,mae_pp,rmse_pp,bias_pp,present_mae_pp,n_absent,absent_mean_prediction_pct,absent_ge1pct_fraction
CID4067,RCTD,fine_fit_then_sum,rna,factorial,1.0,T cells,189,1.9233507919973207,2.8839722882932257,1.5002058718561195,2.1650746980999194,36,0.8960241910612747,0.3333333333333333
CID4067,RCTD,coarse_reference_refit,rna,factorial,1.0,T cells,189,1.6153098376971096,2.4133127790565063,0.1894614150949643,1.9597561036728863,36,0.1514132073000557,0.0555555555555555
CID4463,RCTD,fine_fit_then_sum,rna,factorial,1.0,T cells,162,1.0673682319973057,1.6920280069467295,0.0332421823844201,1.2248478083314245,27,0.2799703503267116,0.1851851851851851
CID4463,RCTD,coarse_reference_refit,rna,factorial,1.0,T cells,162,1.517490885799642,2.4753216902435753,0.0865350103513992,1.8146237047211191,27,0.0318267911922567,0.0
CID3941,RCTD,fine_fit_then_sum,rna,gradient,1.0,T cells,75,4.684200821160766,5.77055504733373,-3.629119707581291,4.684200821160766,0,,
CID3941,RCTD,coarse_reference_refit,rna,gradient,1.0,T cells,75,10.597593482328891,13.835027260999953,-10.30199800098305,10.597593482328891,0,,
CID3948,RCTD,fine_fit_then_sum,rna,gradient,1.0,T cells,75,7.17778466132282,9.031359716916532,-3.4643676951438493,7.17778466132282,0,,
CID3948,RCTD,coarse_reference_refit,rna,gradient,1.0,T cells,75,14.273784655149532,19.807355756564064,-12.96147251949286,14.273784655149532,0,,
CID4461,RCTD,fine_fit_then_sum,rna,gradient,1.0,T cells,75,15.097070604084184,16.98704561998973,-15.09566339330855,15.097070604084184,0,,
CID4461,RCTD,coarse_reference_refit,rna,gradient,1.0,T cells,75,23.76831485832288,25.348040911244112,-23.76831485832288,23.76831485832288,0,,
