sample_id,subtype,cell_type,marker_panel,spearman,n_spots
CID4535,ER,T cells,T,0.8037296416119537,1102
CID4535,ER,T cells,CAF,0.7137363031308359,1102
CID4535,ER,T cells,NK,0.3992825049327599,1102
CID4535,ER,CAFs,T,0.5899323554733901,1102
CID4535,ER,CAFs,CAF,0.898048593975033,1102
CID4535,ER,CAFs,NK,0.3231411597305306,1102
CID4535,ER,NK cells,T,0.2457406584430436,1102
CID4535,ER,NK cells,CAF,0.3502898413970013,1102
CID4535,ER,NK cells,NK,0.3098585788674203,1102
CID4290,ER,T cells,T,0.3008552739627921,2419
CID4290,ER,T cells,CAF,0.0281813521672943,2419
CID4290,ER,T cells,NK,0.082231078139269,2419
CID4290,ER,CAFs,T,0.0641743569741481,2419
CID4290,ER,CAFs,CAF,0.8370438302131314,2419
CID4290,ER,CAFs,NK,0.0631739249584613,2419
CID4290,ER,NK cells,T,0.049377084244694,2419
CID4290,ER,NK cells,CAF,-0.1193245727745939,2419
CID4290,ER,NK cells,NK,0.1540958893413606,2419
CID4465,TNBC,T cells,T,0.3924733310870186,1207
CID4465,TNBC,T cells,CAF,-0.4808120644357181,1207
CID4465,TNBC,T cells,NK,0.245412795097932,1207
CID4465,TNBC,CAFs,T,0.0370803864427701,1207
CID4465,TNBC,CAFs,CAF,0.9000719270260131,1207
CID4465,TNBC,CAFs,NK,-0.0968043489802255,1207
CID4465,TNBC,NK cells,T,-0.1704068676337657,1207
CID4465,TNBC,NK cells,CAF,-0.2889877879240939,1207
CID4465,TNBC,NK cells,NK,0.1271583297723466,1207
CID44971,TNBC,T cells,T,0.561917396601023,1159
CID44971,TNBC,T cells,CAF,-0.0066441440464944,1159
CID44971,TNBC,T cells,NK,0.3332488059456155,1159
CID44971,TNBC,CAFs,T,0.298171176231469,1159
CID44971,TNBC,CAFs,CAF,0.8924099741204339,1159
CID44971,TNBC,CAFs,NK,0.1976250573592984,1159
CID44971,TNBC,NK cells,T,0.0275779602736162,1159
CID44971,TNBC,NK cells,CAF,-0.1991723348491329,1159
CID44971,TNBC,NK cells,NK,0.160104632870219,1159
1142243F,TNBC,T cells,T,0.3774098482807709,4662
1142243F,TNBC,T cells,CAF,0.1845043544535423,4662
1142243F,TNBC,T cells,NK,0.2023511518653789,4662
1142243F,TNBC,CAFs,T,0.2724174518755012,4662
1142243F,TNBC,CAFs,CAF,0.8388652736088218,4662
1142243F,TNBC,CAFs,NK,0.1889333305908543,4662
1142243F,TNBC,NK cells,T,0.2278928846189746,4662
1142243F,TNBC,NK cells,CAF,0.3808006629552272,4662
1142243F,TNBC,NK cells,NK,0.2958644488977705,4662
1160920F,TNBC,T cells,T,0.6284933087513781,4847
1160920F,TNBC,T cells,CAF,0.3195729603441939,4847
1160920F,TNBC,T cells,NK,0.3207554446861616,4847
1160920F,TNBC,CAFs,T,0.4852765945170998,4847
1160920F,TNBC,CAFs,CAF,0.8533491718067011,4847
1160920F,TNBC,CAFs,NK,0.294680317273265,4847
1160920F,TNBC,NK cells,T,0.2629355095452706,4847
1160920F,TNBC,NK cells,CAF,0.3705345456321223,4847
1160920F,TNBC,NK cells,NK,0.3815356141083714,4847
