orig.ident,reference_label,T_cells_c0_CD4+_CCR7,T_cells_c10_NKT_cells_FCGR3A,T_cells_c11_MKI67,T_cells_c1_CD4+_IL7R,T_cells_c2_CD4+_T-regs_FOXP3,T_cells_c3_CD4+_Tfh_CXCL13,T_cells_c4_CD8+_ZFP36,T_cells_c6_IFIT1,T_cells_c7_CD8+_IFNG,T_cells_c8_CD8+_LAG3,T_cells_c9_NK_cells_AREG
CID3941,Cycling T-cells,0,0,5,0,0,0,0,0,0,0,0
CID3941,NK cells,0,0,0,0,0,0,0,0,0,0,18
CID3941,NKT cells,0,9,0,0,0,0,0,0,0,0,0
CID3941,T cells CD4+,34,0,0,61,11,2,0,0,0,0,0
CID3941,T cells CD8+,0,0,0,0,0,0,48,2,68,8,0
CID3948,Cycling T-cells,0,0,24,0,0,0,0,0,0,0,0
CID3948,NK cells,0,0,0,0,0,0,0,0,0,0,58
CID3948,NKT cells,0,40,0,0,0,0,0,0,0,0,0
CID3948,T cells CD4+,58,0,0,449,248,90,0,0,0,0,0
CID3948,T cells CD8+,0,0,0,0,0,0,214,32,238,14,0
CID4067,Cycling T-cells,0,0,6,0,0,0,0,0,0,0,0
CID4067,NK cells,0,0,0,0,0,0,0,0,0,0,48
CID4067,NKT cells,0,39,0,0,0,0,0,0,0,0,0
CID4067,T cells CD4+,33,0,0,212,89,19,0,0,0,0,0
CID4067,T cells CD8+,0,0,0,0,0,0,78,3,158,4,0
CID4461,Cycling T-cells,0,0,8,0,0,0,0,0,0,0,0
CID4461,NK cells,0,0,0,0,0,0,0,0,0,0,2
CID4461,NKT cells,0,3,0,0,0,0,0,0,0,0,0
CID4461,T cells CD4+,0,0,0,28,8,8,0,0,0,0,0
CID4461,T cells CD8+,0,0,0,0,0,0,5,1,5,0,0
CID4463,Cycling T-cells,0,0,5,0,0,0,0,0,0,0,0
CID4463,NK cells,0,0,0,0,0,0,0,0,0,0,3
CID4463,NKT cells,0,19,0,0,0,0,0,0,0,0,0
CID4463,T cells CD4+,10,0,0,86,14,5,0,0,0,0,0
CID4463,T cells CD8+,0,0,0,0,0,0,27,2,44,2,0
CID4471,Cycling T-cells,0,0,8,0,0,0,0,0,0,0,0
CID4471,NK cells,0,0,0,0,0,0,0,0,0,0,30
CID4471,NKT cells,0,32,0,0,0,0,0,0,0,0,0
CID4471,T cells CD4+,112,0,0,194,94,12,0,0,0,0,0
CID4471,T cells CD8+,0,0,0,0,0,0,89,9,61,0,0
CID4535,Cycling T-cells,0,0,19,0,0,0,0,0,0,0,0
CID4535,NK cells,0,0,0,0,0,0,0,0,0,0,25
CID4535,NKT cells,0,15,0,0,0,0,0,0,0,0,0
CID4535,T cells CD4+,23,0,0,166,31,19,0,0,0,0,0
CID4535,T cells CD8+,0,0,0,0,0,0,57,13,21,7,0
