"","B-cells","CAFs","Cancer LumA","Cancer LumB","Cancer Other","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"RP11-34P13.7",0,0,5.10710033405339e-07,6.37729072282764e-07,0,0,3.7477101490989e-07,1.12141720877616e-06,0,0,0,0,8.92428777044162e-08,0,0
"FO538757.3",0,0,1.03820662981787e-06,0,0,0,2.94138755840125e-07,0,0,1.79791441927364e-05,0,0,0,0,0
"FO538757.2",8.77091353383909e-06,1.57368760313587e-05,1.30649051930888e-05,1.8660192217408e-05,9.58866155348332e-06,1.37150405476669e-05,1.3434649701958e-05,1.08808960482625e-05,4.34360881641814e-05,1.0067451927917e-05,8.61775706790502e-06,4.00675887973955e-06,1.89692215583506e-05,1.40080094703815e-05,2.17940017680165e-05
"AP006222.2",7.05189282338884e-06,1.30937897179096e-05,1.84748314807047e-06,2.53436817767813e-05,8.25540317425706e-06,3.64715473376342e-06,1.20934395128148e-05,1.20916056298812e-05,3.76718779431155e-06,0,9.49598816173494e-06,1.84072099912002e-06,1.55580331272843e-05,7.55106985399448e-06,8.4610243576138e-06
"RP4-669L17.10",0,7.10326153356575e-07,2.05129565498401e-06,2.54052647838317e-07,0,0,9.67007633558259e-07,3.14816487607307e-07,5.73888091822095e-06,0,0,0,0,3.01448156945968e-06,0
"RP5-857K21.4",0,0,1.30664667255376e-06,0,1.74662477694017e-06,0,1.05024392508232e-06,0,0,0,0,1.64357444570452e-06,4.12651868589274e-07,0,0
"RP11-206L10.9",2.79980289387627e-06,2.91621135151705e-06,8.00222944696831e-06,4.60966365387376e-06,5.16387653738119e-06,7.92733073916269e-06,1.3104092380208e-06,7.35309535885898e-06,0,0,2.13441704801585e-06,2.49129509106515e-06,1.24702407525521e-05,0,8.2125966188403e-06
"LINC00115",7.11893751281409e-07,0,0,7.32855598880085e-07,1.40506469620394e-06,0,6.57386991889159e-07,2.78311436535046e-06,0,0,3.32027359054386e-06,0,2.11265840514649e-06,2.22086009469747e-06,1.61151004937667e-06
"FAM41C",0,0,0,9.15053957681408e-07,7.08978815353323e-07,0,7.53953744987239e-07,5.90904131908546e-06,0,0,0,2.33143601070782e-07,1.66178218810997e-06,0,2.04736790382285e-06
"RP11-54O7.3",0,2.04874678900902e-06,0,0,0,0,0,0,0,0,0,0,3.63814746763764e-07,0,0
