"","B-cells","CAFs","Cancer Epithelial","Cycling T-cells","Endothelial","Myeloid","NK cells","NKT cells","Normal Epithelial","Plasmablasts","PVL","T cells CD4+","T cells CD8+"
"RP11-34P13.7",0,3.75748112438597e-07,2.66489678411116e-07,0,2.07713569246139e-07,1.05911625273304e-06,0,0,2.62967590341009e-07,0,5.62938557283051e-08,8.36199406800141e-07,0
"FO538757.3",0,0,7.20562301598437e-08,0,4.35852151522771e-07,0,0,1.14760494847254e-05,7.76408916817659e-07,0,0,4.71195800703024e-07,0
"FO538757.2",1.25129033562719e-05,1.81926372683699e-05,1.60684787822211e-05,1.37150405476669e-05,1.74962811683962e-05,1.11449341914477e-05,3.94873528765285e-05,6.42603314547896e-06,1.78027946017003e-05,2.78020003900295e-06,1.83535765876267e-05,1.16819542752857e-05,1.78037965537447e-05
"AP006222.2",5.09556126593258e-06,6.89288381697543e-06,1.71526130934012e-05,3.64715473376342e-06,5.21226629435353e-06,1.14198497615545e-05,3.42471617664686e-06,0,3.89202274353072e-06,2.70448046459439e-06,1.09617083790465e-05,5.88713682205125e-06,8.5743853873129e-06
"RP4-669L17.10",0,5.67300069477315e-07,3.18846955833629e-07,0,3.54789868075852e-07,2.97326682740234e-07,5.21716447110995e-06,0,9.83248494595623e-07,0,3.180503725486e-07,2.21339814163092e-06,0
"RP5-857K21.4",0,5.03023008476437e-07,1.73062941189752e-07,0,3.45339959469843e-07,0,7.22073795941945e-06,0,4.13783413957276e-07,1.14043941130518e-06,9.05242246100861e-07,0,0
"RP11-206L10.9",2.02308338138156e-06,3.90734962451976e-06,5.56181552108895e-06,7.92733073916269e-06,2.20099104355917e-06,7.81446563212011e-06,0,0,3.90253047002746e-06,2.4529988505824e-06,1.17382097313578e-05,0,6.26330325794824e-06
"LINC00115",5.14400646087211e-07,2.38596753023655e-06,1.77221487673226e-06,0,1.04882544038897e-06,2.62849690060877e-06,7.22073795941945e-06,0,1.96011993031308e-06,0,2.18553029152505e-06,2.89053681573542e-06,3.5178648396711e-06
"FAM41C",0,5.72559753194683e-08,8.30255006248227e-07,0,1.10187434202339e-07,5.58076124580293e-06,0,0,2.46211537036994e-07,3.85605734283325e-07,1.15907302452633e-06,0,1.56141676711781e-06
"RP11-54O7.3",0,4.54256575246123e-06,1.40253959246547e-08,0,0,0,0,0,7.07987389817386e-08,0,5.37550135589625e-07,0,0
"SAMD11",0,2.70261806910391e-05,1.98528805843316e-07,0,2.00654677800453e-07,1.89719480775725e-07,0,0,5.84277566794679e-07,1.22347021834475e-06,4.24806598931233e-07,0,1.60389554149117e-06
