donor_id,reference_label,n_cells,umi_median,genes_median,mito_median,T_marker_positive,CD8_positive,CD4_positive,no_T_or_CD8
CID4471,T cells CD4+,412,2663.0,1024.5,6.93413166115594,408,37,82,4
CID4471,T cells CD8+,159,2169.0,979.0,7.32984293193717,157,136,3,2
CID4471,NK cells,30,2080.5,914.5,8.322706453509625,26,2,0,4
CID4471,NKT cells,32,2329.5,1116.5,6.568117130937145,29,7,0,3
CID4471,Cycling T-cells,8,1677.0,961.0,6.23759341075995,3,0,1,5
CID4535,T cells CD4+,239,584.0,343.0,5.12820512820513,105,18,15,132
CID4535,T cells CD8+,98,2878.0,1095.5,3.718980176973655,93,59,0,4
CID4535,NK cells,25,2710.0,996.0,3.44827586206897,18,1,0,6
CID4535,NKT cells,15,2676.0,1067.0,3.72037203720372,14,2,0,1
CID4535,Cycling T-cells,19,3686.0,1477.0,3.40348921942646,9,4,2,10
CID4067,T cells CD4+,353,1132.0,535.0,3.07455803228286,309,19,11,40
CID4067,T cells CD8+,243,983.0,520.0,3.27455919395466,223,120,2,13
CID4067,NK cells,48,1021.0,540.5,3.3541770699944147,23,1,0,25
CID4067,NKT cells,39,1183.0,598.0,3.00568643379366,36,6,0,3
CID4067,Cycling T-cells,6,1419.5,738.0,2.8405717332946248,6,3,0,0
CID4463,T cells CD4+,115,1264.0,628.0,2.97973778307509,111,14,14,4
CID4463,T cells CD8+,75,1078.0,560.0,3.15706393054459,72,58,0,0
CID4463,NK cells,3,1870.0,851.0,2.95566502463054,3,0,0,0
CID4463,NKT cells,19,1389.0,789.0,4.20105026256564,18,10,0,1
CID4463,Cycling T-cells,5,5771.0,2147.0,2.35661063940392,5,2,0,0
CID3941,T cells CD4+,108,2137.0,764.5,3.810955887707935,101,11,3,6
CID3941,T cells CD8+,126,1641.0,718.5,4.338487126997875,120,99,1,2
CID3941,NK cells,18,1595.0,693.5,4.07792207792208,10,0,0,8
CID3941,NKT cells,9,1458.0,745.0,4.85044462409054,8,4,0,1
CID3941,Cycling T-cells,5,2069.0,799.0,5.64263322884013,4,2,1,0
CID3948,T cells CD4+,845,1171.0,557.0,4.16281221091582,735,44,43,105
CID3948,T cells CD8+,498,1160.0,563.5,3.7161160423920103,432,261,3,30
CID3948,NK cells,58,1372.5,641.5,3.705914582177785,51,3,0,7
CID3948,NKT cells,40,1166.5,546.0,5.699988090377025,33,8,2,6
CID3948,Cycling T-cells,24,2581.5,1110.0,3.33038631558716,23,1,4,1
CID4461,T cells CD4+,44,341.5,264.0,2.333502734620785,39,2,3,5
CID4461,T cells CD8+,11,400.0,287.0,2.55474452554745,9,2,0,1
CID4461,NK cells,2,377.0,265.0,3.88870024523675,2,0,0,0
CID4461,NKT cells,3,375.0,272.0,3.125,1,0,0,2
CID4461,Cycling T-cells,8,678.0,458.0,3.1304604486422702,4,1,0,4
