donor_id,reference_label,gene,mean_cp10k,detected_fraction
CID4471,T cells CD4+,CD3D,5.373331863827629,0.7014563106796114
CID4471,T cells CD4+,CD3E,11.430824201524686,0.9077669902912618
CID4471,T cells CD4+,CD3G,2.5866614847833524,0.47087378640776684
CID4471,T cells CD4+,TRAC,1.9128318548701082,0.3300970873786407
CID4471,T cells CD4+,TRBC1,2.360022856405975,0.349514563106796
CID4471,T cells CD4+,TRBC2,3.7261887828347966,0.495145631067961
CID4471,T cells CD4+,CD4,0.9020628906307926,0.19902912621359217
CID4471,T cells CD4+,CD8A,0.6252422141073247,0.08495145631067959
CID4471,T cells CD4+,CD8B,0.2966652058847457,0.04611650485436892
CID4471,T cells CD4+,IL7R,23.567092470992097,0.8713592233009706
CID4471,T cells CD4+,CCR7,2.454793616983897,0.32766990291262127
CID4471,T cells CD4+,TCF7,1.1195007304298463,0.233009708737864
CID4471,T cells CD4+,FOXP3,0.9025762000094076,0.13349514563106793
CID4471,T cells CD4+,IL2RA,0.5611462429704631,0.08495145631067959
CID4471,T cells CD4+,CTLA4,1.2251875153514489,0.16504854368932034
CID4471,T cells CD4+,NKG7,0.4390391907394655,0.041262135922330086
CID4471,T cells CD4+,GNLY,0.2476036844510484,0.016990291262135918
CID4471,T cells CD4+,PRF1,0.19647764887056188,0.04611650485436892
CID4471,T cells CD4+,GZMB,0.03600745400452025,0.007281553398058252
CID4471,T cells CD4+,GZMK,1.5865236260225979,0.17718446601941742
CID4471,T cells CD4+,KLRD1,0.05048405470366646,0.014563106796116502
CID4471,T cells CD4+,IFNG,0.21461526170346376,0.03883495145631067
CID4471,T cells CD4+,ZFP36,19.449281071369764,0.8907766990291259
CID4471,T cells CD4+,IFIT1,0.086542086242163,0.02184466019417475
CID4471,T cells CD4+,ISG15,1.283372252718304,0.23543689320388342
CID4471,T cells CD4+,MKI67,0.0,0.0
CID4471,T cells CD4+,TOP2A,0.006990738669410764,0.0024271844660194173
CID4471,T cells CD4+,EPCAM,0.04462283984271181,0.012135922330097085
CID4471,T cells CD4+,KRT19,0.2982218382302159,0.07524271844660192
CID4471,T cells CD4+,LYZ,0.04143482526844446,0.007281553398058252
CID4471,T cells CD4+,MS4A1,0.051600058097130794,0.014563106796116502
CID4471,T cells CD4+,PTPRC,7.167690284408356,0.7912621359223299
CID4471,T cells CD4+,CD2,3.5825219482845623,0.5291262135922329
CID4471,T cells CD4+,CD247,1.570317403626652,0.29611650485436886
CID4471,T cells CD4+,LCK,2.977850055121194,0.512135922330097
CID4471,T cells CD4+,KRT8,0.28236162421073246,0.06796116504854367
CID4471,T cells CD4+,KRT18,0.5636353248412984,0.145631067961165
CID4471,T cells CD4+,CD79A,0.035931897661781224,0.009708737864077669
CID4471,T cells CD4+,LST1,0.08405849815198124,0.026699029126213584
CID4471,T cells CD8+,CD3D,5.519325117900369,0.6981132075471698
CID4471,T cells CD8+,CD3E,12.654304806940011,0.8930817610062892
CID4471,T cells CD8+,CD3G,2.9772255464537087,0.4716981132075471
CID4471,T cells CD8+,TRAC,1.772308756228514,0.3018867924528302
CID4471,T cells CD8+,TRBC1,1.984698511888083,0.2578616352201258
CID4471,T cells CD8+,TRBC2,4.117681990909383,0.4654088050314465
CID4471,T cells CD8+,CD4,0.10880566184435753,0.01886792452830189
CID4471,T cells CD8+,CD8A,12.318330937336038,0.8113207547169811
CID4471,T cells CD8+,CD8B,6.765316746379752,0.6540880503144654
CID4471,T cells CD8+,IL7R,15.134416914827378,0.5974842767295597
CID4471,T cells CD8+,CCR7,0.6286349464003367,0.10062893081761005
CID4471,T cells CD8+,TCF7,0.6221155739889586,0.11320754716981131
CID4471,T cells CD8+,FOXP3,0.019122250459412068,0.006289308176100629
CID4471,T cells CD8+,IL2RA,0.02566017207711395,0.006289308176100629
CID4471,T cells CD8+,CTLA4,0.21920529113804366,0.0440251572327044
CID4471,T cells CD8+,NKG7,13.716197101073686,0.7798742138364779
CID4471,T cells CD8+,GNLY,3.444523677391628,0.1761006289308176
CID4471,T cells CD8+,PRF1,1.3249110102819865,0.220125786163522
CID4471,T cells CD8+,GZMB,1.2845787515865195,0.16981132075471697
CID4471,T cells CD8+,GZMK,8.465065848810346,0.4654088050314465
CID4471,T cells CD8+,KLRD1,2.815495555507655,0.3270440251572327
CID4471,T cells CD8+,IFNG,1.6373790039943836,0.15723270440251572
CID4471,T cells CD8+,ZFP36,31.64536572379704,0.9685534591194968
CID4471,T cells CD8+,IFIT1,0.5612054756901448,0.05031446540880503
CID4471,T cells CD8+,ISG15,2.253862766607307,0.2830188679245283
CID4471,T cells CD8+,MKI67,0.013595564583010438,0.006289308176100629
CID4471,T cells CD8+,TOP2A,0.0,0.0
CID4471,T cells CD8+,EPCAM,0.0622449936076121,0.01886792452830189
CID4471,T cells CD8+,KRT19,0.3093734254342891,0.06289308176100629
CID4471,T cells CD8+,LYZ,0.05709535233211774,0.012578616352201259
CID4471,T cells CD8+,MS4A1,0.13289830419459608,0.025157232704402517
CID4471,T cells CD8+,PTPRC,8.04031623973292,0.7987421383647798
CID4471,T cells CD8+,CD2,4.046385479569985,0.5283018867924528
CID4471,T cells CD8+,CD247,1.4550393519618887,0.2641509433962264
CID4471,T cells CD8+,LCK,2.860309581417078,0.4842767295597484
CID4471,T cells CD8+,KRT8,0.4286077720323261,0.0880503144654088
CID4471,T cells CD8+,KRT18,0.42826170153108384,0.0880503144654088
CID4471,T cells CD8+,CD79A,0.0391613211463302,0.006289308176100629
CID4471,T cells CD8+,LST1,0.11359172030899717,0.031446540880503145
CID4471,NK cells,CD3D,0.1774937877174299,0.03333333333333333
CID4471,NK cells,CD3E,3.58389728578057,0.36666666666666664
CID4471,NK cells,CD3G,0.0,0.0
CID4471,NK cells,TRAC,0.7447050854647559,0.13333333333333333
CID4471,NK cells,TRBC1,4.518560099457435,0.4666666666666666
CID4471,NK cells,TRBC2,1.4035040367729597,0.2333333333333333
CID4471,NK cells,CD4,0.0,0.0
CID4471,NK cells,CD8A,0.4353509519749929,0.06666666666666667
CID4471,NK cells,CD8B,0.0,0.0
CID4471,NK cells,IL7R,26.070407355882086,0.7999999999999999
CID4471,NK cells,CCR7,1.4901657370456738,0.26666666666666666
CID4471,NK cells,TCF7,1.1275877159273477,0.19999999999999998
CID4471,NK cells,FOXP3,0.0,0.0
CID4471,NK cells,IL2RA,0.4806282737522203,0.1
CID4471,NK cells,CTLA4,0.0,0.0
CID4471,NK cells,NKG7,23.67365110534778,0.7333333333333333
CID4471,NK cells,GNLY,46.29464552219657,0.8333333333333333
CID4471,NK cells,PRF1,1.6046636605721618,0.26666666666666666
CID4471,NK cells,GZMB,3.4812200107316738,0.3333333333333333
CID4471,NK cells,GZMK,1.5255053515231385,0.2333333333333333
CID4471,NK cells,KLRD1,8.301167831029959,0.5333333333333333
CID4471,NK cells,IFNG,0.0,0.0
CID4471,NK cells,ZFP36,26.097771910528753,0.9333333333333332
CID4471,NK cells,IFIT1,0.0,0.0
CID4471,NK cells,ISG15,3.189283088864264,0.1
CID4471,NK cells,MKI67,0.0,0.0
CID4471,NK cells,TOP2A,0.0,0.0
CID4471,NK cells,EPCAM,0.0,0.0
CID4471,NK cells,KRT19,0.47594524338710387,0.06666666666666667
CID4471,NK cells,LYZ,0.0,0.0
CID4471,NK cells,MS4A1,0.5105728565936178,0.06666666666666667
CID4471,NK cells,PTPRC,5.6770133237244815,0.6333333333333333
CID4471,NK cells,CD2,2.4023921186718296,0.36666666666666664
CID4471,NK cells,CD247,2.4996472841347943,0.36666666666666664
CID4471,NK cells,LCK,0.4811298571126428,0.1
CID4471,NK cells,KRT8,0.4221031804306078,0.1
CID4471,NK cells,KRT18,1.323638073809223,0.19999999999999998
CID4471,NK cells,CD79A,0.3547768180067193,0.06666666666666667
CID4471,NK cells,LST1,1.1699083551936766,0.16666666666666666
CID4471,NKT cells,CD3D,1.7902162384412328,0.21875
CID4471,NKT cells,CD3E,3.174376709036639,0.25
CID4471,NKT cells,CD3G,2.338360565618947,0.28125
CID4471,NKT cells,TRAC,0.3764380192658833,0.09375
CID4471,NKT cells,TRBC1,5.871405695770152,0.625
CID4471,NKT cells,TRBC2,3.689818110566882,0.59375
CID4471,NKT cells,CD4,0.0,0.0
CID4471,NKT cells,CD8A,1.7901650412238446,0.1875
CID4471,NKT cells,CD8B,0.47063161620607885,0.125
CID4471,NKT cells,IL7R,0.9211056660095298,0.0625
CID4471,NKT cells,CCR7,0.0,0.0
CID4471,NKT cells,TCF7,0.059694364851957976,0.03125
CID4471,NKT cells,FOXP3,0.0,0.0
CID4471,NKT cells,IL2RA,0.0,0.0
CID4471,NKT cells,CTLA4,0.0,0.0
CID4471,NKT cells,NKG7,87.3019521228794,1.0
CID4471,NKT cells,GNLY,83.07247392919479,0.96875
CID4471,NKT cells,PRF1,17.12045581822901,0.9375
