variant,validation_donor,gene,in_RCTD,in_NNLS,reference_CD4_profile,reference_CD8_profile
baseline,CID3941,CD3D,True,True,0.0004907783334248,0.0007012958514532
baseline,CID3941,CD3E,True,True,0.0007864898535269,0.0009789243838905
baseline,CID3941,CD3G,True,True,0.0001930161338338,0.000260752825863
baseline,CID3941,TRAC,True,True,0.0004315987063306,0.0005036413970799
baseline,CID3941,TRBC1,True,True,0.0003446973760267,0.0004675821377906
baseline,CID3941,TRBC2,True,True,0.0003625948354438,0.0004807090625671
baseline,CID3941,CD4,False,True,7.169204140298e-05,6.73155651099332e-06
baseline,CID3941,CD8A,True,True,5.07345758573919e-05,0.0009724892211445
baseline,CID3941,CD8B,True,True,3.64282023796767e-05,0.0005270538038637
baseline,CID3941,IL7R,True,True,0.0016782994352757,0.001288743922799
baseline,CID3941,CCR7,True,True,0.0001768350718537,4.11159623162998e-05
baseline,CID3941,TCF7,False,False,8.62387849396165e-05,6.93760880233145e-05
baseline,CID3941,FOXP3,False,False,6.65947386137773e-05,1.18304973659398e-06
baseline,CID3941,IL2RA,False,False,4.46026802914559e-05,1.58753593784479e-06
baseline,CID3941,CTLA4,False,True,0.0001061340682946,4.5301374061381e-05
baseline,CID3941,NKG7,True,True,3.76632242926474e-05,0.0014581077234091
baseline,CID3941,GNLY,True,True,3.19257534233348e-05,0.0007263601432962
baseline,CID3941,PRF1,True,True,2.03144491358945e-05,0.0001458961092627
baseline,CID3941,GZMB,True,True,9.9308052830412e-06,0.0001932258760876
baseline,CID3941,GZMK,True,True,0.0001413232012813,0.0006857927202849
baseline,CID3941,KLRD1,True,True,1.09420978293611e-05,0.0004243742833881
baseline,CID3941,IFNG,False,True,1.72083007282369e-05,0.0001645937858976
baseline,CID3941,ZFP36,True,True,0.001400071901272,0.0023688585115492
baseline,CID3941,IFIT1,False,False,1.57664731892307e-05,9.9446421524444e-05
baseline,CID3941,ISG15,True,True,0.000219944090248,0.0005649842513644
baseline,CID3941,MKI67,True,True,6.24178644921606e-06,5.12775245227898e-06
baseline,CID3941,TOP2A,True,True,2.08406563235803e-05,4.64784432464653e-06
baseline,CID3941,EPCAM,False,True,4.52917707960044e-05,2.51871499881142e-05
baseline,CID3941,KRT19,True,True,0.0007775881706802,0.0002165074826133
baseline,CID3941,LYZ,False,True,3.48429723276031e-05,2.69848026348328e-05
baseline,CID3941,MS4A1,False,True,3.26562579662333e-06,1.53992353425507e-05
baseline,CID3941,PTPRC,True,True,0.0005898906432183,0.0007739062629836
baseline,CID3941,CD2,True,True,0.0003508240012893,0.0005272462122483
baseline,CID3941,CD247,True,True,0.0001333501008687,0.0001336417485544
baseline,CID3941,LCK,True,True,0.0002347458722847,0.0002902612908262
baseline,CID3941,KRT8,False,True,9.4242782798818e-05,4.59152003758745e-05
baseline,CID3941,KRT18,True,True,0.0002079454475741,9.34996816870272e-05
baseline,CID3941,CD79A,False,True,9.25602514660849e-06,4.03002904236877e-06
baseline,CID3941,LST1,True,True,1.7284899613504e-05,1.48104768851818e-05
baseline,CID3948,CD3D,True,True,0.0004907783334248,0.0007012958514532
baseline,CID3948,CD3E,True,True,0.0007864898535269,0.0009789243838905
baseline,CID3948,CD3G,True,True,0.0001930161338338,0.000260752825863
baseline,CID3948,TRAC,True,True,0.0004315987063306,0.0005036413970799
baseline,CID3948,TRBC1,True,True,0.0003446973760267,0.0004675821377906
baseline,CID3948,TRBC2,True,True,0.0003625948354438,0.0004807090625671
baseline,CID3948,CD4,False,True,7.169204140298e-05,6.73155651099332e-06
baseline,CID3948,CD8A,True,True,5.07345758573919e-05,0.0009724892211445
baseline,CID3948,CD8B,True,True,3.64282023796767e-05,0.0005270538038637
baseline,CID3948,IL7R,True,True,0.0016782994352757,0.001288743922799
baseline,CID3948,CCR7,True,True,0.0001768350718537,4.11159623162998e-05
baseline,CID3948,TCF7,False,False,8.62387849396165e-05,6.93760880233145e-05
baseline,CID3948,FOXP3,False,False,6.65947386137773e-05,1.18304973659398e-06
baseline,CID3948,IL2RA,False,False,4.46026802914559e-05,1.58753593784479e-06
baseline,CID3948,CTLA4,False,True,0.0001061340682946,4.5301374061381e-05
baseline,CID3948,NKG7,True,True,3.76632242926474e-05,0.0014581077234091
baseline,CID3948,GNLY,True,True,3.19257534233348e-05,0.0007263601432962
baseline,CID3948,PRF1,True,True,2.03144491358945e-05,0.0001458961092627
baseline,CID3948,GZMB,True,True,9.9308052830412e-06,0.0001932258760876
baseline,CID3948,GZMK,True,True,0.0001413232012813,0.0006857927202849
baseline,CID3948,KLRD1,True,True,1.09420978293611e-05,0.0004243742833881
baseline,CID3948,IFNG,False,True,1.72083007282369e-05,0.0001645937858976
baseline,CID3948,ZFP36,True,True,0.001400071901272,0.0023688585115492
baseline,CID3948,IFIT1,False,False,1.57664731892307e-05,9.9446421524444e-05
baseline,CID3948,ISG15,True,True,0.000219944090248,0.0005649842513644
baseline,CID3948,MKI67,False,True,6.24178644921606e-06,5.12775245227898e-06
baseline,CID3948,TOP2A,True,True,2.08406563235803e-05,4.64784432464653e-06
baseline,CID3948,EPCAM,True,True,4.52917707960044e-05,2.51871499881142e-05
baseline,CID3948,KRT19,True,True,0.0007775881706802,0.0002165074826133
baseline,CID3948,LYZ,True,True,3.48429723276031e-05,2.69848026348328e-05
baseline,CID3948,MS4A1,True,True,3.26562579662333e-06,1.53992353425507e-05
baseline,CID3948,PTPRC,True,True,0.0005898906432183,0.0007739062629836
baseline,CID3948,CD2,True,True,0.0003508240012893,0.0005272462122483
baseline,CID3948,CD247,True,True,0.0001333501008687,0.0001336417485544
baseline,CID3948,LCK,True,True,0.0002347458722847,0.0002902612908262
baseline,CID3948,KRT8,True,True,9.4242782798818e-05,4.59152003758745e-05
baseline,CID3948,KRT18,True,True,0.0002079454475741,9.34996816870272e-05
baseline,CID3948,CD79A,True,True,9.25602514660849e-06,4.03002904236877e-06
baseline,CID3948,LST1,True,True,1.7284899613504e-05,1.48104768851818e-05
baseline,CID4461,CD3D,True,True,0.0004907783334248,0.0007012958514532
baseline,CID4461,CD3E,True,True,0.0007864898535269,0.0009789243838905
baseline,CID4461,CD3G,True,True,0.0001930161338338,0.000260752825863
baseline,CID4461,TRAC,True,True,0.0004315987063306,0.0005036413970799
baseline,CID4461,TRBC1,True,True,0.0003446973760267,0.0004675821377906
baseline,CID4461,TRBC2,True,True,0.0003625948354438,0.0004807090625671
baseline,CID4461,CD4,False,True,7.169204140298e-05,6.73155651099332e-06
baseline,CID4461,CD8A,True,True,5.07345758573919e-05,0.0009724892211445
baseline,CID4461,CD8B,True,True,3.64282023796767e-05,0.0005270538038637
baseline,CID4461,IL7R,True,True,0.0016782994352757,0.001288743922799
baseline,CID4461,CCR7,True,True,0.0001768350718537,4.11159623162998e-05
baseline,CID4461,TCF7,False,False,8.62387849396165e-05,6.93760880233145e-05
baseline,CID4461,FOXP3,False,False,6.65947386137773e-05,1.18304973659398e-06
baseline,CID4461,IL2RA,False,False,4.46026802914559e-05,1.58753593784479e-06
baseline,CID4461,CTLA4,False,True,0.0001061340682946,4.5301374061381e-05
baseline,CID4461,NKG7,True,True,3.76632242926474e-05,0.0014581077234091
baseline,CID4461,GNLY,True,True,3.19257534233348e-05,0.0007263601432962
baseline,CID4461,PRF1,False,True,2.03144491358945e-05,0.0001458961092627
baseline,CID4461,GZMB,True,True,9.9308052830412e-06,0.0001932258760876
baseline,CID4461,GZMK,True,True,0.0001413232012813,0.0006857927202849
baseline,CID4461,KLRD1,True,True,1.09420978293611e-05,0.0004243742833881
baseline,CID4461,IFNG,False,True,1.72083007282369e-05,0.0001645937858976
baseline,CID4461,ZFP36,True,True,0.001400071901272,0.0023688585115492
baseline,CID4461,IFIT1,False,False,1.57664731892307e-05,9.9446421524444e-05
baseline,CID4461,ISG15,True,True,0.000219944090248,0.0005649842513644
baseline,CID4461,MKI67,True,True,6.24178644921606e-06,5.12775245227898e-06
baseline,CID4461,TOP2A,True,True,2.08406563235803e-05,4.64784432464653e-06
baseline,CID4461,EPCAM,False,True,4.52917707960044e-05,2.51871499881142e-05
baseline,CID4461,KRT19,True,True,0.0007775881706802,0.0002165074826133
baseline,CID4461,LYZ,True,True,3.48429723276031e-05,2.69848026348328e-05
baseline,CID4461,MS4A1,False,True,3.26562579662333e-06,1.53992353425507e-05
baseline,CID4461,PTPRC,True,True,0.0005898906432183,0.0007739062629836
baseline,CID4461,CD2,True,True,0.0003508240012893,0.0005272462122483
baseline,CID4461,CD247,True,True,0.0001333501008687,0.0001336417485544
baseline,CID4461,LCK,True,True,0.0002347458722847,0.0002902612908262
baseline,CID4461,KRT8,True,True,9.4242782798818e-05,4.59152003758745e-05
baseline,CID4461,KRT18,True,True,0.0002079454475741,9.34996816870272e-05
baseline,CID4461,CD79A,False,True,9.25602514660849e-06,4.03002904236877e-06
baseline,CID4461,LST1,True,True,1.7284899613504e-05,1.48104768851818e-05
donor_balanced,CID3941,CD3D,True,True,0.0004665550968851,0.0007338392921106
donor_balanced,CID3941,CD3E,True,True,0.0006462262700199,0.0008743960073368
donor_balanced,CID3941,CD3G,True,True,0.0001602550539254,0.0002520364954749
donor_balanced,CID3941,TRAC,True,True,0.0005151849020874,0.0006095787264929
donor_balanced,CID3941,TRBC1,True,True,0.0003934547280168,0.0005405067407337
donor_balanced,CID3941,TRBC2,True,True,0.0003538800549972,0.0005109962211691
donor_balanced,CID3941,CD4,False,True,6.98448137990986e-05,4.13455495650448e-06
donor_balanced,CID3941,CD8A,True,True,4.71548486561559e-05,0.000892344376404
donor_balanced,CID3941,CD8B,True,True,3.79630977356057e-05,0.0004934821828201
donor_balanced,CID3941,IL7R,True,True,0.001425738754547,0.0011366784838223
donor_balanced,CID3941,CCR7,True,True,0.0001458961273538,4.64960364126206e-05
donor_balanced,CID3941,TCF7,False,False,7.11693517721455e-05,7.15577996334392e-05
donor_balanced,CID3941,FOXP3,False,False,6.0002991920663e-05,0.0
donor_balanced,CID3941,IL2RA,False,False,4.23850682707531e-05,2.08161600013322e-06
donor_balanced,CID3941,CTLA4,False,True,9.58597454583898e-05,5.73836541672391e-05
donor_balanced,CID3941,NKG7,True,True,4.14966851902468e-05,0.0015224331333164
donor_balanced,CID3941,GNLY,True,True,4.2080170367684e-05,0.0008514300220778
donor_balanced,CID3941,PRF1,True,True,2.2635354121909e-05,0.0001625219998906
donor_balanced,CID3941,GZMB,True,True,1.12716916178381e-05,0.0002163556135887
donor_balanced,CID3941,GZMK,True,True,0.0001361141114282,0.0006606324271723
donor_balanced,CID3941,KLRD1,True,True,1.16044523207695e-05,0.0004463165178383
donor_balanced,CID3941,IFNG,True,True,1.29454691371554e-05,0.000167258016295
donor_balanced,CID3941,ZFP36,False,True,0.0012265441036006,0.0021057645073095
donor_balanced,CID3941,IFIT1,False,False,1.74181397804973e-05,9.23907957829929e-05
donor_balanced,CID3941,ISG15,False,True,0.0002488558986606,0.0006923081541189
donor_balanced,CID3941,MKI67,True,True,8.50084305112898e-06,6.72363459303928e-06
donor_balanced,CID3941,TOP2A,True,True,2.83834043235373e-05,6.0943673032355e-06
donor_balanced,CID3941,EPCAM,False,True,6.03438437778734e-05,2.92542878344464e-05
donor_balanced,CID3941,KRT19,True,True,0.0010496089210713,0.0002728821506013
donor_balanced,CID3941,LYZ,False,True,4.51558330340962e-05,3.07514192605681e-05
donor_balanced,CID3941,MS4A1,False,True,2.20672648205376e-06,1.10781522038897e-05
donor_balanced,CID3941,PTPRC,True,True,0.0005523353355999,0.000769618605109
donor_balanced,CID3941,CD2,True,True,0.0003405205142523,0.000585907492385
donor_balanced,CID3941,CD247,True,True,0.0001201625769232,0.0001323342140166
donor_balanced,CID3941,LCK,True,True,0.000216571376474,0.0002921200659102
donor_balanced,CID3941,KRT8,False,True,0.0001183256095139,4.17934087436196e-05
donor_balanced,CID3941,KRT18,True,True,0.0002651989455131,0.0001081148839991
donor_balanced,CID3941,CD79A,False,True,1.10346728556519e-05,2.10741049827614e-06
donor_balanced,CID3941,LST1,True,True,2.16376950422285e-05,1.56231632418613e-05
donor_balanced,CID3948,CD3D,True,True,0.0004665550968851,0.0007338392921106
donor_balanced,CID3948,CD3E,True,True,0.0006462262700199,0.0008743960073368
donor_balanced,CID3948,CD3G,True,True,0.0001602550539254,0.0002520364954749
donor_balanced,CID3948,TRAC,True,True,0.0005151849020874,0.0006095787264929
donor_balanced,CID3948,TRBC1,True,True,0.0003934547280168,0.0005405067407337
donor_balanced,CID3948,TRBC2,True,True,0.0003538800549972,0.0005109962211691
donor_balanced,CID3948,CD4,False,True,6.98448137990986e-05,4.13455495650448e-06
donor_balanced,CID3948,CD8A,True,True,4.71548486561559e-05,0.000892344376404
donor_balanced,CID3948,CD8B,True,True,3.79630977356057e-05,0.0004934821828201
donor_balanced,CID3948,IL7R,True,True,0.001425738754547,0.0011366784838223
donor_balanced,CID3948,CCR7,True,True,0.0001458961273538,4.64960364126206e-05
donor_balanced,CID3948,TCF7,False,False,7.11693517721455e-05,7.15577996334392e-05
donor_balanced,CID3948,FOXP3,False,False,6.0002991920663e-05,0.0
donor_balanced,CID3948,IL2RA,False,False,4.23850682707531e-05,2.08161600013322e-06
donor_balanced,CID3948,CTLA4,False,True,9.58597454583898e-05,5.73836541672391e-05
donor_balanced,CID3948,NKG7,True,True,4.14966851902468e-05,0.0015224331333164
donor_balanced,CID3948,GNLY,True,True,4.2080170367684e-05,0.0008514300220778
donor_balanced,CID3948,PRF1,True,True,2.2635354121909e-05,0.0001625219998906
donor_balanced,CID3948,GZMB,True,True,1.12716916178381e-05,0.0002163556135887
donor_balanced,CID3948,GZMK,True,True,0.0001361141114282,0.0006606324271723
donor_balanced,CID3948,KLRD1,True,True,1.16044523207695e-05,0.0004463165178383
donor_balanced,CID3948,IFNG,True,True,1.29454691371554e-05,0.000167258016295
donor_balanced,CID3948,ZFP36,False,True,0.0012265441036006,0.0021057645073095
donor_balanced,CID3948,IFIT1,False,False,1.74181397804973e-05,9.23907957829929e-05
donor_balanced,CID3948,ISG15,False,True,0.0002488558986606,0.0006923081541189
donor_balanced,CID3948,MKI67,False,True,8.50084305112898e-06,6.72363459303928e-06
donor_balanced,CID3948,TOP2A,True,True,2.83834043235373e-05,6.0943673032355e-06
donor_balanced,CID3948,EPCAM,True,True,6.03438437778734e-05,2.92542878344464e-05
donor_balanced,CID3948,KRT19,True,True,0.0010496089210713,0.0002728821506013
donor_balanced,CID3948,LYZ,True,True,4.51558330340962e-05,3.07514192605681e-05
donor_balanced,CID3948,MS4A1,True,True,2.20672648205376e-06,1.10781522038897e-05
donor_balanced,CID3948,PTPRC,True,True,0.0005523353355999,0.000769618605109
donor_balanced,CID3948,CD2,True,True,0.0003405205142523,0.000585907492385
donor_balanced,CID3948,CD247,True,True,0.0001201625769232,0.0001323342140166
donor_balanced,CID3948,LCK,True,True,0.000216571376474,0.0002921200659102
donor_balanced,CID3948,KRT8,True,True,0.0001183256095139,4.17934087436196e-05
donor_balanced,CID3948,KRT18,True,True,0.0002651989455131,0.0001081148839991
donor_balanced,CID3948,CD79A,True,True,1.10346728556519e-05,2.10741049827614e-06
donor_balanced,CID3948,LST1,True,True,2.16376950422285e-05,1.56231632418613e-05
donor_balanced,CID4461,CD3D,True,True,0.0004665550968851,0.0007338392921106
donor_balanced,CID4461,CD3E,True,True,0.0006462262700199,0.0008743960073368
donor_balanced,CID4461,CD3G,True,True,0.0001602550539254,0.0002520364954749
donor_balanced,CID4461,TRAC,True,True,0.0005151849020874,0.0006095787264929
donor_balanced,CID4461,TRBC1,True,True,0.0003934547280168,0.0005405067407337
donor_balanced,CID4461,TRBC2,True,True,0.0003538800549972,0.0005109962211691
donor_balanced,CID4461,CD4,False,True,6.98448137990986e-05,4.13455495650448e-06
donor_balanced,CID4461,CD8A,True,True,4.71548486561559e-05,0.000892344376404
donor_balanced,CID4461,CD8B,True,True,3.79630977356057e-05,0.0004934821828201
donor_balanced,CID4461,IL7R,True,True,0.001425738754547,0.0011366784838223
donor_balanced,CID4461,CCR7,True,True,0.0001458961273538,4.64960364126206e-05
donor_balanced,CID4461,TCF7,False,False,7.11693517721455e-05,7.15577996334392e-05
donor_balanced,CID4461,FOXP3,False,False,6.0002991920663e-05,0.0
donor_balanced,CID4461,IL2RA,False,False,4.23850682707531e-05,2.08161600013322e-06
donor_balanced,CID4461,CTLA4,False,True,9.58597454583898e-05,5.73836541672391e-05
donor_balanced,CID4461,NKG7,True,True,4.14966851902468e-05,0.0015224331333164
donor_balanced,CID4461,GNLY,True,True,4.2080170367684e-05,0.0008514300220778
donor_balanced,CID4461,PRF1,False,True,2.2635354121909e-05,0.0001625219998906
donor_balanced,CID4461,GZMB,True,True,1.12716916178381e-05,0.0002163556135887
donor_balanced,CID4461,GZMK,True,True,0.0001361141114282,0.0006606324271723
donor_balanced,CID4461,KLRD1,True,True,1.16044523207695e-05,0.0004463165178383
donor_balanced,CID4461,IFNG,True,True,1.29454691371554e-05,0.000167258016295
donor_balanced,CID4461,ZFP36,False,True,0.0012265441036006,0.0021057645073095
donor_balanced,CID4461,IFIT1,False,False,1.74181397804973e-05,9.23907957829929e-05
donor_balanced,CID4461,ISG15,False,True,0.0002488558986606,0.0006923081541189
donor_balanced,CID4461,MKI67,True,True,8.50084305112898e-06,6.72363459303928e-06
donor_balanced,CID4461,TOP2A,True,True,2.83834043235373e-05,6.0943673032355e-06
donor_balanced,CID4461,EPCAM,False,True,6.03438437778734e-05,2.92542878344464e-05
donor_balanced,CID4461,KRT19,True,True,0.0010496089210713,0.0002728821506013
donor_balanced,CID4461,LYZ,True,True,4.51558330340962e-05,3.07514192605681e-05
donor_balanced,CID4461,MS4A1,False,True,2.20672648205376e-06,1.10781522038897e-05
donor_balanced,CID4461,PTPRC,True,True,0.0005523353355999,0.000769618605109
donor_balanced,CID4461,CD2,True,True,0.0003405205142523,0.000585907492385
donor_balanced,CID4461,CD247,True,True,0.0001201625769232,0.0001323342140166
donor_balanced,CID4461,LCK,True,True,0.000216571376474,0.0002921200659102
donor_balanced,CID4461,KRT8,True,True,0.0001183256095139,4.17934087436196e-05
donor_balanced,CID4461,KRT18,True,True,0.0002651989455131,0.0001081148839991
donor_balanced,CID4461,CD79A,False,True,1.10346728556519e-05,2.10741049827614e-06
donor_balanced,CID4461,LST1,True,True,2.16376950422285e-05,1.56231632418613e-05
epithelial_split,CID3941,CD3D,True,True,0.0004907783334248,0.0007012958514532
epithelial_split,CID3941,CD3E,True,True,0.0007864898535269,0.0009789243838905
epithelial_split,CID3941,CD3G,True,True,0.0001930161338338,0.000260752825863
epithelial_split,CID3941,TRAC,True,True,0.0004315987063306,0.0005036413970799
epithelial_split,CID3941,TRBC1,True,True,0.0003446973760267,0.0004675821377906
epithelial_split,CID3941,TRBC2,True,True,0.0003625948354438,0.0004807090625671
epithelial_split,CID3941,CD4,False,True,7.169204140298e-05,6.73155651099332e-06
epithelial_split,CID3941,CD8A,True,True,5.07345758573919e-05,0.0009724892211445
epithelial_split,CID3941,CD8B,True,True,3.64282023796767e-05,0.0005270538038637
epithelial_split,CID3941,IL7R,True,True,0.0016782994352757,0.001288743922799
epithelial_split,CID3941,CCR7,True,True,0.0001768350718537,4.11159623162998e-05
epithelial_split,CID3941,TCF7,False,False,8.62387849396165e-05,6.93760880233145e-05
epithelial_split,CID3941,FOXP3,False,False,6.65947386137773e-05,1.18304973659398e-06
epithelial_split,CID3941,IL2RA,False,False,4.46026802914559e-05,1.58753593784479e-06
epithelial_split,CID3941,CTLA4,False,True,0.0001061340682946,4.5301374061381e-05
epithelial_split,CID3941,NKG7,True,True,3.76632242926474e-05,0.0014581077234091
epithelial_split,CID3941,GNLY,True,True,3.19257534233348e-05,0.0007263601432962
epithelial_split,CID3941,PRF1,True,True,2.03144491358945e-05,0.0001458961092627
epithelial_split,CID3941,GZMB,True,True,9.9308052830412e-06,0.0001932258760876
epithelial_split,CID3941,GZMK,True,True,0.0001413232012813,0.0006857927202849
epithelial_split,CID3941,KLRD1,True,True,1.09420978293611e-05,0.0004243742833881
epithelial_split,CID3941,IFNG,False,True,1.72083007282369e-05,0.0001645937858976
epithelial_split,CID3941,ZFP36,True,True,0.001400071901272,0.0023688585115492
epithelial_split,CID3941,IFIT1,False,False,1.57664731892307e-05,9.9446421524444e-05
epithelial_split,CID3941,ISG15,True,True,0.000219944090248,0.0005649842513644
epithelial_split,CID3941,MKI67,True,True,6.24178644921606e-06,5.12775245227898e-06
