variant,validation_donor,comparison,n_genes,cosine
baseline,CID3941,T cells CD4+,1161,0.983367455734238
baseline,CID3941,NK cells,1161,0.9761628066590915
baseline,CID3941,NKT cells,1161,0.9456341860763193
baseline,CID3941,Cycling T-cells,1161,0.87034509854195
baseline,CID3948,T cells CD4+,1248,0.9833618004202838
baseline,CID3948,NK cells,1248,0.9760981173102918
baseline,CID3948,NKT cells,1248,0.9455238385661509
baseline,CID3948,Cycling T-cells,1248,0.8703068981584859
baseline,CID4461,T cells CD4+,1142,0.9833174116593912
baseline,CID4461,NK cells,1142,0.9761651447544751
baseline,CID4461,NKT cells,1142,0.9461635532838225
baseline,CID4461,Cycling T-cells,1142,0.8701667719200696
donor_balanced,CID3941,T cells CD4+,1092,0.9844182137076706
donor_balanced,CID3941,NK cells,1092,0.9778927307775054
donor_balanced,CID3941,NKT cells,1092,0.9519046087979881
donor_balanced,CID3941,Cycling T-cells,1092,0.8807116972678577
donor_balanced,CID3948,T cells CD4+,1172,0.9844076127964955
donor_balanced,CID3948,NK cells,1172,0.9778243054934977
donor_balanced,CID3948,NKT cells,1172,0.9518058455948389
donor_balanced,CID3948,Cycling T-cells,1172,0.880674527128259
donor_balanced,CID4461,T cells CD4+,1070,0.9843225530592083
donor_balanced,CID4461,NK cells,1070,0.9778967203418354
donor_balanced,CID4461,NKT cells,1070,0.9525071723211725
donor_balanced,CID4461,Cycling T-cells,1070,0.8804937453717878
epithelial_split,CID3941,T cells CD4+,1244,0.9839204468113817
epithelial_split,CID3941,NK cells,1244,0.9777785608486004
epithelial_split,CID3941,NKT cells,1244,0.9508122075352847
epithelial_split,CID3941,Cycling T-cells,1244,0.8797969379427474
epithelial_split,CID3948,T cells CD4+,1338,0.9839149975007273
epithelial_split,CID3948,NK cells,1338,0.9777195612542015
epithelial_split,CID3948,NKT cells,1338,0.9507155350332912
epithelial_split,CID3948,Cycling T-cells,1338,0.8797646833927151
epithelial_split,CID4461,T cells CD4+,1219,0.9838749182190785
epithelial_split,CID4461,NK cells,1219,0.9777802752945342
epithelial_split,CID4461,NKT cells,1219,0.9512764114031635
epithelial_split,CID4461,Cycling T-cells,1219,0.879671936272725
balanced_split,CID3941,T cells CD4+,1216,0.9817520097780356
balanced_split,CID3941,NK cells,1216,0.9785379303914604
balanced_split,CID3941,NKT cells,1216,0.9590453320504885
balanced_split,CID3941,Cycling T-cells,1216,0.8760477905568301
balanced_split,CID3948,T cells CD4+,1302,0.9817419095587536
balanced_split,CID3948,NK cells,1302,0.9784797526383154
balanced_split,CID3948,NKT cells,1302,0.9589658412759955
balanced_split,CID3948,Cycling T-cells,1302,0.876026319007658
balanced_split,CID4461,T cells CD4+,1184,0.9816750776616434
balanced_split,CID4461,NK cells,1184,0.9785415681097711
balanced_split,CID4461,NKT cells,1184,0.9595329018260658
balanced_split,CID4461,Cycling T-cells,1184,0.8759426229629197
