gene,CID4471,CID4535,CID4067,CID4463,CID3941,CID3948,CID4461,pooled_reference_log2ratio,pooled_reference_mean_cp10k,reference_direction_agrees,both_reference_abs_log2ratio_ge_0_5,magnitude
CCL4L2,6.247291041237263,6.594244701446728,6.067447712959317,5.259273647730971,4.675913029026419,5.879814827457888,6.489333799170311,6.376792345047113,4.4576386113282265,True,True,6.376792345047113
CCL4,6.584333638008918,4.852506340543619,5.0932310304403625,4.0747118522564945,5.089096718916955,5.937433096969106,5.559750167964918,6.284990185020634,31.6225975052284,True,True,6.284990185020634
NKG7,4.679826591652335,5.445685077701042,4.349982778961556,4.398344024444136,3.8935704775682654,4.378971947583683,6.804798222329063,4.944937471194816,7.478854738509113,True,True,4.944937471194816
KLRD1,4.276058591290608,4.4206627581886755,3.3594713248593826,1.7713088206526975,3.5861492420582723,4.038519459322687,2.766553344917565,4.37446081915369,2.176581906087503,True,True,4.37446081915369
MTRNR2L10,0.0,-5.393586479395561,-0.2634476666776168,0.0,0.3282871094228346,-0.24062935901432253,0.0,-4.35013662059477,1.2004071315741158,False,False,4.35013662059477
MTRNR2L6,0.0,-5.2441623119544465,1.2085744772239733,0.0,-0.2841212294313696,-0.24062935901432253,0.0,-4.2758115738382445,1.2055197224136829,False,False,4.2758115738382445
GNLY,3.350076487958035,4.64283631029199,3.8605758500217098,3.3990741538378453,2.0072318231928747,3.6778096860358573,2.611967661181488,4.134502925590415,3.7914294835976747,True,True,4.134502925590415
CD8A,4.097864571275227,3.7970234598941324,3.8725871558213587,3.676633932295688,3.2688875354048883,3.6850660917788947,1.8097117918605263,4.015851605942015,5.116118985009932,True,True,4.015851605942015
CD8B,4.113332523923241,2.34221140636201,3.4052638861674542,2.613555146283918,3.7119742012899004,2.919216418133655,4.938304074897059,3.5319933010901035,2.8174100312170856,True,True,3.5319933010901035
CRTAM,3.360592195537065,3.7487156688200556,2.4040644412157537,0.9876051648697334,2.978337273796584,3.9898156964943854,-0.7707098123649486,3.476278182411815,1.6867248375632613,True,True,3.476278182411815
ZNF683,3.4516216091912764,3.311701155645003,4.0966854435111895,1.4602684514155475,5.209515936443222,3.600603916033729,5.292786921010478,3.393148039564146,1.5243067567929038,True,True,3.393148039564146
GZMB,3.3476894862558093,3.3213662228308314,4.202303579405217,2.708191157224033,2.858789443308943,4.3184345741043595,4.807173998639434,3.3500122004279005,1.01578340685352,True,True,3.3500122004279005
TRDC,0.1592920487269476,3.616964987016533,0.9767971162428443,0.0,1.0448574442801273,1.2264903262152327,2.8772198999977463,3.2458117707580048,1.304561327660514,True,False,3.2458117707580048
CST7,3.0893057175171723,3.189517642419197,2.0046271059940675,1.796694613076979,1.8325233302277097,1.7292928760189672,-2.450243420087232,3.0993358193911122,5.343941899573274,True,True,3.0993358193911122
XCL1,2.246542802665158,3.806943331344017,3.884295694959905,2.6624766854352777,5.371803983430444,3.9370495977814524,1.423501552910408,2.9442653354421213,2.937466426233256,True,True,2.9442653354421213
TRGC2,2.307081766479932,2.8931513014613293,1.484723154082728,2.729812787524149,1.1633299146097367,1.18463866373088,1.416226885518965,2.825122389212963,1.2389314449041442,True,True,2.825122389212963
